NAME,DP04_0006E,DP04_0007E,DP04_0007M,DP04_0007PE,DP04_0007PM,DP04_0008E,DP04_0008M,DP04_0008PE,DP04_0008PM,,,
Andover,"1,322","1,192",85,90.2,5,12,18,0.9,1.4,,,"1,204"
Ansonia,"8,351","4,036",348,48.3,3.8,633,231,7.6,2.7,,,"4,669"
Ashford,"1,929","1,542",120,79.9,5,17,19,0.9,1,,,"1,559"
Avon,"7,406","5,545",226,74.9,2.2,906,154,12.2,2.1,,,"6,451"
Barkhamsted,"1,463","1,393",81,95.2,3.1,8,12,0.5,0.8,,,"1,401"
Beacon Falls,"2,747","1,620",184,59,6.1,261,107,9.5,3.9,,,"1,881"
Berlin,"8,642","6,752",313,78.1,2.7,300,95,3.5,1.1,,,"7,052"
Bethany,"2,041","1,874",153,91.8,3.8,62,65,3,3.2,,,"1,936"
Bethel,"7,706","5,140",231,66.7,2.8,674,180,8.7,2.3,,,"5,814"
Bethlehem,"1,655","1,533",101,92.6,2.7,25,24,1.5,1.4,,,"1,558"
Bloomfield,"9,118","6,127",362,67.2,3,543,131,6,1.4,,,"6,670"
Bolton,"1,932","1,769",123,91.6,3.7,24,25,1.2,1.3,,,"1,793"
Bozrah,"1,079",969,76,89.8,3.3,9,10,0.8,0.9,,,978
Branford,"13,842","7,431",393,53.7,2.4,"1,797",251,13,1.8,,,"9,228"
Bridgeport,"58,370","14,929",628,25.6,1,"3,328",353,5.7,0.6,,,"18,257"
Bridgewater,864,833,40,96.4,1.9,0,12,0,4,,,833
Bristol,"26,465","14,553",538,55,1.7,"1,287",260,4.9,1,,,"15,840"
Brookfield,"6,593","4,680",221,71,2.7,542,160,8.2,2.3,,,"5,222"
Brooklyn,"3,241","2,647",195,81.7,4.2,146,110,4.5,3.3,,,"2,793"
Burlington,"3,579","3,325",159,92.9,2,80,49,2.2,1.4,,,"3,405"
Canaan,711,674,51,94.8,3.2,2,4,0.3,0.5,,,676
Canterbury,"2,032","1,879",113,92.5,2.8,12,13,0.6,0.6,,,"1,891"
Canton,"4,379","3,140",227,71.7,4.2,314,108,7.2,2.5,,,"3,454"
Chaplin,"1,007",884,65,87.8,4.9,40,36,4,3.5,,,924
Cheshire,"10,967","8,467",296,77.2,2.2,639,131,5.8,1.2,,,"9,106"
Chester,"2,002","1,587",174,79.3,5,8,13,0.4,0.6,,,"1,595"
Clinton,"6,234","4,881",253,78.3,2.5,131,58,2.1,0.9,,,"5,012"
Colchester,"6,464","4,934",255,76.3,2.7,228,64,3.5,1,,,"5,162"
Colebrook,806,730,37,90.6,3.8,24,14,3,1.8,,,754
Columbia,"2,207","2,050",134,92.9,4.1,0,17,0,1.6,,,"2,050"
Cornwall,"1,042",971,42,93.2,2.6,12,14,1.2,1.4,,,983
Coventry,"5,071","4,676",253,92.2,2.6,78,59,1.5,1.2,,,"4,754"
Cromwell,"6,161","3,558",264,57.8,3.3,999,211,16.2,3.3,,,"4,557"
Danbury,"32,493","13,708",542,42.2,1.4,"3,562",339,11,1,,,"17,270"
Darien,"7,195","6,368",168,88.5,1.6,218,64,3,0.9,,,"6,586"
Deep River,"2,121","1,492",133,70.3,5.4,74,48,3.5,2.2,,,"1,566"
Derby,"5,627","2,370",338,42.1,4.9,670,173,11.9,3,,,"3,040"
Durham,"2,794","2,555",238,91.4,4.6,32,38,1.1,1.3,,,"2,587"
East Granby,"2,247","1,731",145,77,5.3,61,52,2.7,2.3,,,"1,792"
East Haddam,"4,610","4,101",277,89,3.6,36,34,0.8,0.7,,,"4,137"
East Hampton,"5,580","4,746",265,85.1,3.6,297,129,5.3,2.3,,,"5,043"
East Hartford,"21,300","11,485",436,53.9,1.8,"1,063",222,5,1.1,,,"12,548"
East Haven,"12,175","7,310",404,60,2.8,799,195,6.6,1.6,,,"8,109"
East Lyme,"8,625","6,965",253,80.8,2.2,258,74,3,0.8,,,"7,223"
East Windsor,"5,076","2,733",299,53.8,5,525,146,10.3,2.8,,,"3,258"
Eastford,840,717,43,85.4,4.5,31,22,3.7,2.6,,,748
