Date,State,COVID-19 PCR tests reported,Total cases,Confirmed cases,Probable cases,Hospitalized cases,Total deaths,Confirmed deaths,Probable deaths,cases_age0_9,cases_age10_19,cases_age20_29,cases_age30_39,cases_age40_49,cases_age50_59,cases_age60_69,cases_age70_79,cases_age80_Older,Deaths_per_day,Hosp_per_day
2020-07-21,CONNECTICUT,672386.0,48223,46203.0,2020.0,63,4406,3527.0,879.0,713,1555,6031,6842,6758,8091,6674,4471,7033,0.0,1.0
2020-07-22,CONNECTICUT,685869.0,48232,46213.0,2019.0,72,4410,3530.0,880.0,714,1563,6050,6856,6766,8096,6674,4464,6994,4.0,9.0
2020-07-23,CONNECTICUT,711102.0,48776,46806.0,1970.0,71,4413,3531.0,882.0,730,1645,6170,6938,6844,8165,6724,4483,7022,3.0,-1.0
2020-07-26,CONNECTICUT,743062.0,48983,46994.0,1989.0,59,4418,3536.0,882.0,744,1690,6225,6979,6857,8190,6730,4491,7022,5.0,-12.0
2020-07-27,CONNECTICUT,750700.0,49077,47089.0,1988.0,54,4423,3541.0,882.0,749,1709,6244,6991,6870,8202,6736,4496,7025,5.0,-5.0
2020-07-28,CONNECTICUT,763817.0,49540,47581.0,1959.0,53,4425,3544.0,881.0,757,1740,6330,7099,6948,8282,6775,4508,7046,2.0,-1.0
2020-07-29,CONNECTICUT,776775.0,49670,47717.0,1953.0,66,4431,3550.0,881.0,763,1775,6357,7122,6953,8299,6784,4514,7048,6.0,13.0
2020-07-30,CONNECTICUT,792040.0,49810,47854.0,1956.0,69,4432,3551.0,881.0,775,1797,6395,7149,6974,8315,6789,4513,7048,1.0,3.0
2020-08-02,CONNECTICUT,827213.0,50062,48093.0,1969.0,56,4437,3555.0,882.0,788,1841,6450,7199,7012,8344,6804,4519,7051,5.0,-13.0
2020-08-03,CONNECTICUT,834303.0,50110,48142.0,1968.0,60,4437,3555.0,882.0,786,1848,6463,7208,7022,8347,6808,4522,7052,0.0,4.0
2020-08-04,CONNECTICUT,846142.0,50225,48258.0,1967.0,59,4437,3555.0,882.0,793,1869,6481,7231,7042,8358,6816,4527,7054,0.0,-1.0
2020-08-05,CONNECTICUT,855126.0,50245,48273.0,1972.0,66,4437,3555.0,882.0,792,1871,6484,7233,7046,8363,6817,4529,7054,0.0,7.0
2020-08-06,CONNECTICUT,862658.0,50320,48345.0,1975.0,65,4441,3558.0,883.0,795,1880,6499,7239,7056,8380,6826,4531,7056,4.0,-1.0
2020-08-09,CONNECTICUT,900967.0,50567,48577.0,1990.0,64,4444,3560.0,884.0,810,1915,6547,7281,7101,8414,6844,4538,7059,3.0,-1.0
2020-08-10,CONNECTICUT,909305.0,50684,48690.0,1994.0,70,4444,3561.0,883.0,817,1927,6572,7297,7118,8430,6853,4547,7063,0.0,6.0
2020-08-11,CONNECTICUT,917282.0,50706,48705.0,2001.0,58,4450,3566.0,884.0,817,1932,6573,7299,7121,8435,6856,4549,7064,6.0,-12.0
2020-08-12,CONNECTICUT,925327.0,50782,48774.0,2008.0,63,4450,3566.0,884.0,820,1947,6591,7314,7132,8440,6867,4550,7067,0.0,5.0
2020-08-13,CONNECTICUT,935680.0,50897,48887.0,2010.0,56,4453,3569.0,884.0,826,1955,6620,7331,7151,8455,6879,4556,7071,3.0,-7.0
2020-08-16,CONNECTICUT,979952.0,51267,49251.0,2016.0,42,4456,3572.0,884.0,846,2009,6694,7407,7205,8502,6900,4572,7079,3.0,-14.0
2020-08-17,CONNECTICUT,990712.0,51255,49236.0,2019.0,47,4456,3571.0,885.0,846,2012,6697,7407,7204,8500,6897,4567,7072,0.0,5.0
