DateUpdated,Town,Population,Weekly rate,Cases,Tests
06/18/2020,Andover,3231,0,0,13
06/18/2020,Ansonia,18721,27,5,154
06/18/2020,Ashford,4261,23,<5,35
06/18/2020,Avon,18302,5,<5,87
06/18/2020,Barkhamsted,3624,0,0,24
06/18/2020,Beacon Falls,6182,0,0,40
06/18/2020,Berlin,20432,5,<5,168
06/18/2020,Bethany,5479,0,0,58
06/18/2020,Bethel,19714,5,<5,135
06/18/2020,Bethlehem,3422,0,0,29
06/18/2020,Bloomfield,21301,0,0,248
06/18/2020,Bolton,4890,0,0,27
06/18/2020,Bozrah,2537,0,0,16
06/18/2020,Branford,28005,7,<5,419
06/18/2020,Bridgeport,144900,17,25,1312
06/18/2020,Bridgewater,1641,0,0,7
06/18/2020,Bristol,60032,5,<5,303
06/18/2020,Brookfield,17002,12,<5,135
06/18/2020,Brooklyn,8280,0,0,34
06/18/2020,Burlington,9665,10,<5,40
06/18/2020,Canaan,1055,0,0,6
06/18/2020,Canterbury,5100,0,0,21
06/18/2020,Canton,10270,0,0,57
06/18/2020,Chaplin,2256,0,0,14
06/18/2020,Cheshire,29179,0,0,281
06/18/2020,Chester,4229,0,0,27
06/18/2020,Clinton,12950,15,<5,93
06/18/2020,Colchester,15936,0,0,96
06/18/2020,Colebrook,1405,0,0,6
06/18/2020,Columbia,5385,0,0,47
06/18/2020,Cornwall,1368,0,0,7
06/18/2020,Coventry,12414,16,<5,75
06/18/2020,Cromwell,13905,0,0,85
06/18/2020,Danbury,84730,7,6,713
06/18/2020,Darien,21753,0,0,157
06/18/2020,Deep River,4463,0,0,29
06/18/2020,Derby,12515,0,0,85
06/18/2020,Durham,7195,14,<5,60
06/18/2020,East Granby,5147,0,0,23
06/18/2020,East Haddam,8988,0,0,50
06/18/2020,East Hampton,12854,16,<5,92
06/18/2020,East Hartford,49998,10,5,431
06/18/2020,East Haven,28699,10,<5,323
06/18/2020,East Lyme,18645,5,<5,134
06/18/2020,East Windsor,11375,0,0,60
06/18/2020,Eastford,1790,0,0,11
06/18/2020,Easton,7517,0,0,53
06/18/2020,Ellington,16299,0,0,78
06/18/2020,Enfield,44466,0,0,124
06/18/2020,Essex,6674,0,0,75
06/18/2020,Fairfield,61952,2,<5,544
06/18/2020,Farmington,25506,0,0,161
06/18/2020,Franklin,1933,0,0,11
06/18/2020,Glastonbury,34491,6,<5,231
06/18/2020,Goshen,2879,0,0,22
06/18/2020,Granby,11375,0,0,45
06/18/2020,Greenwich,62727,5,<5,409
06/18/2020,Griswold,11591,0,0,77
06/18/2020,Groton,38692,0,0,309
06/18/2020,Guilford,22216,5,<5,233
06/18/2020,Haddam,8222,0,0,63
06/18/2020,Hamden,60940,2,<5,680
06/18/2020,Hampton,1853,0,0,12
06/18/2020,Hartford,122587,17,21,991
06/18/2020,Hartland,2120,47,<5,7
06/18/2020,Harwinton,5430,18,<5,38
06/18/2020,Hebron,9482,0,0,57
06/18/2020,Kent,2785,0,0,23
06/18/2020,Killingly,17287,6,<5,78
06/18/2020,Killingworth,6370,0,0,54
06/18/2020,Lebanon,7207,0,0,50
06/18/2020,Ledyard,14736,0,0,83
06/18/2020,Lisbon,4248,0,0,20
06/18/2020,Litchfield,8127,12,<5,78
06/18/2020,Lyme,2338,0,0,12
06/18/2020,Madison,18106,0,0,175
06/18/2020,Manchester,57699,7,<5,453
06/18/2020,Mansfield,25817,4,<5,67
06/18/2020,Marlborough,6358,0,0,42
06/18/2020,Meriden,59540,13,8,669
06/18/2020,Middlebury,7731,26,<5,46
06/18/2020,Middlefield,4380,0,0,38
