name,ELLstudents
P.S. 5 PORT MORRIS,17.2
P.S./M.S. 029 MELROSE SCHOOL,16.166666666666668
P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,14.5
J.H.S. 151 LOU GEHRIG,12.666666666666666
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,23.666666666666668
THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,27.666666666666668
P.S./I.S. 224,16.0
SOUTH BRONX ACADEMY FOR APPLIED MEDIA,13.0
ACADEMY OF PUBLIC RELATIONS,14.833333333333334
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,19.166666666666668
HOSTOS-LINCOLN ACADEMY OF SCIENCE,14.5
THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,13.333333333333334
I.S. 584,15.0
P.S. 071 ROSE E. SCALA,15.0
M.S. X101 EDWARD R. BYRNE,16.5
J.H.S. 123 JAMES M. KIERAN,24.666666666666668
J.H.S. 131 ALBERT EINSTEIN,21.5
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,15.5
M.S. 301 PAUL L. DUNBAR,5.0
M.S. 302 LUISA DESSUS CRUZ,28.666666666666668
THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,24.833333333333332
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG",11.5
URBAN INSTITUTE OF MATHEMATICS,8.166666666666666
THE BRONX MATHEMATICS PREPARATORY SCHOOL,7.5
ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,8.333333333333334
THE HUNTS POINT SCHOOL,15.0
SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,14.166666666666666
MOTT HALL COMMUNITY SCHOOL,6.333333333333333
BLUEPRINT MIDDLE SCHOOL,26.2
P.S./M.S. 004 CROTONA PARK WEST,5.166666666666667
J.H.S. 022 JORDAN L. MOTT,33.166666666666664
I.S. 117 JOSEPH H. WADE,41.333333333333336
MOTT HALL III,26.5
KAPPA,22.166666666666668
P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNE,39.0
I.S. 219 NEW VENTURE SCHOOL,14.166666666666666
I.S. 229 ROLAND PATTERSON,14.5
EAGLE ACADEMY FOR YOUNG MEN,3.3333333333333335
I.S. 232,36.666666666666664
URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,17.0
I.S. X303 LEADERSHIP & COMMUNITY SERVICE,29.333333333333332
I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,16.666666666666668
BRONX WRITING ACADEMY,24.166666666666668
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,13.166666666666666
COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,32.833333333333336
NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,12.5
I.S. 339,34.333333333333336
NEW DIRECTIONS SECONDARY SCHOOL,4.4
THE HIGHBRIDGE GREEN SCHOOL,33.75
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,16.5
SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,37.333333333333336
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",22.5
YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,14.2
M.S. 594,10.0
P.S. 3 RAUL JULIA MICRO SOCIETY,7.0
P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,10.5
"PS/MS 20 P.O.GEORGE J. WERDANN, III",35.166666666666664
P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,10.0
THOMAS C. GIORDANO MIDDLE SCHOOL 45,70.0
J.H.S. 080 THE MOSHOLU PARKWAY,45.5
P.S. 095 SHEILA MENCHER,40.166666666666664
J.H.S. 118 WILLIAM W. NILES,84.66666666666667
RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,27.333333333333332
I.S. 206 ANN MERSEREAU,21.5
THEATRE ARTS PRODUCTION COMPANY SCHOOL,12.833333333333334
JONAS BRONCK ACADEMY,26.0
WEST BRONX ACADEMY FOR THE FUTURE,24.666666666666668
THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,75.5
I.S. 254,34.5
"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",39.833333333333336
P.S./M.S. 280 MOSHOLU PARKWAY,29.166666666666668
BRONX DANCE ACADEMY SCHOOL,15.666666666666666
