Municipality,2015,2016,2017,2018,2019,2020 YTD
Andover,"225,765","229,319","226,086","234,035","229,500","169,900"
Ansonia,"172,422","178,267","181,285","196,758","199,500","198,776"
Ashford,"182,121","173,346","203,165","191,892","179,900","224,900"
Avon,"472,545","420,329","416,696","425,656","425,000","390,000"
Barkhamsted,"214,450","274,012","252,133","258,598","250,000","197,150"
Beacon Falls,"225,496","245,015","250,049","208,505","230,000","279,500"
Berlin,"263,159","250,069","250,049","259,360","253,000","287,000"
Bethany,"347,000","341,850","320,896","331,575","315,000","307,500"
Bethel,"301,739","303,275","312,561","316,827","320,450","322,500"
Bethlehem,"242,469","251,931","249,007","272,074","290,000","303,500"
Bloomfield,"172,422","186,222","198,765","182,468","190,000","187,000"
Bolton,"218,222","249,537","265,677","254,224","241,250","245,000"
Bozrah,"171,614","186,222","167,741","172,907","198,000","116,950"
Branford,"336,762","319,237","307,352","310,215","306,500","334,900"
Bridgeport,"150,869","146,849","174,513","177,992","191,750","210,000"
Bridgewater,"501,102","340,520","494,888","485,665","397,500","476,250"
Bristol,"183,199","181,965","172,950","172,907","179,900","179,750"
Brookfield,"370,169","372,443","380,283","371,241","360,000","363,000"
Brooklyn,"188,587","206,972","218,741","198,334","205,500","240,000"
Burlington,"320,597","285,185","325,584","344,797","287,000","328,000"
Canaan,"150,869","223,466","281,305","213,725","198,000","167,856"
Canterbury,"181,582","199,470","193,788","205,708","205,000","180,000"
Canton,"317,903","321,365","317,770","296,993","313,000","280,000"
Chaplin,"158,952","179,699","168,054","167,821","187,450","190,000"
Cheshire,"334,068","319,237","329,231","325,091","320,000","345,000"
Chester,"316,287","278,800","281,305","299,282","281,626","265,000"
Clinton,"264,021","270,287","269,323","273,600","271,250","271,000"
Colchester,"232,232","255,390","239,630","248,172","255,000","240,000"
Colebrook,"177,810","208,302","187,537","200,369","230,000","245,500"
Columbia,"235,195","211,707","224,523","224,779","237,500","263,000"
Cornwall,"237,080","303,275","242,235","289,873","385,000","350,000"
Coventry,"220,916","196,863","185,573","207,692","219,900","190,450"
Cromwell,"233,497","266,031","250,049","235,204","257,000","240,500"
Danbury,"284,928","281,993","304,747","300,044","307,000","306,500"
Darien,"1,465,588","1,359,418","1,390,897","1,286,631","1,210,000","1,290,000"
Deep River,"245,163","241,556","233,639","253,766","280,000","225,000"
Derby,"165,956","189,414","184,932","183,078","200,000","166,000"
Durham,"309,767","284,121","343,817","314,538","290,000","303,750"
