,"Geographic
  District",Borough,Building Code,School DBN,Location Code,SchoolName,Grades Served,Pre-K,Address,BAP Rating,Accessibility Description,Rating,Address_Full,Lat,Lng
0,7,Bronx,X040,07X179,X179,P.S. 179,Elementary,X,468 EAST 140 STREET,1 out of 10,Partially Accessible,1.0,"468 EAST 140 STREET, NEW YORK CITY, NY",40.8091409,-73.92013759999999
1,7,Bronx,X040,07X369,X369,Young Leaders Elementary School,Elementary,X,468 EAST 140 STREET,1 out of 10,Partially Accessible,1.0,"468 EAST 140 STREET, NEW YORK CITY, NY",40.8091409,-73.92013759999999
2,7,Bronx,X040,75X352,X352,The Vida Bogart School for All Children,K-8,,468 EAST 140 STREET,1 out of 10,Partially Accessible,1.0,"468 EAST 140 STREET, NEW YORK CITY, NY",40.8091409,-73.92013759999999
3,7,Bronx,X065,07X065,X065,P.S. 065 Mother Hale Academy,Elementary,X,677 EAST 141 STREET,6 out of 10,Partially Accessible,6.0,"677 EAST 141 STREET, NEW YORK CITY, NY",40.8076622,-73.91274299999999
4,7,Bronx,X065,84X491,X491,Academic Leadership Charter School,K-8,,677 EAST 141 STREET,6 out of 10,Partially Accessible,6.0,"677 EAST 141 STREET, NEW YORK CITY, NY",40.8076622,-73.91274299999999
5,7,Bronx,X151,07X031,X031,P.S./M.S. 031 The William Lloyd Garrison,K-8,X,250 EAST 156 STREET,6 out of 10,Partially Accessible,6.0,"250 EAST 156 STREET, NEW YORK CITY, NY",40.8224876,-73.9215612
6,7,Bronx,X151,07X151,X151,J.H.S. 151 Lou Gehrig,Junior High-Intermediate-Middle,,250 EAST 156 STREET,6 out of 10,Partially Accessible,6.0,"250 EAST 156 STREET, NEW YORK CITY, NY",40.8224876,-73.9215612
7,7,Bronx,X151,84X614,X614,DREAM Mott Haven Charter School,Elementary,,250 EAST 156 STREET,6 out of 10,Partially Accessible,6.0,"250 EAST 156 STREET, NEW YORK CITY, NY",40.8224876,-73.9215612
8,7,Bronx,X151,84X704,X704,KIPP Academy Charter School,K-12 all grades,,250 EAST 156 STREET,6 out of 10,Partially Accessible,6.0,"250 EAST 156 STREET, NEW YORK CITY, NY",40.8224876,-73.9215612
9,7,Bronx,X155,75X754,X754,J. M. Rapport School Career Development,High school,,470 JACKSON AVENUE,4 out of 10,Partially Accessible,4.0,"470 JACKSON AVENUE, NEW YORK CITY, NY",40.81117320000001,-73.90925229999999
10,7,Bronx,X155,84X491,X491,Academic Leadership Charter School,K-8,,470 JACKSON AVENUE,4 out of 10,Partially Accessible,4.0,"470 JACKSON AVENUE, NEW YORK CITY, NY",40.81117320000001,-73.90925229999999
11,7,Bronx,X155,84X615,X615,University Prep Charter Middle School,K-8,,470 JACKSON AVENUE,4 out of 10,Partially Accessible,4.0,"470 JACKSON AVENUE, NEW YORK CITY, NY",40.81117320000001,-73.90925229999999
12,7,Bronx,X156,07X359,X359,Concourse Village Elementary School,Elementary,X,750 CONCOURSE VILLAGE WEST,5 out of 10,Partially Accessible,5.0,"750 CONCOURSE VILLAGE WEST, NEW YORK CITY, NY",40.8231334,-73.92284719999999
13,7,Bronx,X156,75X017,X017,P.S. X017,K-8,,750 CONCOURSE VILLAGE WEST,5 out of 10,Partially Accessible,5.0,"750 CONCOURSE VILLAGE WEST, NEW YORK CITY, NY",40.8231334,-73.92284719999999
14,7,Bronx,X156,84X389,X389,Bronx Global Learning Institute for Girls Charter School,K-8,,750 CONCOURSE VILLAGE WEST,5 out of 10,Partially Accessible,5.0,"750 CONCOURSE VILLAGE WEST, NEW YORK CITY, NY",40.8231334,-73.92284719999999
15,7,Bronx,X162,07X500,X500,Hostos-Lincoln Academy of Science,Secondary School,,600 SAINT ANN'S AVENUE,5 out of 10,Partially Accessible,5.0,"600 SAINT ANN'S AVENUE, NEW YORK CITY, NY",40.8148083,-73.9120169
16,7,Bronx,X162,07X584,X584,I.S. 584,Junior High-Intermediate-Middle,,600 SAINT ANN'S AVENUE,5 out of 10,Partially Accessible,5.0,"600 SAINT ANN'S AVENUE, NEW YORK CITY, NY",40.8148083,-73.9120169
17,7,Bronx,X162,75X010,X010,P.S. X010,K-12 all grades,X,600 SAINT ANN'S AVENUE,5 out of 10,Partially Accessible,5.0,"600 SAINT ANN'S AVENUE, NEW YORK CITY, NY",40.8148083,-73.9120169
18,7,Bronx,X162,84X393,X393,University Prep Charter High School,High school,,600 SAINT ANN'S AVENUE,5 out of 10,Partially Accessible,5.0,"600 SAINT ANN'S AVENUE, NEW YORK CITY, NY",40.8148083,-73.9120169
19,7,Bronx,X183,07X551,X551,The Urban Assembly Bronx Academy of Letters,Secondary School,,339 MORRIS AVENUE,1 out of 10,Partially Accessible,1.0,"339 MORRIS AVENUE, NEW YORK CITY, NY",40.8136662,-73.925921
