Town,Total Housing Units 2010 Census,Government Assisted,Tenant Rental Assistance,Single Family CHFA /USDA Mortgages,Deed Restricted Units,Totally Assisted Units,Percent Affordable,Status
Ansonia,"8,148",349,752,140,9,"1,250",15.34,Exempt
Bloomfield,"9,019",558,99,341,0,998,11.07,Exempt
Bridgeport,"57,012","6,395",4301,916,19,"11,631",20.40,Exempt
Bristol,"27,011","1,908",884,"1,102",0,"3,894",14.42,Exempt
Danbury,"31,154","1,590",1254,571,296,"3,711",11.91,Exempt
Derby,"5,849",275,281,110,0,666,11.39,Exempt
East Hartford,"21,328","1,592",869,1030,0,"3,491",16.37,Exempt
East Windsor,"5,045",559,43,105,0,707,14.01,Exempt
Enfield,"17,558","1,340",219,652,7,"2,218",12.63,Exempt
Groton,"17,978","3,727",99,376,10,"4,212",23.43,Exempt
Hartford,"51,822","10,394","8,474",1514,0,"20,382",39.33,Exempt
Killingly,"7,592",520,147,201,0,868,11.43,Exempt
Manchester,"25,996","1,851",962,964,32,"3,809",14.65,Exempt
Meriden,"25,892","1,962","1,249",1038,11,"4,260",16.45,Exempt
Middletown,"21,223","3,019","1,068",520,25,"4,632",21.83,Exempt
New Britain,"31,226","2,913","1,550",1151,117,"5,731",18.35,Exempt
New Haven,"54,967","9,407","6,721",1009,478,"17,615",32.05,Exempt
New London,"11,840","1,598",507,502,96,"2,703",22.83,Exempt
North Canaan,"1,587",148,1,14,0,163,10.27,Exempt
Norwalk,"35,415","2,169","1,425",427,636,"4,657",13.15,Exempt
Norwich,"18,659","2,221",789,562,0,"3,572",19.14,Exempt
Plainfield,"6,229",377,173,228,0,778,12.49,Exempt
Putnam,"4,299",383,64,84,0,531,12.35,Exempt
Stamford,"50,573","4,210","1,913",434,1270,"7,827",15.48,Exempt
Torrington,"16,761",908,406,538,17,"1,869",11.15,Exempt
Vernon,"13,896","1,509",439,383,12,"2,343",16.86,Exempt
Waterbury,"47,991","5,344","3,290",1787,21,"10,442",21.76,Exempt
West Haven,"22,446","1,024","1,756",456,0,"3,236",14.42,Exempt
Winchester,"5,613",349,168,90,0,607,10.81,Exempt
Windham,"9,570","1,763",594,368,0,"2,725",28.47,Exempt
Andover,"1,317",18,1,29,0,48,3.64,Non-Exempt
Ashford,"1,903",32,0,35,0,67,3.52,Non-Exempt
Avon,"7,389",244,13,43,0,300,4.06,Non-Exempt
Barkhamsted,"1,589",0,6,20,0,26,1.64,Non-Exempt
Beacon Falls,"2,509",0,3,46,0,49,1.95,Non-Exempt
Berlin,"8,140",556,54,138,10,758,9.31,Non-Exempt
Bethany,"2,044",0,2,12,0,14,0.68,Non-Exempt
Bethel,"7,310",152,27,157,78,414,5.66,Non-Exempt
Bethlehem,"1,575",24,1,9,0,34,2.16,Non-Exempt
Bolton,"2,015",0,1,28,0,29,1.44,Non-Exempt
Bozrah,"1,059",0,3,30,0,33,3.12,Non-Exempt
Branford,"13,972",233,60,176,0,469,3.36,Non-Exempt
Bridgewater,881,0,0,1,0,1,0.11,Non-Exempt
Brookfield,"6,562",155,23,111,77,366,5.58,Non-Exempt
Brooklyn,"3,235",189,9,70,0,268,8.28,Non-Exempt
Burlington,"3,389",27,0,44,0,71,2.10,Non-Exempt
Canaan,779,1,4,4,1,10,1.28,Non-Exempt
