State,Peak,color
KY,1997,red
MN,1997,red
NC,1999,red
UT,2012,orange
VT,2011,orange
AL,1996,red
AR,1996,red
IN,2008,yellow
IA,1993,red
MO,1993,red
NH,2011,orange
WI,2008,yellow
ME,2005,yellow
MA,1997,red
SC,1999,red
WA,1996,red
FL,1994,red
TX,2001,yellow
AZ,1993,red
IL,1993,red
KS,1993,red
NE,1993,red
ND,1997,red
OK,2001,yellow
SD,2010,orange
CA,1998,red
GA,1994,red
LA,2005,yellow
MD,1999,red
MS,2005,yellow
PA,2011,orange
TN,2010,orange
VA,2003,yellow
OH,1997,red
WV,2001,yellow
ID,1996,red
NJ,2013,orange
NY,2011,orange
OR,1996,red
AK,2003,yellow
CO,2013,orange
MT,2016,orange
MI,2008,yellow
NV,1997,red
WY,1998,red
NM,1998,red
CT,2011,orange
DE,2003,yellow
RI,2010,orange
HI,1989,grey
