State,Peak,color
KY,1997,green
MN,1997,green
NC,1999,green
UT,2012,orange
VT,2011,orange
AL,1996,green
AR,1996,green
IN,2008,yellow
IA,1993,green
MO,1993,green
NH,2011,orange
WI,2008,yellow
ME,2005,yellow
MA,1997,green
SC,1999,green
WA,1996,green
FL,1994,green
TX,2001,yellow
AZ,1993,green
IL,1993,green
KS,1993,green
NE,1993,green
ND,1997,green
OK,2001,yellow
SD,2010,orange
CA,1998,green
GA,1994,green
LA,2005,yellow
MD,1999,green
MS,2005,yellow
PA,2011,orange
TN,2010,orange
VA,2003,yellow
OH,1997,green
WV,2001,yellow
ID,1996,green
NJ,2013,orange
NY,2011,orange
OR,1996,green
AK,2003,yellow
CO,2013,orange
MT,2016,orange
MI,2008,yellow
NV,1997,green
WY,1998,green
NM,1998,green
CT,2011,orange
DE,2003,yellow
RI,2010,orange
HI,1989,grey
