County,FIPS,State,FEMA Region,Population,NCHS Urban Rural Classification,Tests in prior 14 days,14-day test rate,Percent Positivity in prior 14 days,Test Positivity Classification - 14 days,Timeframe,"14-day test rate per 100,000","14-day test rate per 100,000 population",FIPS code,FEMA region,Percent Positive in prior 7 days,Test Positivity Classification
Fairfield,9001.0,CT,1.0,943332,Medium metro,44791,4748,0.109,Red,11/25/2020,,,,,,
Hartford,9003.0,CT,1.0,891720,Large central metro,41136,4613,0.089,Yellow,11/25/2020,,,,,,
Litchfield,9005.0,CT,1.0,180333,Micropolitan,10563,5857,0.079,Yellow,11/25/2020,,,,,,
Middlesex,9007.0,CT,1.0,162436,Large fringe metro,8639,5318,0.061,Yellow,11/25/2020,,,,,,
New Haven,9009.0,CT,1.0,854757,Medium metro,32387,3789,0.111,Red,11/25/2020,,,,,,
New London,9011.0,CT,1.0,265206,Medium metro,10922,4118,0.063,Yellow,11/25/2020,,,,,,
Tolland,9013.0,CT,1.0,150721,Large fringe metro,6741,4473,0.053,Yellow,11/25/2020,,,,,,
Windham,9015.0,CT,1.0,116782,Medium metro,5517,4724,0.068,Yellow,11/25/2020,,,,,,
Fairfield,9001.0,CT,1.0,943332,Medium metro,39438,4181,0.113,Red,11/18/2020,,,,,,
Hartford,9003.0,CT,1.0,891720,Large central metro,38990,4372,0.084,Yellow,11/18/2020,,,,,,
Litchfield,9005.0,CT,1.0,180333,Micropolitan,9121,5058,0.073,Yellow,11/18/2020,,,,,,
Middlesex,9007.0,CT,1.0,162436,Large fringe metro,8345,5137,0.061,Yellow,11/18/2020,,,,,,
New Haven,9009.0,CT,1.0,854757,Medium metro,30879,3613,0.113,Red,11/18/2020,,,,,,
New London,9011.0,CT,1.0,265206,Medium metro,9875,3724,0.064,Yellow,11/18/2020,,,,,,
Tolland,9013.0,CT,1.0,150721,Large fringe metro,6035,4004,0.051,Yellow,11/18/2020,,,,,,
Windham,9015.0,CT,1.0,116782,Medium metro,5181,4436,0.065,Yellow,11/18/2020,,,,,,
Fairfield,9001.0,CT,1.0,943332,Medium metro,34559,3664,0.096,Yellow,11/11/2020,,,,,,
Hartford,9003.0,CT,1.0,891720,Large central metro,35105,3937,0.067,Yellow,11/11/2020,,,,,,
Litchfield,9005.0,CT,1.0,180333,Micropolitan,7615,4223,0.065,Yellow,11/11/2020,,,,,,
