geo,FACILITIES,CASES,DEATHS,SHARE OF COVID‑19 DEATHS
United States,"17,000","402,000","68,000",41
New Hampshire,27,"2,138",342,81
Rhode Island,69,"2,930",800,79
Connecticut,345,"10,260","3,239",73
Minnesota,892,"5,777","1,251",72
Pennsylvania,887,"24,305","5,012",67
Massachusetts,702,"24,538","5,585",64
Maine,22,649,78,62
Indiana,542,"10,653","1,916",62
Delaware,34,"1,204",362,61
Kentucky,259,"4,409",494,61
Maryland,300,"14,549","2,070",57
Vermont,6,173,32,55
Ohio,898,"14,790","2,060",55
Colorado,195,"6,508","1,024",54
Virginia,338,"8,554","1,282",54
North Dakota,77,580,67,54
Oregon,112,"1,731",204,53
Iowa,83,"2,915",509,53
Illinois,707,"25,452","4,162",53
Washington,459,"5,694",898,50
Idaho,122,"1,321",125,50
Kansas,102,"1,382",197,50
North Carolina,247,"9,476","1,096",47
Utah,342,"2,001",158,45
Nebraska,199,"1,517",159,44
New Jersey,621,"37,599","6,797",43
Georgia,618,"16,935","1,894",43
Mississippi,238,"5,016",842,42
Florida,"1,558","24,647","3,730",42
Oklahoma,238,"2,567",262,41
California,"1,312","43,556","4,446",41
Louisiana,292,"14,087","1,773",40
South Carolina,340,"5,943",821,38
New Mexico,95,"1,323",246,35
Michigan,365,"11,657","2,085",32
West Virginia,53,589,48,31
Texas,"1,531","21,406","2,997",31
Montana,3,200,25,31
District of Columbia,22,"1,044",171,29
Arkansas,201,"2,515",160,28
Tennessee,342,"4,416",335,26
South Dakota,58,384,38,26
Wyoming,4,54,6,21
New York,522,"7,036","6,616",20
Nevada,115,"2,153",177,17
