Office Name,Vote Totals,variable,value
State Representative 17,14824,"Eleni Kavros DeGraw, Democratic Party",7417
State Representative 17,14824,"Eleni Kavros DeGraw, Working Families Party",250
State Representative 17,14824,"Leslee Hill, Independent Party",302
State Representative 17,14824,"Leslee Hill, Republican Party",6855
State Representative 19,2072,"Tammy Exum, Democratic Party",2072
State Representative 105,3664,"Christopher E.  Bowen, Democratic Party",1157
State Representative 105,3664,"Nicole Klarides-Ditria, Republican Party",2507
State Representative 89,3659,"E.J. Maher, Democratic Party",1598
State Representative 89,3659,"Lezlye W. Zupkus, Independent Party",136
State Representative 89,3659,"Lezlye W. Zupkus, Republican Party",1925
State Representative 66,14771,"David T. Wilson, Independent Party",290
State Representative 66,14771,"David T. Wilson, Republican Party",8183
State Representative 66,14771,"Matthew D. Dyer, Democratic Party",6086
State Representative 66,14771,"Matthew D. Dyer, Working Families Party",212
State Representative 64,9413,"Brian M. Ohler, Independent Party",338
State Representative 64,9413,"Brian M. Ohler, Republican Party",4813
State Representative 64,9413,"Maria Horn, Democratic Party",4076
State Representative 64,9413,"Maria Horn, Working Families Party",186
State Representative 47,7886,"Doug Dubitsky, Independent Party",212
State Representative 47,7886,"Doug Dubitsky, Republican Party",4483
State Representative 47,7886,"Kate Donnelly, Democratic Party",3008
State Representative 47,7886,"Kate Donnelly, Working Families Party",183
State Representative 35,7468,"Christine Goupil, Democratic Party",3539
State Representative 35,7468,"Christine Goupil, Independent Party",150
State Representative 35,7468,"Christine Goupil, Working Families Party",79
State Representative 35,7468,"John L. Hall III, Republican Party",3419
State Representative 35,7468,"John May, Green Party",281
State Representative 08,3479,"Brenda Falusi, Democratic Party",1424
State Representative 08,3479,"Timothy Ackert, Republican Party",2055
State Representative 36,11300,"Christine Palm, Democratic Party",5586
State Representative 36,11300,"Christine Palm, Working Families Party",213
State Representative 36,11300,"Robert Siegrist, Independent Party",259
State Representative 36,11300,"Robert Siegrist, Republican Party",5242
State Representative 101,2999,"John-Michael Parker, Democratic Party",1355
State Representative 101,2999,"John-Michael Parker, Independent Party",99
State Representative 101,2999,"John-Michael Parker, Working Families Party",52
