Office Name,Vote Totals,variable,value
State Representative 55,15271,"John Collins, Democratic Party",7124
State Representative 55,15271,"Robin Green, Republican Party",7491
State Representative 55,15271,"Salvatore V. Sena Jr., Petitioning Candidate",656
State Representative 104,9914,"Kara Rochelle, Democratic Party",5346
State Representative 104,9914,"Kara Rochelle, Independent Party",329
State Representative 104,9914,"Kara Rochelle, Working Families Party",235
State Representative 104,9914,"Myra Rivers, Republican Party",4004
State Representative 53,13863,"Pat Wilson Pheanious, Democratic Party",6396
State Representative 53,13863,"Pat Wilson Pheanious, Working Families Party",299
State Representative 53,13863,"Tammy Nuccio, Independent Party",400
State Representative 53,13863,"Tammy Nuccio, Republican Party",6768
State Representative 17,15112,"Eleni Kavros DeGraw, Democratic Party",7575
State Representative 17,15112,"Eleni Kavros DeGraw, Working Families Party",257
State Representative 17,15112,"Leslee Hill, Independent Party",309
State Representative 17,15112,"Leslee Hill, Republican Party",6971
State Representative 19,11682,"Tammy Exum, Democratic Party",11682
State Representative 62,15324,"Audrey Lampert, Democratic Party",6711
State Representative 62,15324,"Mark W. Anderson, Independent Party",413
State Representative 62,15324,"Mark W. Anderson, Republican Party",8200
State Representative 105,13308,"Christopher E.  Bowen, Democratic Party",4366
State Representative 105,13308,"Nicole Klarides-Ditria, Republican Party",8942
State Representative 30,14849,"Donna Veach, Republican Party",8268
State Representative 30,14849,"JoAnn Angelico-Stetson, Democratic Party",6268
State Representative 30,14849,"JoAnn Angelico-Stetson, Working Families Party",313
State Representative 83,11952,"Catherine Abercrombie, Democratic Party",6143
State Representative 83,11952,"Lou Arata, Independent Party",253
State Representative 83,11952,"Lou Arata, Republican Party",5556
State Representative 89,14717,"E.J. Maher, Democratic Party",5351
State Representative 89,14717,"Lezlye W. Zupkus, Independent Party",496
State Representative 89,14717,"Lezlye W. Zupkus, Republican Party",8870
State Representative 107,15080,"Kerri Colombo, Democratic Party",6086
State Representative 107,15080,"Kerri Colombo, Working Families Party",259
State Representative 107,15080,"Stephen G. Harding, Independent Party",488
State Representative 107,15080,"Stephen G. Harding, Republican Party",8247
State Representative 02,13352,"Dan Carter, Independent Party",330
State Representative 02,13352,"Dan Carter, Republican Party",5886
State Representative 02,13352,"Raghib Allie-Brennan, Democratic Party",6848
State Representative 02,13352,"Raghib Allie-Brennan, Working Families Party",288
State Representative 66,14791,"David T. Wilson, Independent Party",291
State Representative 66,14791,"David T. Wilson, Republican Party",8195
State Representative 66,14791,"Matthew D. Dyer, Democratic Party",6093
State Representative 66,14791,"Matthew D. Dyer, Working Families Party",212
State Representative 15,7047,"Bobby Gibson, Democratic Party",6002
State Representative 15,7047,"Bobby Gibson, Working Families Party",334
State Representative 15,7047,"Danielle Cecil Wong, Petitioning Candidate",711
State Representative 139,10511,"Caleb Espinosa, Independent Party",299
State Representative 139,10511,"Caleb Espinosa, Republican Party",4469
State Representative 139,10511,"Kevin Ryan, Democratic Party",5417
State Representative 139,10511,"Kevin Ryan, Working Families Party",326
State Representative 102,13588,"Marc Riccio, Independent Party",234
State Representative 102,13588,"Marc Riccio, Republican Party",5539
State Representative 102,13588,"Robin Comey, Democratic Party",7506
State Representative 102,13588,"Robin Comey, Working Families Party",309
State Representative 98,10142,"Sean Scanlon, Democratic Party",9464
State Representative 98,10142,"Sean Scanlon, Working Families Party",678
State Representative 130,3723,"Antonio Felipe, Democratic Party",3090
State Representative 130,3723,"Terrence A. Sullivan, Republican Party",633
State Representative 124,3301,"Andre F. Baker, Democratic Party",2668
State Representative 124,3301,"Jasmin Sanchez, Republican Party",569
State Representative 124,3301,"Wilfredo Martinez, Independent Party",64
State Representative 126,6107,"Charlie Stallworth, Democratic Party",4886
State Representative 126,6107,"Lee V. Grisby II, Republican Party",1221
State Representative 129,4905,"Helene S. Kouassi, Republican Party",1174
State Representative 129,4905,"Robert E. Halstead, Petitioning Candidate",137
State Representative 129,4905,"Steven Stafstrom, Democratic Party",3594
State Representative 127,4389,"John (Jack) F. Hennessy, Democratic Party",2920
State Representative 127,4389,"Peter Perillo, Republican Party",1370
State Representative 127,4389,"Robert T. Keeley Jr., Petitioning Candidate",99
State Representative 128,3188,"Christopher Rosario, Democratic Party",2480
State Representative 128,3188,"Ethan Book Jr., Independent Party",83
State Representative 128,3188,"Ethan Book Jr., Republican Party",581
State Representative 128,3188,"Wanda R. Simmons, Petitioning Candidate",44
State Representative 77,12234,"Andrew M. Rasmussen-Tuller, Democratic Party",5728
State Representative 77,12234,"Cara Pavalock-D'Amato, Independent Party",427
State Representative 77,12234,"Cara Pavalock-D'Amato, Republican Party",6079
State Representative 79,10358,"Christopher Ziogas, Democratic Party",5450
State Representative 79,10358,"David Rackliffe, Independent Party",315
State Representative 79,10358,"David Rackliffe, Republican Party",4593
State Representative 78,11177,"Aileen Abrams, Independent Party",2801
State Representative 78,11177,"Whit Betts, Republican Party",8376
State Representative 50,8564,"Pat Boyd, Democratic Party",8564
State Representative 76,14837,"John Piscopo, Independent Party",396
State Representative 76,14837,"John Piscopo, Republican Party",8768
State Representative 76,14837,"Paul Honig, Democratic Party",5673
State Representative 64,13840,"Brian M. Ohler, Independent Party",470
State Representative 64,13840,"Brian M. Ohler, Republican Party",6204
State Representative 64,13840,"Maria Horn, Democratic Party",6881
State Representative 64,13840,"Maria Horn, Working Families Party",285
State Representative 47,13554,"Doug Dubitsky, Independent Party",357
State Representative 47,13554,"Doug Dubitsky, Republican Party",7315
State Representative 47,13554,"Kate Donnelly, Democratic Party",5556
State Representative 47,13554,"Kate Donnelly, Working Families Party",326
State Representative 103,12590,"Liz Linehan, Democratic Party",6355
State Representative 103,12590,"Pam Salamone, Independent Party",278
State Representative 103,12590,"Pam Salamone, Republican Party",5957
State Representative 90,11660,"Craig Fishbein, Independent Party",170
State Representative 90,11660,"Craig Fishbein, Republican Party",5427
State Representative 90,11660,"Jim Jinks, Democratic Party",5885
State Representative 90,11660,"Jim Jinks, Working Families Party",178
State Representative 36,15388,"Christine Palm, Democratic Party",8104
State Representative 36,15388,"Christine Palm, Working Families Party",307
State Representative 36,15388,"Robert Siegrist, Independent Party",368
State Representative 36,15388,"Robert Siegrist, Republican Party",6609
State Representative 35,14074,"Christine Goupil, Democratic Party",6572
State Representative 35,14074,"Christine Goupil, Independent Party",260
State Representative 35,14074,"Christine Goupil, Working Families Party",152
State Representative 35,14074,"John L. Hall III, Republican Party",6739
State Representative 35,14074,"John May, Green Party",351
State Representative 34,14137,"Irene M. Haines, Republican Party",7885
State Representative 34,14137,"Judd Melon, Democratic Party",5799
State Representative 34,14137,"Judd Melon, Working Families Party",226
State Representative 34,14137,"Lance Lusignan, Independent Party",227
State Representative 48,13647,"Brian Smith, Democratic Party",6920
State Representative 48,13647,"Brian Smith, Working Families Party",358
State Representative 48,13647,"Julie Shilosky, Independent Party",331
