Office Name,Vote Totals,variable,value
State Representative 17,8380,"Eleni Kavros DeGraw, Democratic Party",4392
State Representative 17,8380,"Eleni Kavros DeGraw, Working Families Party",128
State Representative 17,8380,"Leslee Hill, Independent Party",117
State Representative 17,8380,"Leslee Hill, Republican Party",3743
State Representative 19,2072,"Tammy Exum, Democratic Party",2072
State Representative 34,7782,"Irene M. Haines, Republican Party",4286
State Representative 34,7782,"Judd Melon, Democratic Party",3200
State Representative 34,7782,"Judd Melon, Working Families Party",154
State Representative 34,7782,"Lance Lusignan, Independent Party",142
State Representative 76,3664,"John Piscopo, Independent Party",60
State Representative 76,3664,"John Piscopo, Republican Party",2277
State Representative 76,3664,"Paul Honig, Democratic Party",1327
State Representative 55,6108,"John Collins, Democratic Party",3010
State Representative 55,6108,"Robin Green, Republican Party",2944
State Representative 55,6108,"Salvatore V. Sena Jr., Petitioning Candidate",154
State Representative 23,1764,"David A. Rubino, Democratic Party",926
State Representative 23,1764,"David A. Rubino, Working Families Party",19
State Representative 23,1764,"Devin R. Carney, Independent Party",38
State Representative 23,1764,"Devin R. Carney, Republican Party",781
State Representative 66,1966,"David T. Wilson, Independent Party",46
State Representative 66,1966,"David T. Wilson, Republican Party",977
State Representative 66,1966,"Matthew D. Dyer, Democratic Party",899
State Representative 66,1966,"Matthew D. Dyer, Working Families Party",44
State Representative 69,1558,"Cindy Harrison, Republican Party",739
State Representative 69,1558,"Michele Zommer, Democratic Party",819
State Representative 47,949,"Doug Dubitsky, Independent Party",23
State Representative 47,949,"Doug Dubitsky, Republican Party",541
State Representative 47,949,"Kate Donnelly, Democratic Party",365
State Representative 47,949,"Kate Donnelly, Working Families Party",20
State Representative 50,353,"Pat Boyd, Democratic Party",353
