Office Name,Vote Totals,variable,value
State Senator 04,51678,"Harold S. Harris, Independent Party",763
State Senator 04,51678,"Kelly Elizabeth Green, Reclaim Party",769
State Senator 04,51678,"Matthew M. Corey, Republican Party",20006
State Senator 04,51678,"Steve Cassano, Democratic Party",28991
State Senator 04,51678,"Steve Cassano, Working Families Party",1149
State Senator 17,46138,"George Logan, Independent Party",1458
State Senator 17,46138,"George Logan, Republican Party",21196
State Senator 17,46138,"Jorge Cabrera, Democratic Party",22308
State Senator 17,46138,"Jorge Cabrera, Working Families Party",1176
State Senator 35,57103,"Dan Champagne, Republican Party",28815
State Senator 35,57103,"Lisa Thomas, Democratic Party",26134
State Senator 35,57103,"Lisa Thomas, Independent Party",1161
State Senator 35,57103,"Lisa Thomas, Working Families Party",993
State Senator 08,56640,"Keith James McConnell, Independent Party",1086
State Senator 08,56640,"Kevin Witkos, Republican Party",29253
State Senator 08,56640,"Melissa E. Osborne, Democratic Party",26301
State Senator 06,36204,"Gennaro Bizzarro, Republican Party",16055
State Senator 06,36204,"Rick Lopes, Democratic Party",19192
State Senator 06,36204,"Rick Lopes, Working Families Party",957
State Senator 26,64915,"Kim Healy, Independent Party",1346
State Senator 26,64915,"Kim Healy, Republican Party",25632
State Senator 26,64915,"Will Haskell, Democratic Party",37937
State Senator 24,40754,"Julie Kushner, Democratic Party",21444
State Senator 24,40754,"Julie Kushner, Working Families Party",962
State Senator 24,40754,"Susan Chapman, Independent Party",750
State Senator 24,40754,"Susan Chapman, Republican Party",17598
State Senator 32,55488,"Eric C. Berthel, Republican Party",32415
State Senator 32,55488,"Jeffrey Desmarais, Democratic Party",23073
State Senator 02,29064,"Douglas McCrory, Democratic Party",29064
State Senator 05,71822,"Derek Slap, Democratic Party",43911
State Senator 05,71822,"Joelle Nawrocki, Independent Party",2570
State Senator 05,71822,"Phillip Chabot, Republican Party",25341
State Senator 20,50677,"Joseph Taraya, Independent Party",586
State Senator 20,50677,"Martha Marx, Democratic Party",23327
State Senator 20,50677,"Martha Marx, Working Families Party",1104
State Senator 20,50677,"Paul M. Formica, Republican Party",25660
State Senator 12,57767,"Christine Cohen, Democratic Party",31001
State Senator 12,57767,"Christine Cohen, Independent Party",1055
State Senator 12,57767,"Christine Cohen, Working Families Party",803
State Senator 12,57767,"Joe LaPorta, Republican Party",24908
State Senator 23,16520,"Dennis Bradley, Democratic Party",13441
State Senator 23,16520,"Josiah Israel, Republican Party",3079
State Senator 22,36281,"Devon Brown, Write In",9
State Senator 22,36281,"Marilyn Moore, Democratic Party",19813
State Senator 22,36281,"Stephen Dincher, Independent Party",692
State Senator 22,36281,"Steven S. Choi, Republican Party",15767
State Senator 30,38580,"Craig Miner, Republican Party",20620
State Senator 30,38580,"David R. Gronbach, Democratic Party",16648
State Senator 30,38580,"David R. Gronbach, Working Families Party",692
State Senator 30,38580,"Joseph A. Bongiorno, Independent Party",620
State Senator 29,35408,"Jessica Alba, Independent Party",1054
State Senator 29,35408,"Jessica Alba, Republican Party",15900
State Senator 29,35408,"Mae Flexer, Democratic Party",17376
State Senator 29,35408,"Mae Flexer, Working Families Party",1078
State Senator 16,74561,"Jack Perry, Democratic Party",22113
State Senator 16,74561,"Jack Perry, Independent Party",1483
State Senator 16,74561,"Jack Perry, Working Families Party",816
State Senator 16,74561,"Paul J. Small, Write In",4
State Senator 16,74561,"Rob Sampson, Republican Party",50145
State Senator 13,43784,"Len Suzio, Independent Party",1446
State Senator 13,43784,"Len Suzio, Republican Party",19914
State Senator 13,43784,"Mary Daugherty Abrams, Democratic Party",21462
State Senator 13,43784,"Mary Daugherty Abrams, Working Families Party",962
State Senator 33,54461,"Brendan Saunders, Republican Party",25128
State Senator 33,54461,"Norm Needleman, Democratic Party",27451
State Senator 33,54461,"Norm Needleman, Independent Party",1882
State Senator 19,48019,"Catherine A. Osten, Democratic Party",24212
State Senator 19,48019,"Catherine A. Osten, Working Families Party",1379
State Senator 19,48019,"Steve Weir, Republican Party",21557
State Senator 19,48019,"William H. Russell, Independent Party",871
State Senator 09,42050,"Matt Lesser, Democratic Party",20907
State Senator 09,42050,"Matt Lesser, Working Families Party",1153
State Senator 09,42050,"Richard Ruglio, Independent Party",949
State Senator 09,42050,"Richard Ruglio, Republican Party",19041
State Senator 25,49412,"Bob Duff, Democratic Party",28899
State Senator 25,49412,"Bob Duff, Working Families Party",889
State Senator 25,49412,"Ellie Kousidis, Independent Party",1283
State Senator 25,49412,"Ellie Kousidis, Republican Party",18341
