Office Name,Vote Totals,variable,value
State Senator 04,54032,"Harold S. Harris, Independent Party",826
State Senator 04,54032,"Kelly Elizabeth Green, Reclaim Party",822
State Senator 04,54032,"Matthew M. Corey, Republican Party",20752
State Senator 04,54032,"Steve Cassano, Democratic Party",30402
State Senator 04,54032,"Steve Cassano, Working Families Party",1230
State Senator 17,48194,"George Logan, Independent Party",1508
State Senator 17,48194,"George Logan, Republican Party",21683
State Senator 17,48194,"Jorge Cabrera, Democratic Party",23782
State Senator 17,48194,"Jorge Cabrera, Working Families Party",1221
State Senator 35,56899,"Dan Champagne, Republican Party",28763
State Senator 35,56899,"Lisa Thomas, Democratic Party",25869
State Senator 35,56899,"Lisa Thomas, Independent Party",1208
State Senator 35,56899,"Lisa Thomas, Working Families Party",1059
State Senator 08,57623,"Keith James McConnell, Independent Party",1113
State Senator 08,57623,"Kevin Witkos, Republican Party",29699
State Senator 08,57623,"Melissa E. Osborne, Democratic Party",26811
State Senator 06,36875,"Gennaro Bizzarro, Republican Party",16333
State Senator 06,36875,"Rick Lopes, Democratic Party",19550
State Senator 06,36875,"Rick Lopes, Working Families Party",992
State Senator 26,65383,"Kim Healy, Independent Party",1357
State Senator 26,65383,"Kim Healy, Republican Party",25832
State Senator 26,65383,"Will Haskell, Democratic Party",38194
State Senator 24,41792,"Julie Kushner, Democratic Party",22074
State Senator 24,41792,"Julie Kushner, Working Families Party",1000
State Senator 24,41792,"Susan Chapman, Independent Party",774
State Senator 24,41792,"Susan Chapman, Republican Party",17944
State Senator 32,56701,"Eric C. Berthel, Republican Party",33005
State Senator 32,56701,"Jeffrey Desmarais, Democratic Party",23696
State Senator 02,29064,"Douglas McCrory, Democratic Party",29064
State Senator 05,71850,"Derek Slap, Democratic Party",43929
State Senator 05,71850,"Joelle Nawrocki, Independent Party",2570
State Senator 05,71850,"Phillip Chabot, Republican Party",25351
State Senator 20,50765,"Joseph Taraya, Independent Party",586
State Senator 20,50765,"Martha Marx, Democratic Party",23398
State Senator 20,50765,"Martha Marx, Working Families Party",1104
State Senator 20,50765,"Paul M. Formica, Republican Party",25677
State Senator 12,57767,"Christine Cohen, Democratic Party",31001
State Senator 12,57767,"Christine Cohen, Independent Party",1055
State Senator 12,57767,"Christine Cohen, Working Families Party",803
State Senator 12,57767,"Joe LaPorta, Republican Party",24908
State Senator 23,17837,"Dennis Bradley, Democratic Party",14535
State Senator 23,17837,"Josiah Israel, Republican Party",3302
State Senator 22,36281,"Devon Brown, Write In",9
State Senator 22,36281,"Marilyn Moore, Democratic Party",19813
State Senator 22,36281,"Stephen Dincher, Independent Party",692
State Senator 22,36281,"Steven S. Choi, Republican Party",15767
State Senator 31,49867,"Henri Martin, Independent Party",1674
State Senator 31,49867,"Henri Martin, Republican Party",27687
State Senator 31,49867,"Mary B. Fortier, Democratic Party",20506
State Senator 30,53702,"Craig Miner, Republican Party",28660
State Senator 30,53702,"David R. Gronbach, Democratic Party",23099
State Senator 30,53702,"David R. Gronbach, Working Families Party",1010
State Senator 30,53702,"Joseph A. Bongiorno, Independent Party",933
State Senator 29,40018,"Jessica Alba, Independent Party",1244
State Senator 29,40018,"Jessica Alba, Republican Party",17895
State Senator 29,40018,"Mae Flexer, Democratic Party",19619
State Senator 29,40018,"Mae Flexer, Working Families Party",1260
State Senator 16,54306,"Jack Perry, Democratic Party",22717
State Senator 16,54306,"Jack Perry, Independent Party",1537
State Senator 16,54306,"Jack Perry, Working Families Party",839
State Senator 16,54306,"Paul J. Small, Write In",4
