Office Name,Vote Totals,variable,value
State Senator 04,27392,"Harold S. Harris, Independent Party",406
State Senator 04,27392,"Kelly Elizabeth Green, Reclaim Party",497
State Senator 04,27392,"Matthew M. Corey, Republican Party",9539
State Senator 04,27392,"Steve Cassano, Democratic Party",16191
State Senator 04,27392,"Steve Cassano, Working Families Party",759
State Senator 35,30265,"Dan Champagne, Republican Party",15608
State Senator 35,30265,"Lisa Thomas, Democratic Party",13438
State Senator 35,30265,"Lisa Thomas, Independent Party",668
State Senator 35,30265,"Lisa Thomas, Working Families Party",551
State Senator 08,54881,"Keith James McConnell, Independent Party",1045
State Senator 08,54881,"Kevin Witkos, Republican Party",28121
State Senator 08,54881,"Melissa E. Osborne, Democratic Party",25715
State Senator 17,38237,"George Logan, Independent Party",1200
State Senator 17,38237,"George Logan, Republican Party",17351
State Senator 17,38237,"Jorge Cabrera, Democratic Party",18730
State Senator 17,38237,"Jorge Cabrera, Working Families Party",956
State Senator 32,48585,"Eric C. Berthel, Republican Party",28430
State Senator 32,48585,"Jeffrey Desmarais, Democratic Party",20155
State Senator 02,4757,"Douglas McCrory, Democratic Party",4757
State Senator 05,28204,"Derek Slap, Democratic Party",12578
State Senator 05,28204,"Joelle Nawrocki, Independent Party",1386
State Senator 05,28204,"Phillip Chabot, Republican Party",14240
State Senator 20,38707,"Joseph Taraya, Independent Party",438
State Senator 20,38707,"Martha Marx, Democratic Party",18092
State Senator 20,38707,"Martha Marx, Working Families Party",891
State Senator 20,38707,"Paul M. Formica, Republican Party",19286
State Senator 30,33677,"Craig Miner, Republican Party",19024
State Senator 30,33677,"David R. Gronbach, Democratic Party",13500
State Senator 30,33677,"David R. Gronbach, Working Families Party",587
State Senator 30,33677,"Joseph A. Bongiorno, Independent Party",566
State Senator 29,18523,"Jessica Alba, Independent Party",602
State Senator 29,18523,"Jessica Alba, Republican Party",9940
State Senator 29,18523,"Mae Flexer, Democratic Party",7475
State Senator 29,18523,"Mae Flexer, Working Families Party",506
State Senator 33,44532,"Brendan Saunders, Republican Party",20284
State Senator 33,44532,"Norm Needleman, Democratic Party",22744
State Senator 33,44532,"Norm Needleman, Independent Party",1504
State Senator 19,21154,"Catherine A. Osten, Democratic Party",9656
