Office Name,Vote Totals,variable,value
State Senator 08,12538,"Keith James McConnell, Independent Party",181
State Senator 08,12538,"Kevin Witkos, Republican Party",6172
State Senator 08,12538,"Melissa E. Osborne, Democratic Party",6185
State Senator 33,9568,"Brendan Saunders, Republican Party",4553
State Senator 33,9568,"Norm Needleman, Democratic Party",4667
State Senator 33,9568,"Norm Needleman, Independent Party",348
State Senator 31,2621,"Henri Martin, Independent Party",49
State Senator 31,2621,"Henri Martin, Republican Party",1721
State Senator 31,2621,"Mary B. Fortier, Democratic Party",851
State Senator 19,6146,"Catherine A. Osten, Democratic Party",2825
State Senator 19,6146,"Catherine A. Osten, Working Families Party",111
State Senator 19,6146,"Steve Weir, Republican Party",3130
State Senator 19,6146,"William H. Russell, Independent Party",80
State Senator 30,2445,"Craig Miner, Republican Party",1531
State Senator 30,2445,"David R. Gronbach, Democratic Party",837
State Senator 30,2445,"David R. Gronbach, Working Families Party",36
State Senator 30,2445,"Joseph A. Bongiorno, Independent Party",41
State Senator 32,1560,"Eric C. Berthel, Republican Party",726
State Senator 32,1560,"Jeffrey Desmarais, Democratic Party",834
State Senator 29,936,"Jessica Alba, Independent Party",35
State Senator 29,936,"Jessica Alba, Republican Party",532
State Senator 29,936,"Mae Flexer, Democratic Party",357
State Senator 29,936,"Mae Flexer, Working Families Party",12
State Senator 35,555,"Dan Champagne, Republican Party",319
State Senator 35,555,"Lisa Thomas, Democratic Party",215
State Senator 35,555,"Lisa Thomas, Independent Party",16
State Senator 35,555,"Lisa Thomas, Working Families Party",5
