Office Name,Vote Totals,variable,value
State Senator 04,47703,"Lorraine Marchetti, Independent Party",1432
State Senator 04,47703,"Lorraine Marchetti, Republican Party",22125
State Senator 04,47703,"Steve Cassano, Democratic Party",22525
State Senator 04,47703,"Steve Cassano, Working Families Party",1621
State Senator 17,42371,"George Logan, Independent Party",1974
State Senator 17,42371,"George Logan, Republican Party",19628
State Senator 17,42371,"Joe Crisco, Democratic Party",19132
State Senator 17,42371,"Joe Crisco, Working Families Party",1637
State Senator 35,51028,"Arlene Avery, Democratic Party",17238
State Senator 35,51028,"Arlene Avery, Working Families Party",1961
State Senator 35,51028,"Tony Guglielmo, Republican Party",31829
State Senator 08,51043,"David Pena, Democratic Party",18204
State Senator 08,51043,"Kevin Witkos, Independent Party",2156
State Senator 08,51043,"Kevin Witkos, Republican Party",30683
State Senator 06,32705,"Charles Paonessa, Republican Party",10788
State Senator 06,32705,"Sharon R. Beloin-Saavedra, Petitioning Candidate",2234
State Senator 06,32705,"Terry Bielinski Gerratana, Democratic Party",18227
State Senator 06,32705,"Terry Bielinski Gerratana, Working Families Party",1456
State Senator 26,57525,"Carolanne Curry, Democratic Party",22898
State Senator 26,57525,"Toni Boucher, Republican Party",34627
State Senator 24,39246,"Kenneth Gucker, Democratic Party",17622
State Senator 24,39246,"Kenneth Gucker, Working Families Party",1123
State Senator 24,39246,"Michael A. McLachlan, Independent Party",1005
State Senator 24,39246,"Michael A. McLachlan, Republican Party",19496
State Senator 32,50189,"Greg Cava, Democratic Party",15697
State Senator 32,50189,"Greg Cava, Working Families Party",1402
State Senator 32,50189,"Robert J. Kane, Republican Party",33090
State Senator 02,36661,"Charles Jackson, Write-In",1
State Senator 02,36661,"Eric D. Coleman, Democratic Party",29319
State Senator 02,36661,"Eric D. Coleman, Working Families Party",1453
State Senator 02,36661,"Martha S. Kelly, Write-In",0
State Senator 02,36661,"Theresa Tillett, Republican Party",5888
State Senator 05,69000,"Beth Bye, Democratic Party",38880
State Senator 05,69000,"Mark Merritt, Independent Party",1405
State Senator 05,69000,"Mark Merritt, Republican Party",28715
State Senator 20,44262,"Paul M. Formica, Independent Party",2093
State Senator 20,44262,"Paul M. Formica, Republican Party",24408
State Senator 20,44262,"Ryan Henowitz, Democratic Party",16429
State Senator 20,44262,"Ryan Henowitz, Working Families Party",1332
State Senator 12,53297,"Bruce Wilson Jr., Independent Party",778
State Senator 12,53297,"Bruce Wilson Jr., Republican Party",20430
State Senator 12,53297,"Edward Kennedy Jr., Democratic Party",29567
State Senator 12,53297,"Edward Kennedy Jr., Working Families Party",2522
State Senator 23,22272,"Ed Gomes, Democratic Party",18792
State Senator 23,22272,"Ed Gomes, Working Families Party",897
State Senator 23,22272,"Mike Garrett, Republican Party",2583
State Senator 22,39156,"Elaine Hammers, Independent Party",736
State Senator 22,39156,"Elaine Hammers, Republican Party",16149
State Senator 22,39156,"Marilyn V. Moore, Democratic Party",21075
State Senator 22,39156,"Marilyn V. Moore, Working Families Party",1196
State Senator 31,45215,"Henri Martin, Independent Party",1555
State Senator 31,45215,"Henri Martin, Republican Party",25607
State Senator 31,45215,"Michael Nicastro, Democratic Party",18053
State Senator 30,47718,"Craig A. Miner, Independent Party",1381
