Town,Reg_Voters,%_Applied,%_Voted
Andover,2346.0,23.145780051150894,14.02387041773231
Ansonia,10302.0,20.219374878664336,13.841972432537371
Ashford,2911.0,27.104087942287872,19.34043284094813
Avon,13887.0,39.88622452653561,28.2350399654353
Barkhamsted,2925.0,28.23931623931624,19.692307692307693
Beacon Falls,4343.0,22.68017499424361,16.25604420907207
Berlin,15104.0,28.568591101694917,18.968485169491526
Bethany,4109.0,26.697493307374057,18.349963494767582
Bethel,12968.0,30.683220234423196,22.131400370141886
Bethlehem,2848.0,23.24438202247191,15.589887640449438
Bloomfield,15375.0,38.855284552845525,28.63089430894309
Bolton,3628.0,26.681367144432194,18.10915104740904
Bozrah,1908.0,19.70649895178197,14.150943396226415
Branford,21807.0,34.55771082679873,26.344751685238684
Bridgeport,77011.0,17.611769747178975,7.000298658633183
Bridgewater,1389.0,28.72570194384449,22.24622030237581
Bristol,36710.0,27.085262871152274,19.948242985562516
Brookfield,12795.0,29.738178976162562,20.578350918327473
Brooklyn,5120.0,22.91015625,16.5625
Burlington,6420.0,33.161993769470406,22.80373831775701
Canaan,742.0,30.32345013477089,23.8544474393531
Canterbury,3651.0,18.67981374965763,12.845795672418516
Canton,7806.0,37.89392774788624,26.454009736100435
Chaplin,1564.0,17.58312020460358,12.915601023017903
Cheshire,20382.0,36.39976449808655,26.85212442351094
Chester,2878.0,41.765114662960386,32.55733148019458
Clinton,10323.0,31.11498595369563,23.123123123123122
Colchester,10800.0,31.86111111111111,23.324074074074073
Colebrook,1089.0,20.477502295684115,13.039485766758494
Columbia,4057.0,29.84964259304905,21.12398323884644
Cornwall,1147.0,34.612031386224935,25.632083696599825
Coventry,9090.0,28.712871287128714,20.055005500550056
Cromwell,10664.0,29.351087771942986,21.933608402100525
Danbury,44181.0,26.067766687037413,17.822140739231795
Darien,14991.0,39.01007271029284,23.907677940097393
Deep River,3369.0,28.88097358266548,20.896408429801127
Derby,6946.0,24.18658220558595,16.282752663403397
Durham,5391.0,29.02986458913003,20.40437766648117
Eastford,1271.0,17.62391817466562,12.273800157356412
East Granby,3860.0,23.78238341968912,16.191709844559586
East Haddam,6952.0,26.208285385500574,18.771576524741082
East Hampton,9072.0,31.150793650793652,22.34347442680776
East Hartford,30854.0,21.608219355675114,14.669086666234524
East Haven,18818.0,23.17462004463811,16.680837496014455
East Lyme,13577.0,38.49893201738234,29.06385799513884
Easton,5666.0,32.06847864454642,20.225908930462406
East Windsor,8626.0,25.770925110132158,17.980523997217713
Ellington,11042.0,30.048904184024632,20.82955986234378
Enfield,25798.0,30.26203581672998,21.385378711528027
Essex,5577.0,39.37600860677784,29.998206921283845
Fairfield,41665.0,35.91983679347174,23.494539781591264
Farmington,20221.0,35.2059739874388,25.394391968745364
Franklin,1407.0,20.82444918265814,13.717128642501777
Glastonbury,25222.0,38.55364364443739,27.690111807152487
Goshen,2333.0,22.931847406772395,17.059579939991426
Granby,8212.0,33.92596200681929,23.59961032635168
Greenwich,41117.0,38.26641048714644,25.305834569642727
Griswold,7874.0,20.688341376682754,14.376428752857505
Groton,20803.0,31.870403307215305,22.68422823631207
Guilford,16537.0,37.902884440950594,29.4612081997944
Haddam,6377.0,25.027442371020857,18.47263603575349
