Date,State,COVID-19 PCR tests reported,Total cases,Confirmed cases,Probable cases,Hospitalized cases,Total deaths,Confirmed deaths,Probable deaths,cases_age0_9,cases_age10_19,cases_age20_29,cases_age30_39,cases_age40_49,cases_age50_59,cases_age60_69,cases_age70_79,cases_age80_Older,Deaths_per_day,Hosp_per_day
2020-03-24,CONNECTICUT,,618,,,71,12,,,9,10,78,81,105,115,98,61,59,,
2020-03-25,CONNECTICUT,,883,,,113,19,,,12,19,120,131,138,172,133,84,74,7.0,42.0
2020-03-26,CONNECTICUT,,1012,,,125,21,,,14,20,142,151,154,204,151,94,82,2.0,12.0
2020-03-27,CONNECTICUT,,1291,,,173,27,,,11,23,168,192,190,275,200,124,108,6.0,48.0
2020-03-28,CONNECTICUT,,1524,,,205,33,,,15,35,192,230,231,326,228,144,123,6.0,32.0
2020-03-29,CONNECTICUT,,1993,,,205,34,,,20,48,239,308,324,428,314,172,140,1.0,0.0
2020-03-30,CONNECTICUT,14600.0,2571,,,517,36,,,27,58,320,403,427,550,406,221,159,2.0,312.0
2020-03-31,CONNECTICUT,15600.0,3128,,,608,69,,,28,66,387,496,536,665,485,253,208,33.0,91.0
2020-04-01,CONNECTICUT,16600.0,3557,,,766,85,,,29,74,432,560,620,752,550,296,240,16.0,158.0
2020-04-02,CONNECTICUT,18300.0,3824,,,827,112,,,31,78,464,585,664,810,607,320,260,27.0,61.0
2020-04-03,CONNECTICUT,20015.0,4914,,,909,131,,,39,97,561,743,834,1010,756,403,341,19.0,82.0
2020-04-04,CONNECTICUT,22029.0,5276,,,1033,165,,,47,106,607,801,900,1084,829,441,391,34.0,124.0
2020-04-05,CONNECTICUT,23270.0,5675,,,1142,189,,,49,113,639,856,963,1152,896,475,463,24.0,109.0
2020-04-06,CONNECTICUT,26686.0,6906,,,1221,206,,,60,149,792,1062,1189,1390,1092,569,546,17.0,79.0
2020-04-07,CONNECTICUT,29036.0,7781,,,1308,277,,,67,168,870,1189,1302,1550,1247,646,635,71.0,87.0
2020-04-08,CONNECTICUT,31700.0,8781,,,1418,335,,,73,184,973,1328,1438,1761,1417,748,752,58.0,110.0
2020-04-09,CONNECTICUT,33502.0,9784,,,1464,380,,,77,203,1097,1478,1626,1968,1561,836,839,45.0,46.0
2020-04-10,CONNECTICUT,36288.0,10538,,,1562,448,,,81,215,1178,1575,1747,2115,1675,916,940,68.0,98.0
2020-04-11,CONNECTICUT,39831.0,11510,,,1593,494,,,88,238,1266,1701,1887,2273,1854,1027,1090,46.0,31.0
2020-04-12,CONNECTICUT,41220.0,12035,,,1654,554,,,89,245,1305,1772,1972,2372,1947,1080,1167,60.0,61.0
2020-04-13,CONNECTICUT,44309.0,13381,,,1760,602,,,97,274,1430,1921,2151,2593,2148,1212,1314,48.0,106.0
2020-04-14,CONNECTICUT,45841.0,13989,,,1779,671,,,100,281,1489,2013,2256,2715,2245,1266,1396,69.0,19.0
2020-04-15,CONNECTICUT,50143.0,14755,,,1908,868,,,107,291,1557,2101,2348,2838,2357,1381,1581,197.0,129.0
2020-04-16,CONNECTICUT,53122.0,15884,,,1926,971,,,117,311,1670,2244,2534,3050,2545,1477,1734,103.0,18.0
2020-04-17,CONNECTICUT,55462.0,16809,,,1946,1036,,,130,330,1781,2379,2683,3248,2683,1541,1866,65.0,20.0
2020-04-18,CONNECTICUT,58213.0,17550,,,1938,1086,,,133,345,1854,2469,2791,3375,2805,1618,1994,50.0,-8.0
2020-04-19,CONNECTICUT,59759.0,17962,,,1901,1127,,,138,349,1884,2520,2846,3433,2871,1662,2095,41.0,-37.0
2020-04-20,CONNECTICUT,62806.0,19815,,,1919,1331,,,137,371,2013,2718,3048,3696,3162,1901,2533,204.0,18.0
2020-04-21,CONNECTICUT,64192.0,20360,,,1949,1423,,,144,386,2074,2805,3121,3774,3247,1948,2624,92.0,30.0
2020-04-22,CONNECTICUT,69918.0,22469,,,1972,1544,,,166,448,2313,3136,3450,4232,3549,2114,2828,121.0,23.0
2020-04-23,CONNECTICUT,71497.0,23100,,,1947,1639,,,169,465,2397,3204,3537,4335,3632,2172,2951,95.0,-25.0
2020-04-24,CONNECTICUT,74038.0,23921,,,1877,1764,,,176,482,2465,3322,3621,4464,3739,2283,3134,125.0,-70.0
2020-04-25,CONNECTICUT,77602.0,24582,,,1810,1862,,,178,492,2576,3428,3708,4576,3824,2338,3225,98.0,-67.0
2020-04-26,CONNECTICUT,79811.0,25269,,,1766,1924,,,184,500,2647,3509,3788,4689,3903,2433,3382,62.0,-44.0
2020-04-27,CONNECTICUT,90746.0,25997,,,1758,2012,,,188,523,2750,3614,3885,4796,4011,2501,3498,88.0,-8.0
2020-04-28,CONNECTICUT,92745.0,26312,,,1732,2089,,,190,532,2770,3651,3905,4840,4053,2545,3593,77.0,-26.0
2020-04-29,CONNECTICUT,94818.0,26767,,,1691,2168,,,199,537,2820,3695,3952,4894,4124,2609,3704,79.0,-41.0
2020-04-30,CONNECTICUT,97133.0,27700,,,1650,2257,,,207,568,2936,3821,4063,5040,4259,2712,3860,89.0,-41.0
2020-05-01,CONNECTICUT,100257.0,28764,,,1592,2339,,,214,589,3051,3977,4227,5218,4413,2808,4063,82.0,-58.0
2020-05-02,CONNECTICUT,102493.0,29287,,,1551,2436,,,220,603,3122,4042,4298,5297,4483,2872,4193,97.0,-41.0
2020-05-03,CONNECTICUT,105330.0,29973,,,1464,2556,,,226,611,3190,4151,4401,5405,4583,2946,4307,120.0,-87.0
2020-05-04,CONNECTICUT,108643.0,30621,,,1500,2633,,,239,628,3292,4254,4491,5493,4663,3010,4400,77.0,36.0
2020-05-05,CONNECTICUT,111447.0,30995,,,1445,2718,,,243,638,3332,4303,4531,5539,4716,3062,4485,85.0,-55.0
2020-05-06,CONNECTICUT,116174.0,31784,,,1385,2797,,,256,663,3411,4393,4638,5672,4824,3159,4626,79.0,-60.0
2020-05-07,CONNECTICUT,120541.0,32411,,,1336,2874,,,267,684,3506,4505,4728,5768,4894,3216,4704,77.0,-49.0
2020-05-08,CONNECTICUT,123569.0,32984,,,1301,2932,,,280,709,3577,4587,4799,5852,4974,3266,4805,58.0,-35.0
2020-05-09,CONNECTICUT,130192.0,33554,,,1242,2967,,,287,724,3649,4661,4870,5956,5060,3304,4902,35.0,-59.0
2020-05-10,CONNECTICUT,132508.0,33765,,,1212,3008,,,289,729,3664,4677,4898,5996,5091,3330,4950,41.0,-30.0
2020-05-11,CONNECTICUT,138424.0,34333,,,1189,3041,,,303,748,3739,4777,4970,6088,5152,3384,5032,33.0,-23.0
2020-05-12,CONNECTICUT,142943.0,34855,,,1158,3125,,,313,765,3825,4858,5036,6159,5209,3432,5131,84.0,-31.0
2020-05-13,CONNECTICUT,149562.0,35464,,,1103,3219,,,328,789,3866,4934,5095,6266,5299,3495,5260,94.0,-55.0
2020-05-14,CONNECTICUT,155908.0,36085,,,1033,3285,,,332,810,3955,5035,5184,6363,5381,3549,5343,66.0,-70.0
2020-05-15,CONNECTICUT,164755.0,36703,,,994,3339,,,339,830,4037,5123,5251,6453,5457,3609,5463,54.0,-39.0
2020-05-16,CONNECTICUT,170607.0,37419,,,937,3408,,,352,852,4131,5236,5345,6597,5568,3668,5545,69.0,-57.0
2020-05-17,CONNECTICUT,177679.0,38116,,,920,3449,,,376,900,4247,5297,5427,6690,5620,3742,5681,41.0,-17.0
2020-05-18,CONNECTICUT,185520.0,38430,,,914,3472,,,386,897,4264,5340,5475,6739,5686,3772,5748,23.0,-6.0
2020-05-19,CONNECTICUT,190718.0,39017,,,887,3529,,,407,935,4338,5423,5549,6833,5764,3829,5817,57.0,-27.0
2020-05-20,CONNECTICUT,196447.0,39208,,,816,3582,,,409,942,4368,5449,5571,6857,5787,3842,5863,53.0,-71.0
2020-05-21,CONNECTICUT,202328.0,39640,,,740,3637,,,421,966,4417,5505,5619,6922,5845,3881,5947,55.0,-76.0
2020-05-22,CONNECTICUT,208367.0,40022,,,724,3675,,,436,981,4479,5563,5674,6974,5882,3905,5992,38.0,-16.0
2020-05-23,CONNECTICUT,214136.0,40468,,,701,3693,,,446,992,4532,5636,5723,7027,5916,3961,6100,18.0,-23.0
2020-05-24,CONNECTICUT,221726.0,40873,,,706,3742,,,459,1016,4590,5705,5788,7087,5971,3995,6147,49.0,5.0
2020-05-25,CONNECTICUT,225362.0,41303,,,694,3769,,,465,1040,4650,5747,5882,7184,6021,4016,6165,27.0,-12.0
2020-05-26,CONNECTICUT,229769.0,41288,,,684,3803,,,477,1040,4641,5753,5846,7150,6025,4022,6222,34.0,-10.0
2020-05-27,CONNECTICUT,235525.0,41559,,,648,3826,,,481,1050,4682,5791,5871,7200,6067,4039,6265,23.0,-36.0
2020-05-28,CONNECTICUT,241393.0,41762,,,577,3868,,,488,1059,4702,5829,5896,7219,6096,4055,6299,42.0,-71.0
2020-05-29,CONNECTICUT,246935.0,42022,,,533,3912,,,501,1072,4751,5855,5933,7257,6122,4076,6333,44.0,-44.0
2020-05-30,CONNECTICUT,250046.0,42201,,,481,3944,,,508,1078,4763,5867,5949,7286,6147,4099,6378,32.0,-52.0
2020-05-31,CONNECTICUT,259320.0,42743,40670.0,2073.0,454,3970,3111.0,859.0,515,1102,4829,5948,6015,7349,6198,4133,6527,26.0,-27.0
2020-06-01,CONNECTICUT,268572.0,42979,40941.0,2038.0,434,3972,3139.0,833.0,523,1117,4863,5980,6049,7386,6214,4152,6568,2.0,-20.0
2020-06-02,CONNECTICUT,274396.0,43091,41051.0,2040.0,406,3989,3156.0,833.0,530,1126,4886,5991,6059,7387,6226,4154,6581,17.0,-28.0
2020-06-03,CONNECTICUT,279457.0,43239,41171.0,2068.0,373,4007,3171.0,836.0,538,1136,4903,6021,6072,7405,6249,4165,6608,18.0,-33.0
2020-06-04,CONNECTICUT,285314.0,43460,41387.0,2073.0,350,4038,3196.0,842.0,540,1151,4950,6058,6110,7437,6269,4171,6640,31.0,-23.0
2020-06-05,CONNECTICUT,293474.0,43818,41743.0,2075.0,333,4055,3218.0,837.0,558,1172,5012,6125,6164,7493,6298,4195,6664,17.0,-17.0
2020-06-06,CONNECTICUT,300281.0,43968,41895.0,2073.0,333,4071,3229.0,842.0,564,1179,5038,6150,6186,7515,6310,4202,6679,16.0,0.0
2020-06-07,CONNECTICUT,305996.0,44092,42017.0,2075.0,324,4084,3239.0,845.0,566,1186,5065,6175,6200,7529,6317,4214,6694,13.0,-9.0
2020-06-08,CONNECTICUT,310654.0,44179,42182.0,1997.0,293,4097,3266.0,831.0,570,1190,5077,6191,6207,7536,6331,4220,6711,13.0,-31.0
2020-06-09,CONNECTICUT,315014.0,44347,42448.0,1899.0,270,4120,3283.0,837.0,575,1203,5098,6224,6235,7553,6350,4230,6732,23.0,-23.0
2020-06-10,CONNECTICUT,320044.0,44461,42557.0,1904.0,246,4146,3308.0,838.0,579,1207,5119,6238,6244,7565,6362,4246,6754,26.0,-24.0
2020-06-11,CONNECTICUT,328353.0,44689,42788.0,1901.0,244,4159,3321.0,838.0,589,1213,5166,6306,6279,7597,6375,4252,6764,13.0,-2.0
2020-06-12,CONNECTICUT,342338.0,44994,43078.0,1916.0,233,4186,3342.0,844.0,600,1229,5219,6367,6317,7626,6399,4275,6816,27.0,-11.0
2020-06-13,CONNECTICUT,347190.0,45088,43172.0,1916.0,205,4201,3355.0,846.0,602,1231,5239,6402,6338,7642,6411,4280,6825,15.0,-28.0
2020-06-14,CONNECTICUT,354445.0,45235,43303.0,1932.0,203,4204,3356.0,848.0,605,1238,5257,6414,6351,7656,6419,4284,6833,3.0,-2.0
2020-06-15,CONNECTICUT,359486.0,45349,43415.0,1934.0,201,4210,3362.0,848.0,615,1278,5342,6430,6400,7682,6367,4286,6771,6.0,-2.0
2020-06-16,CONNECTICUT,365916.0,45429,43487.0,1942.0,186,4219,3373.0,846.0,620,1282,5351,6440,6407,7699,6379,4291,6782,9.0,-15.0
2020-06-17,CONNECTICUT,370638.0,45440,43493.0,1947.0,176,4226,3378.0,848.0,619,1286,5366,6452,6422,7713,6387,4301,6787,7.0,-10.0
2020-06-18,CONNECTICUT,377931.0,45557,43610.0,1947.0,172,4238,3385.0,853.0,622,1293,5393,6463,6433,7728,6399,4313,6806,12.0,-4.0
2020-06-19,CONNECTICUT,389703.0,45715,43763.0,1952.0,150,4251,3394.0,857.0,628,1297,5426,6484,6455,7750,6417,4327,6822,13.0,-22.0
2020-06-20,CONNECTICUT,393475.0,45755,43802.0,1953.0,149,4260,3401.0,859.0,634,1299,5431,6490,6462,7754,6421,4329,6826,9.0,-1.0
2020-06-21,CONNECTICUT,395590.0,45782,43820.0,1962.0,140,4263,3403.0,860.0,634,1300,5439,6490,6466,7760,6425,4331,6828,3.0,-9.0
2020-06-22,CONNECTICUT,401986.0,45899,43941.0,1958.0,138,4277,3414.0,863.0,634,1303,5463,6509,6472,7771,6445,4343,6850,14.0,-2.0
2020-06-23,CONNECTICUT,400391.0,45913,43954.0,1959.0,124,4287,3423.0,864.0,635,1304,5466,6512,6474,7772,6445,4345,6851,10.0,-14.0
2020-06-24,CONNECTICUT,406967.0,45994,44018.0,1976.0,122,4298,3434.0,864.0,637,1310,5489,6526,6488,7778,6451,4347,6858,11.0,-2.0
2020-06-25,CONNECTICUT,414889.0,46059,44086.0,1973.0,127,4307,3440.0,867.0,639,1315,5502,6536,6493,7785,6458,4355,6866,9.0,5.0
2020-06-26,CONNECTICUT,427567.0,46206,44225.0,1981.0,106,4311,3443.0,868.0,645,1320,5530,6549,6510,7807,6474,4367,6895,4.0,-21.0
2020-06-27,CONNECTICUT,436644.0,46303,44324.0,1979.0,103,4316,3448.0,868.0,645,1334,5556,6562,6526,7819,6482,4372,6899,5.0,-3.0
2020-06-28,CONNECTICUT,442998.0,46362,44384.0,1978.0,99,4320,3451.0,869.0,647,1345,5575,6579,6544,7833,6494,4382,6904,4.0,-4.0
2020-06-29,CONNECTICUT,464414.0,46514,44534.0,1980.0,98,4322,3453.0,869.0,655,1362,5610,6598,6561,7857,6509,4393,6910,2.0,-1.0
2020-06-30,CONNECTICUT,475862.0,46572,44593.0,1979.0,100,4324,3457.0,867.0,658,1366,5625,6610,6570,7863,6517,4395,6909,2.0,2.0
2020-07-01,CONNECTICUT,487323.0,46646,44672.0,1974.0,101,4326,3459.0,867.0,660,1369,5637,6620,6579,7873,6526,4398,6926,2.0,1.0
2020-07-02,CONNECTICUT,497693.0,46717,44741.0,1976.0,95,4335,3463.0,872.0,663,1374,5657,6631,6587,7880,6529,4400,6938,9.0,-6.0
2020-07-05,CONNECTICUT,522385.0,46976,44997.0,1979.0,69,4338,3466.0,872.0,668,1400,5734,6662,6614,7921,6551,4416,6952,3.0,-26.0
2020-07-06,CONNECTICUT,528130.0,47033,45056.0,1977.0,83,4338,3466.0,872.0,670,1403,5750,6670,6622,7926,6565,4417,6952,0.0,14.0
2020-07-07,CONNECTICUT,535465.0,47108,45129.0,1979.0,88,4343,3471.0,872.0,674,1412,5761,6685,6633,7935,6574,4424,6955,5.0,5.0
2020-07-08,CONNECTICUT,543636.0,47209,45224.0,1985.0,90,4348,3476.0,872.0,678,1422,5792,6701,6645,7945,6579,4430,6961,5.0,2.0
2020-07-09,CONNECTICUT,556230.0,47287,45308.0,1979.0,77,4348,3476.0,872.0,682,1430,5807,6707,6655,7956,6589,4434,6971,0.0,-13.0
2020-07-12,CONNECTICUT,587331.0,47510,45523.0,1987.0,74,4371,3492.0,879.0,689,1458,5863,6741,6680,7989,6607,4441,6986,23.0,-3.0
2020-07-13,CONNECTICUT,589778.0,47530,45547.0,1983.0,66,4372,3497.0,875.0,688,1464,5871,6743,6679,7991,6608,4443,6986,1.0,-8.0
2020-07-14,CONNECTICUT,602116.0,47636,45653.0,1983.0,67,4380,3505.0,875.0,693,1473,5892,6762,6691,8003,6621,4449,6992,8.0,1.0
2020-07-15,CONNECTICUT,613569.0,47750,45771.0,1979.0,66,4389,3515.0,874.0,693,1486,5925,6779,6704,8021,6641,4448,6995,9.0,-1.0
2020-07-16,CONNECTICUT,627986.0,47893,45910.0,1983.0,66,4396,3519.0,877.0,697,1500,5950,6799,6721,8042,6658,4458,7011,7.0,0.0
2020-07-19,CONNECTICUT,655309.0,48055,46071.0,1984.0,54,4406,3525.0,881.0,703,1522,5994,6821,6745,8062,6662,4466,7024,10.0,-12.0
2020-07-20,CONNECTICUT,660857.0,48096,46116.0,1980.0,62,4406,3527.0,879.0,705,1535,6004,6829,6751,8067,6662,4463,7024,0.0,8.0
2020-07-21,CONNECTICUT,672386.0,48223,46203.0,2020.0,63,4406,3527.0,879.0,713,1555,6031,6842,6758,8091,6674,4471,7033,0.0,1.0
2020-07-22,CONNECTICUT,685869.0,48232,46213.0,2019.0,72,4410,3530.0,880.0,714,1563,6050,6856,6766,8096,6674,4464,6994,4.0,9.0
2020-07-23,CONNECTICUT,711102.0,48776,46806.0,1970.0,71,4413,3531.0,882.0,730,1645,6170,6938,6844,8165,6724,4483,7022,3.0,-1.0
2020-07-26,CONNECTICUT,743062.0,48983,46994.0,1989.0,59,4418,3536.0,882.0,744,1690,6225,6979,6857,8190,6730,4491,7022,5.0,-12.0
2020-07-27,CONNECTICUT,750700.0,49077,47089.0,1988.0,54,4423,3541.0,882.0,749,1709,6244,6991,6870,8202,6736,4496,7025,5.0,-5.0
2020-07-28,CONNECTICUT,763817.0,49540,47581.0,1959.0,53,4425,3544.0,881.0,757,1740,6330,7099,6948,8282,6775,4508,7046,2.0,-1.0
2020-07-29,CONNECTICUT,776775.0,49670,47717.0,1953.0,66,4431,3550.0,881.0,763,1775,6357,7122,6953,8299,6784,4514,7048,6.0,13.0
2020-07-30,CONNECTICUT,792040.0,49810,47854.0,1956.0,69,4432,3551.0,881.0,775,1797,6395,7149,6974,8315,6789,4513,7048,1.0,3.0
2020-08-02,CONNECTICUT,827213.0,50062,48093.0,1969.0,56,4437,3555.0,882.0,788,1841,6450,7199,7012,8344,6804,4519,7051,5.0,-13.0
2020-08-03,CONNECTICUT,834303.0,50110,48142.0,1968.0,60,4437,3555.0,882.0,786,1848,6463,7208,7022,8347,6808,4522,7052,0.0,4.0
2020-08-04,CONNECTICUT,846142.0,50225,48258.0,1967.0,59,4437,3555.0,882.0,793,1869,6481,7231,7042,8358,6816,4527,7054,0.0,-1.0
2020-08-05,CONNECTICUT,855126.0,50245,48273.0,1972.0,66,4437,3555.0,882.0,792,1871,6484,7233,7046,8363,6817,4529,7054,0.0,7.0
2020-08-06,CONNECTICUT,862658.0,50320,48345.0,1975.0,65,4441,3558.0,883.0,795,1880,6499,7239,7056,8380,6826,4531,7056,4.0,-1.0
2020-08-09,CONNECTICUT,900967.0,50567,48577.0,1990.0,64,4444,3560.0,884.0,810,1915,6547,7281,7101,8414,6844,4538,7059,3.0,-1.0
2020-08-10,CONNECTICUT,909305.0,50684,48690.0,1994.0,70,4444,3561.0,883.0,817,1927,6572,7297,7118,8430,6853,4547,7063,0.0,6.0
2020-08-11,CONNECTICUT,917282.0,50706,48705.0,2001.0,58,4450,3566.0,884.0,817,1932,6573,7299,7121,8435,6856,4549,7064,6.0,-12.0
2020-08-12,CONNECTICUT,925327.0,50782,48774.0,2008.0,63,4450,3566.0,884.0,820,1947,6591,7314,7132,8440,6867,4550,7067,0.0,5.0
2020-08-13,CONNECTICUT,935680.0,50897,48887.0,2010.0,56,4453,3569.0,884.0,826,1955,6620,7331,7151,8455,6879,4556,7071,3.0,-7.0
2020-08-16,CONNECTICUT,979952.0,51267,49251.0,2016.0,42,4456,3572.0,884.0,846,2009,6694,7407,7205,8502,6900,4572,7079,3.0,-14.0
2020-08-17,CONNECTICUT,990712.0,51255,49236.0,2019.0,47,4456,3571.0,885.0,846,2012,6697,7407,7204,8500,6897,4567,7072,0.0,5.0
