GEO_ID,"NAME","B19301_001E","B19301_001M"
09001010101,"Census Tract 101.01, Fairfield County, Connecticut","125422","24300"
09001010102,"Census Tract 101.02, Fairfield County, Connecticut","177894","21129"
09001010201,"Census Tract 102.01, Fairfield County, Connecticut","132361","17750"
09001010202,"Census Tract 102.02, Fairfield County, Connecticut","99472","14116"
09001010300,"Census Tract 103, Fairfield County, Connecticut","130992","23727"
09001010400,"Census Tract 104, Fairfield County, Connecticut","58163","9243"
09001010500,"Census Tract 105, Fairfield County, Connecticut","55586","10303"
09001010600,"Census Tract 106, Fairfield County, Connecticut","99808","22517"
09001010700,"Census Tract 107, Fairfield County, Connecticut","84452","18173"
09001010800,"Census Tract 108, Fairfield County, Connecticut","78530","10650"
09001010900,"Census Tract 109, Fairfield County, Connecticut","79421","9560"
09001011000,"Census Tract 110, Fairfield County, Connecticut","107388","14169"
09001011100,"Census Tract 111, Fairfield County, Connecticut","133847","16398"
09001011200,"Census Tract 112, Fairfield County, Connecticut","158155","27065"
09001011300,"Census Tract 113, Fairfield County, Connecticut","64300","13261"
09001020100,"Census Tract 201, Fairfield County, Connecticut","60947","14107"
09001020200,"Census Tract 202, Fairfield County, Connecticut","116660","15962"
09001020300,"Census Tract 203, Fairfield County, Connecticut","86134","8584"
09001020400,"Census Tract 204, Fairfield County, Connecticut","98738","14928"
09001020500,"Census Tract 205, Fairfield County, Connecticut","93819","10802"
09001020600,"Census Tract 206, Fairfield County, Connecticut","58450","5835"
09001020700,"Census Tract 207, Fairfield County, Connecticut","62813","6283"
09001020800,"Census Tract 208, Fairfield County, Connecticut","70188","5627"
09001020900,"Census Tract 209, Fairfield County, Connecticut","44502","7634"
09001021000,"Census Tract 210, Fairfield County, Connecticut","51062","5518"
09001021100,"Census Tract 211, Fairfield County, Connecticut","49350","8239"
09001021200,"Census Tract 212, Fairfield County, Connecticut","74607","10440"
09001021300,"Census Tract 213, Fairfield County, Connecticut","59081","8529"
09001021400,"Census Tract 214, Fairfield County, Connecticut","29366","6338"
09001021500,"Census Tract 215, Fairfield County, Connecticut","21067","2087"
09001021600,"Census Tract 216, Fairfield County, Connecticut","45046","5966"
09001021700,"Census Tract 217, Fairfield County, Connecticut","57255","7986"
09001021801,"Census Tract 218.01, Fairfield County, Connecticut","45268","5751"
09001021802,"Census Tract 218.02, Fairfield County, Connecticut","33316","5309"
09001021900,"Census Tract 219, Fairfield County, Connecticut","34593","4167"
09001022000,"Census Tract 220, Fairfield County, Connecticut","37891","9956"
09001022100,"Census Tract 221, Fairfield County, Connecticut","25364","3140"
09001022200,"Census Tract 222, Fairfield County, Connecticut","63946","9924"
09001022300,"Census Tract 223, Fairfield County, Connecticut","51837","14272"
09001022400,"Census Tract 224, Fairfield County, Connecticut","101744","13871"
09001030100,"Census Tract 301, Fairfield County, Connecticut","147506","18867"
09001030200,"Census Tract 302, Fairfield County, Connecticut","114161","13647"
09001030300,"Census Tract 303, Fairfield County, Connecticut","164320","20284"
09001030400,"Census Tract 304, Fairfield County, Connecticut","82544","12867"
09001030500,"Census Tract 305, Fairfield County, Connecticut","89225","10172"
09001035100,"Census Tract 351, Fairfield County, Connecticut","78868","10561"
09001035200,"Census Tract 352, Fairfield County, Connecticut","161127","28769"
09001035300,"Census Tract 353, Fairfield County, Connecticut","136891","18655"
09001035400,"Census Tract 354, Fairfield County, Connecticut","137983","17041"
09001042500,"Census Tract 425, Fairfield County, Connecticut","63585","8965"
09001042600,"Census Tract 426, Fairfield County, Connecticut","66788","10790"
09001042700,"Census Tract 427, Fairfield County, Connecticut","57829","8257"
09001042800,"Census Tract 428, Fairfield County, Connecticut","45082","4618"
09001042900,"Census Tract 429, Fairfield County, Connecticut","81122","12179"
09001043000,"Census Tract 430, Fairfield County, Connecticut","56813","7618"
09001043100,"Census Tract 431, Fairfield County, Connecticut","62612","8235"
09001043200,"Census Tract 432, Fairfield County, Connecticut","37049","6715"
09001043300,"Census Tract 433, Fairfield County, Connecticut","43778","7562"
09001043400,"Census Tract 434, Fairfield County, Connecticut","39419","6673"
09001043500,"Census Tract 435, Fairfield County, Connecticut","45827","4331"
09001043600,"Census Tract 436, Fairfield County, Connecticut","57377","10597"
09001043700,"Census Tract 437, Fairfield County, Connecticut","52934","8418"
09001043800,"Census Tract 438, Fairfield County, Connecticut","34978","5945"
09001043900,"Census Tract 439, Fairfield County, Connecticut","40239","8146"
09001044000,"Census Tract 440, Fairfield County, Connecticut","30262","6064"
09001044100,"Census Tract 441, Fairfield County, Connecticut","60254","12833"
09001044200,"Census Tract 442, Fairfield County, Connecticut","34604","4926"
09001044300,"Census Tract 443, Fairfield County, Connecticut","51566","6343"
09001044400,"Census Tract 444, Fairfield County, Connecticut","36484","5912"
09001044500,"Census Tract 445, Fairfield County, Connecticut","19233","3055"
09001044600,"Census Tract 446, Fairfield County, Connecticut","133452","22319"
09001045101,"Census Tract 451.01, Fairfield County, Connecticut","97975","13565"
09001045102,"Census Tract 451.02, Fairfield County, Connecticut","79269","11948"
09001045200,"Census Tract 452, Fairfield County, Connecticut","89082","13302"
