,year,month,rainfall,date,category,January,February,March,April,May,June,July,August,September,October,November,December,JF,MAM,JJAS,OND,ANN,troughs
2,1873,June,1130,1873-06-01,Below Average,37,135,150,243,428,1130,2645,2142,1656,607,115,90,172,821,7573,812,9378,Drought
5,1876,June,1233,1876-06-01,Below Average,9,21,160,165,425,1233,2968,1956,1620,464,95,25,30,750,7776,584,9141,Not drought
6,1877,June,1424,1877-06-01,Below Average,291,234,240,353,674,1424,1564,1569,1483,1078,189,365,525,1267,6040,1632,9464,Drought
7,1878,June,1304,1878-06-01,Below Average,108,91,102,361,665,1304,2940,3393,2124,798,273,140,199,1128,9761,1211,12299,Not drought
17,1888,June,1323,1888-06-01,Below Average,197,136,119,259,531,1323,2743,2800,1250,382,531,72,333,908,8116,985,10342,Not drought
20,1891,June,834,1891-06-01,Below Average,115,134,348,207,595,834,2571,2297,2222,602,173,71,249,1150,7924,846,10169,Not drought
26,1897,June,1426,1897-06-01,Below Average,92,124,208,216,435,1426,2599,2905,1981,856,130,18,215,859,8911,1004,10990,Not drought
29,1900,June,1287,1900-06-01,Below Average,153,67,103,385,406,1287,2521,2713,2372,490,104,141,220,893,8893,735,10742,Not drought
30,1901,June,1149,1901-06-01,Below Average,274,337,113,316,391,1149,2225,2590,1256,540,431,95,611,820,7220,1066,9717,Drought
31,1902,June,1038,1902-06-01,Below Average,67,25,102,354,418,1038,2796,1972,2112,697,278,269,92,874,7918,1244,10128,Not drought
32,1903,June,1269,1903-06-01,Below Average,85,55,102,121,562,1269,2789,2593,1957,1288,434,152,140,785,8608,1874,11407,Not drought
34,1905,June,908,1905-06-01,Below Average,128,144,286,271,476,908,2456,2052,1748,610,98,25,272,1033,7164,733,9202,Drought
37,1908,June,1278,1908-06-01,Below Average,156,126,68,156,390,1278,3164,2955,1573,424,59,18,282,614,8970,501,10367,Not drought
41,1912,June,1058,1912-06-01,Below Average,70,187,129,309,362,1058,3206,2579,1215,660,559,25,257,800,8058,1244,10359,Not drought
49,1920,June,1426,1920-06-01,Below Average,207,87,255,228,454,1426,2916,1628,1220,484,303,5,294,937,7190,792,9213,Drought
52,1923,June,936,1923-06-01,Below Average,107,263,158,207,398,936,2970,2604,1720,608,207,139,370,763,8230,954,10317,Not drought
53,1924,June,1108,1924-06-01,Below Average,141,70,54,226,406,1108,2999,2250,2269,617,628,106,211,686,8626,1351,10874,Not drought
55,1926,June,815,1926-06-01,Below Average,267,50,418,270,518,815,2876,3236,2099,531,109,57,317,1206,9026,697,11246,Not drought
60,1931,June,1148,1931-06-01,Below Average,41,174,97,212,431,1148,2826,2898,1898,1282,464,245,215,740,8770,1991,11716,Not drought
61,1932,June,1121,1932-06-01,Below Average,14,160,113,222,656,1121,3136,2041,1736,703,606,79,174,991,8034,1387,10587,Not drought
64,1935,June,1402,1935-06-01,Below Average,147,105,64,283,205,1402,3047,2218,1768,544,108,90,252,552,8435,742,9981,Not drought
73,1944,June,1372,1944-06-01,Below Average,189,280,506,238,400,1372,3460,2974,1397,954,300,88,469,1144,9203,1342,12158,Not drought
76,1947,June,1227,1947-06-01,Below Average,169,109,162,306,395,1227,2909,2960,2357,688,67,194,278,863,9453,949,11542,Not drought
78,1949,June,1380,1949-06-01,Below Average,41,109,53,370,804,1380,2946,2382,2329,997,106,11,150,1227,9037,1114,11527,Not drought
83,1954,June,1382,1954-06-01,Below Average,129,162,118,197,442,1382,2837,2229,2405,798,18,134,291,757,8853,950,10851,Not drought
86,1957,June,1453,1957-06-01,Below Average,244,70,260,191,494,1453,2619,2603,1210,597,261,65,314,945,7885,923,10067,Not drought
87,1958,June,1151,1958-06-01,Below Average,70,106,97,282,602,1151,2899,2701,2142,1020,350,49,176,981,8893,1419,11469,Not drought
89,1960,June,1461,1960-06-01,Below Average,89,11,232,130,555,1461,2777,2502,1657,761,391,50,100,917,8397,1202,10616,Not drought
91,1962,June,1059,1962-06-01,Below Average,91,110,115,346,581,1059,2594,2363,2082,844,152,288,201,1042,8098,1284,10625,Not drought
93,1964,June,1437,1964-06-01,Below Average,14,58,83,249,437,1437,3130,2637,2021,734,258,65,72,769,9225,1057,11123,Not drought
94,1965,June,1104,1965-06-01,Below Average,55,92,149,243,346,1104,2669,1894,1427,362,158,221,147,737,7093,741,8719,Drought
96,1967,June,1414,1967-06-01,Below Average,92,27,528,225,333,1414,2924,2574,1689,420,132,496,119,1086,8601,1048,10853,Not drought
97,1968,June,1365,1968-06-01,Below Average,150,121,201,269,316,1365,2886,1947,1348,703,238,70,271,786,7546,1011,9614,Drought
98,1969,June,1210,1969-06-01,Below Average,40,28,95,242,557,1210,3004,2387,1709,596,439,139,68,894,8310,1174,10446,Not drought
101,1972,June,1226,1972-06-01,Below Average,25,131,48,206,448,1226,1838,2172,1292,633,308,160,156,702,6528,1101,8487,Drought
102,1973,June,1412,1973-06-01,Below Average,47,119,78,195,488,1412,2787,3075,1860,1259,196,178,165,761,9134,1633,11694,Not drought
103,1974,June,1059,1974-06-01,Below Average,19,39,139,222,606,1059,2736,2282,1403,1066,119,42,58,967,7480,1227,9732,Drought
105,1976,June,1419,1976-06-01,Below Average,47,81,125,298,367,1419,2882,2786,1481,319,617,40,128,790,8568,976,10462,Not drought
108,1979,June,1434,1979-06-01,Below Average,146,273,99,158,405,1434,2258,1990,1395,461,883,120,419,662,7077,1464,9622,Drought
110,1981,June,1387,1981-06-01,Below Average,163,73,247,276,583,1387,2889,2263,1983,510,292,128,235,1106,8522,930,10793,Not drought
111,1982,June,1296,1982-06-01,Below Average,167,111,249,366,504,1296,2163,2685,1210,487,504,57,278,1119,7354,1048,9799,Drought
112,1983,June,1378,1983-06-01,Below Average,73,106,127,354,549,1378,2737,2934,2507,900,122,262,179,1030,9556,1284,12048,Not drought
114,1985,June,1404,1985-06-01,Below Average,171,69,96,236,439,1404,2534,2185,1475,1138,193,131,240,771,7598,1462,10071,Drought
116,1987,June,1158,1987-06-01,Below Average,113,93,167,216,448,1158,2068,2370,1375,867,542,235,206,831,6971,1644,9652,Drought
121,1992,June,1367,1992-06-01,Below Average,55,78,40,130,494,1367,2552,2724,1505,618,446,42,133,664,8148,1105,10051,Not drought
124,1995,June,1217,1995-06-01,Below Average,271,102,184,173,782,1217,2847,2439,1693,874,348,47,373,1139,8196,1269,10977,Not drought
127,1998,June,1440,1998-06-01,Below Average,122,125,261,284,417,1440,2597,2441,2114,1179,458,124,247,962,8592,1760,11562,Not drought
134,2005,June,1422,2005-06-01,Below Average,184,123,213,339,434,1422,2970,1879,2014,1132,259,122,307,986,8285,1512,11091,Not drought
138,2009,June,899,2009-06-01,Below Average,36,18,98,136,496,899,2688,1952,1481,763,574,132,53,730,7020,1469,9273,Drought
139,2010,June,1383,2010-06-01,Below Average,63,48,93,293,616,1383,2915,2571,1988,802,713,221,111,1002,8857,1736,11706,Not drought
141,2012,June,1127,2012-06-01,Below Average,182,25,39,343,252,1127,2520,2576,1828,650,344,57,207,634,8051,1051,9943,Not drought
143,2014,June,908,2014-06-01,Below Average,133,233,211,134,648,908,2564,2190,1702,618,150,99,366,993,7364,867,9590,Drought
