percentage,Town,Reported,Total Precincts
45.01%,Andover,1,1
0.00%,Ansonia,,
86.18%,Ashford,1,1
0.00%,Avon,,
82.43%,Barkhamsted,1,1
0.00%,Beacon Falls,,
0.00%,Berlin,,
88.16%,Bethany,1,1
0.00%,Bethel,,
82.61%,Bethlehem,1,1
0.00%,Bloomfield,5,5
0.00%,Bolton,,
80.66%,Bozrah,1,1
0.00%,Branford,,
0.00%,Bridgeport,,
87.20%,Bridgewater,1,1
0.00%,Bristol,,
67.31%,Brookfield,2,2
57.84%,Brooklyn,1,1
0.00%,Burlington,,
0.00%,Canaan,,
81.50%,Canterbury,1,1
0.00%,Canton,,
82.64%,Chaplin,1,1
0.00%,Cheshire,,
0.00%,Chester,,
0.00%,Clinton,,
55.85%,Colchester,4,4
89.97%,Colebrook,1,1
87.45%,Columbia,1,1
90.22%,Cornwall,1,1
0.00%,Coventry,,
0.00%,Cromwell,,
70.62%,Danbury,19,19
0.00%,Darien,,
0.00%,Deep River,,
0.00%,Derby,,
0.00%,Durham,,
0.00%,Eastford,,
84.79%,East Granby,,
83.04%,East Haddam,,
0.00%,East Hampton,,
0.00%,East Hartford,,
0.00%,East Haven,,
47.51%,East Lyme,,
0.00%,Easton,,
0.00%,East Windsor,,
54.61%,Ellington,2,2
0.00%,Enfield,,
0.00%,Essex,,
0.00%,Fairfield,,
44.24%,Farmington,7,7
89.51%,Franklin,1,1
0.00%,Glastonbury,,
88.85%,Goshen,2,2
0.00%,Granby,,
0.00%,Greenwich,,
0.00%,Griswold,,
0.00%,Groton,,
0.00%,Guilford,5,5
0.00%,Haddam,,
56.05%,Hamden,13,13
86.02%,Hampton,1,1
0.00%,Hartford,,
0.00%,Hartland,,
86.77%,Harwinton,2,2
0.00%,Hebron,,
0.00%,Kent,,
72.58%,Killingly,5,5
0.00%,Killingworth,,
0.00%,Lebanon,,
0.00%,Ledyard,,
87.45%,Lisbon,2,2
0.00%,Litchfield,,
0.00%,Lyme,,
0.00%,Madison,,
0.00%,Manchester,,
0.00%,Mansfield,,
85.91%,Marlborough,1,1
0.00%,Meriden,,
0.00%,Middlebury,,
83.74%,Middlefield,1,1
47.93%,Middletown,14,14
0.00%,Milford,,
0.00%,Monroe,,
79.68%,Montville,6,6
0.00%,Morris,,
72.93%,Naugatuck,9,9
0.00%,New Britain,,
0.00%,New Canaan,,
0.00%,New Fairfield,,
0.00%,New Hartford,,
0.00%,New Haven,,
0.00%,Newington,,
0.00%,New London,,
0.00%,New Milford,,
0.00%,Newtown,,
88.22%,Norfolk,1,1
0.00%,North Branford,,
0.00%,North Canaan,,
0.00%,North Haven,,
0.00%,North Stonington,,
0.00%,Norwalk,,
0.00%,Norwich,,
0.00%,Old Lyme,,
80.82%,Old Saybrook,,
88.26%,Orange,3,3
0.00%,Oxford,,
81.73%,Plainfield,5,5
83.16%,Plainville,4,4
0.00%,Plymouth,,
85.66%,Pomfret,1,1
0.00%,Portland,,
0.00%,Preston,,
0.00%,Prospect,,
69.90%,Putnam,2,2
0.00%,Redding,,
0.00%,Ridgefield,,
83.65%,Rocky Hill,,
87.96%,Roxbury,1,1
88.81%,Salem,1,1
0.00%,Salisbury,,
79.63%,Scotland,1,1
0.00%,Seymour,,
0.00%,Sharon,,
81.28%,Shelton,5,5
0.00%,Sherman,,
0.00%,Simsbury,4,4
0.00%,Somers,,
0.00%,Southbury,,
0.00%,Southington,,
0.00%,South Windsor,,
79.40%,Sprague,1,1
0.00%,Stafford,,
0.00%,Stamford,,
71.30%,Sterling,1,1
0.00%,Stonington,5,5
0.00%,Stratford,19,19
0.00%,Suffield,,
83.57%,Thomaston,1,1
76.69%,Thompson,4,4
50.54%,Tolland,3,3
0.00%,Torrington,,
0.00%,Trumbull,,
86.48%,Union,1,1
0.00%,Vernon,,
85.57%,Voluntown,1,1
0.00%,Wallingford,,
84.00%,Warren,1,1
0.00%,Washington,,
0.00%,Waterbury,,
0.00%,Waterford,,
84.63%,Watertown,4,4
0.00%,Westbrook,,
0.00%,West Hartford,,
0.00%,West Haven,,
0.00%,Weston,,
0.00%,Westport,,
0.00%,Wethersfield,,
0.00%,Willington,,
84.59%,Wilton,4,4
80.10%,Winchester,1,1
0.00%,Windham,,
0.00%,Windsor,,
79.44%,Windsor Locks,,
78.89%,Wolcott,3,3
0.00%,Woodbridge,,
0.00%,Woodbury,,
0.00%,Woodstock,,
61.49%,Total,,
