percentage,Town,Reported,Total Precincts
87.99%,Andover,1,1
82.25%,Ansonia,7,7
87.50%,Ashford,1,1
83.29%,Avon,3,3
80.86%,Barkhamsted,1,1
78.76%,Beacon Falls,,
83.43%,Berlin,5,5
82.69%,Bethany,1,1
80.27%,Bethel,5,5
88.13%,Bethlehem,1,1
84.08%,Bloomfield,5,5
87.73%,Bolton,1,1
78.56%,Bozrah,1,1
79.62%,Branford,7,7
56.44%,Bridgeport,24,24
84.48%,Bridgewater,1,1
77.67%,Bristol,9,9
84.23%,Brookfield,2,2
71.29%,Brooklyn,1,1
85.03%,Burlington,1,1
79.76%,Canaan,1,1
79.72%,Canterbury,1,1
81.29%,Canton,1,1
79.45%,Chaplin,1,1
79.25%,Cheshire,7,7
86.09%,Chester,1,1
82.59%,Clinton,2,2
77.35%,Colchester,4,4
86.16%,Colebrook,1,1
85.68%,Columbia,1,1
90.13%,Cornwall,1,1
83.88%,Coventry,2,2
77.62%,Cromwell,1,1
75.30%,Danbury,19,19
82.78%,Darien,6,6
77.05%,Deep River,,
84.08%,Derby,3,3
82.33%,Durham,3,3
80.07%,Eastford,1,1
80.64%,East Granby,,
78.85%,East Haddam,,
82.32%,East Hampton,,
67.35%,East Hartford,,
74.87%,East Haven,,
84.32%,East Lyme,,
80.73%,Easton,1,1
72.49%,East Windsor,,
81.65%,Ellington,2,2
80.81%,Enfield,7,7
81.96%,Essex,1,1
79.40%,Fairfield,11,11
79.70%,Farmington,7,7
88.87%,Franklin,1,1
85.31%,Glastonbury,7,7
82.40%,Goshen,2,2
86.16%,Granby,2,2
85.22%,Greenwich,19,19
68.71%,Griswold,2,2
84.24%,Groton,7,7
86.55%,Guilford,5,5
82.55%,Haddam,3,3
84.59%,Hamden,13,13
85.34%,Hampton,1,1
62.75%,Hartford,24,24
78.90%,Hartland,1,1
90.75%,Harwinton,2,2
80.03%,Hebron,1,1
83.77%,Kent,1,1
70.90%,Killingly,7,7
87.11%,Killingworth,1,1
86.15%,Lebanon,2,2
83.94%,Ledyard,3,3
82.64%,Lisbon,2,2
85.22%,Litchfield,4,4
90.38%,Lyme,1,1
83.83%,Madison,2,2
81.20%,Manchester,8,8
71.49%,Mansfield,4,4
81.46%,Marlborough,1,1
68.93%,Meriden,13,13
79.84%,Middlebury,2,2
77.65%,Middlefield,1,1
84.50%,Middletown,14,14
77.81%,Milford,9,9
86.84%,Monroe,4,4
81.40%,Montville,6,6
78.64%,Morris,1,1
70.40%,Naugatuck,9,9
73.10%,New Britain,,
80.07%,New Canaan,,
74.51%,New Fairfield,,
86.56%,New Hartford,,
53.88%,New Haven,,
82.13%,Newington,8,8
56.31%,New London,,
82.20%,New Milford,,
85.53%,Newtown,6,6
83.61%,Norfolk,1,1
79.42%,North Branford,,
68.29%,North Canaan,,
82.38%,North Haven,,
79.92%,North Stonington,,
78.03%,Norwalk,12,12
74.99%,Norwich,6,6
83.53%,Old Lyme,,
77.87%,Old Saybrook,,
77.96%,Orange,3,3
82.40%,Oxford,1,1
66.51%,Plainfield,5,5
78.92%,Plainville,4,4
73.71%,Plymouth,2,2
90.65%,Pomfret,1,1
86.27%,Portland,1,1
81.86%,Preston,1,1
81.89%,Prospect,2,2
63.76%,Putnam,2,2
76.37%,Redding,2,2
80.08%,Ridgefield,4,4
81.03%,Rocky Hill,,
82.13%,Roxbury,1,1
87.52%,Salem,1,1
82.82%,Salisbury,1,1
74.78%,Scotland,1,1
80.56%,Seymour,3,3
84.72%,Sharon,1,1
81.84%,Shelton,5,5
77.12%,Sherman,1,1
82.52%,Simsbury,4,4
94.55%,Somers,1,1
81.43%,Southbury,3,3
84.52%,Southington,11,11
86.68%,South Windsor,,
88.77%,Sprague,1,1
76.97%,Stafford,3,3
78.94%,Stamford,22,22
68.45%,Sterling,1,1
75.90%,Stonington,5,5
73.07%,Stratford,19,19
84.49%,Suffield,1,1
84.10%,Thomaston,1,1
77.35%,Thompson,4,4
84.76%,Tolland,3,3
76.33%,Torrington,8,8
78.40%,Trumbull,5,5
84.72%,Union,1,1
83.45%,Vernon,4,4
85.85%,Voluntown,1,1
87.13%,Wallingford,9,9
81.51%,Warren,1,1
81.89%,Washington,1,1
55.61%,Waterbury,21,21
80.09%,Waterford,4,4
77.64%,Watertown,4,4
84.79%,Westbrook,2,2
77.51%,West Hartford,,
78.00%,West Haven,,
84.22%,Weston,2,2
85.60%,Westport,7,7
85.38%,Wethersfield,6,6
84.37%,Willington,1,1
83.80%,Wilton,3,3
81.41%,Winchester,1,1
76.80%,Windham,5,5
76.61%,Windsor,7,7
77.29%,Windsor Locks,,
77.28%,Wolcott,3,3
77.79%,Woodbridge,2,2
79.02%,Woodbury,2,2
83.27%,Woodstock,1,1
76.94%,Total,,
