Town Name,Vote Totals,variable,value
Andover,2091,Biden and Harris,1058
Ashford,2544,Biden and Harris,1330
Avon,11643,Biden and Harris,7080
Barkhamsted,2442,Biden and Harris,1154
Beacon Falls,3803,Biden and Harris,1543
Bethany,3698,Biden and Harris,1912
Bethlehem,2367,Biden and Harris,937
Bloomfield,6704,Biden and Harris,5518
Bozrah,1545,Biden and Harris,703
Brookfield,10827,Biden and Harris,5426
Burlington,6213,Biden and Harris,3084
Canaan,0,Biden and Harris,0
Canterbury,3012,Biden and Harris,1182
Canton,6571,Biden and Harris,3825
Chaplin,1290,Biden and Harris,598
Chester,2596,Biden and Harris,1701
Clinton,7647,Biden and Harris,4267
Colchester,9691,Biden and Harris,5216
Colebrook,994,Biden and Harris,401
Columbia,3541,Biden and Harris,1869
Cornwall,1032,Biden and Harris,760
Cromwell,8783,Biden and Harris,4872
Danbury,30957,Biden and Harris,18174
Deep River,2902,Biden and Harris,1785
Derby,5776,Biden and Harris,2961
Durham,4344,Biden and Harris,2038
East Hampton,7988,Biden and Harris,4051
East Hartford,20185,Biden and Harris,14460
East Haven,14175,Biden and Harris,6554
East Lyme,11704,Biden and Harris,7258
Easton,5020,Biden and Harris,2777
Ellington,9491,Biden and Harris,4787
Essex,4715,Biden and Harris,3011
Farmington,8981,Biden and Harris,4146
Franklin,1261,Biden and Harris,553
Goshen,2098,Biden and Harris,900
Griswold,5981,Biden and Harris,2565
Guilford,12824,Biden and Harris,8403
Haddam,3934,Biden and Harris,1528
Hamden,21489,Biden and Harris,14615
Hampton,1466,Biden and Harris,824
Harwinton,3724,Biden and Harris,1401
Hebron,6266,Biden and Harris,3388
Killingly,5903,Biden and Harris,2465
Killingworth,4387,Biden and Harris,2343
Lisbon,2490,Biden and Harris,1099
Litchfield,5342,Biden and Harris,2673
Lyme,1772,Biden and Harris,1165
Manchester,26521,Biden and Harris,18038
Marlborough,4003,Biden and Harris,2090
Middlebury,5043,Biden and Harris,2229
Middlefield,2853,Biden and Harris,1442
Middletown,14500,Biden and Harris,8256
Milford,30659,Biden and Harris,17107
Montville,8871,Biden and Harris,4406
Morris,1549,Biden and Harris,646
Naugatuck,14904,Biden and Harris,6923
New Britain,23524,Biden and Harris,15657
New Canaan,7233,Biden and Harris,3531
New Hartford,4540,Biden and Harris,2071
New London,9059,Biden and Harris,6853
Newington,11146,Biden and Harris,5321
Norfolk,1060,Biden and Harris,659
North Canaan,1657,Biden and Harris,842
Old Lyme,5408,Biden and Harris,3225
Old Saybrook,7334,Biden and Harris,4253
Orange,9253,Biden and Harris,4816
Oxford,8511,Biden and Harris,3269
Plainfield,7086,Biden and Harris,2849
Plainville,9530,Biden and Harris,4625
Pomfret,2537,Biden and Harris,1357
Preston,2732,Biden and Harris,1196
Putnam,4350,Biden and Harris,2063
Redding,5975,Biden and Harris,3829
Rocky Hill,10859,Biden and Harris,6081
Roxbury,1622,Biden and Harris,937
Salem,2614,Biden and Harris,1280
Scotland,970,Biden and Harris,406
Sharon,1555,Biden and Harris,1019
Shelton,23008,Biden and Harris,10360
Simsbury,15630,Biden and Harris,9933
Southbury,12990,Biden and Harris,6570
Sprague,1557,Biden and Harris,641
Stafford,6342,Biden and Harris,2761
Sterling,1908,Biden and Harris,639
Stonington,11764,Biden and Harris,7355
Stratford,26507,Biden and Harris,16210
Thomaston,4363,Biden and Harris,1526
Thompson,5129,Biden and Harris,2036
Tolland,9221,Biden and Harris,5080
Torrington,16725,Biden and Harris,7228
Union,571,Biden and Harris,249
Wallingford,24513,Biden and Harris,12834
Warren,931,Biden and Harris,461
Washington,2268,Biden and Harris,1461
Waterbury,35434,Biden and Harris,21091
Watertown,12726,Biden and Harris,4587
Westport,17206,Biden and Harris,12775
Wilton,10919,Biden and Harris,7113
Winchester,5050,Biden and Harris,2271
Windsor Locks,6858,Biden and Harris,3655
Wolcott,10002,Biden and Harris,3333
Woodbridge,5626,Biden and Harris,3773
Woodbury,6499,Biden and Harris,3138
Woodstock,5179,Biden and Harris,2548
Andover,2091,Trump and Pence,998
Ashford,2544,Trump and Pence,1160
Avon,11643,Trump and Pence,4379
Barkhamsted,2442,Trump and Pence,1228
Beacon Falls,3803,Trump and Pence,2191
Bethany,3698,Trump and Pence,1718
Bethlehem,2367,Trump and Pence,1393
Bloomfield,6704,Trump and Pence,1114
Bozrah,1545,Trump and Pence,814
Brookfield,10827,Trump and Pence,5246
Burlington,6213,Trump and Pence,3029
Canaan,0,Trump and Pence,0
Canterbury,3012,Trump and Pence,1755
Canton,6571,Trump and Pence,2627
Chaplin,1290,Trump and Pence,662
Chester,2596,Trump and Pence,853
Clinton,7647,Trump and Pence,3259
Colchester,9691,Trump and Pence,4243
Colebrook,994,Trump and Pence,571
Columbia,3541,Trump and Pence,1593
Cornwall,1032,Trump and Pence,250
Cromwell,8783,Trump and Pence,3749
Danbury,30957,Trump and Pence,12449
Deep River,2902,Trump and Pence,1076
Derby,5776,Trump and Pence,2749
Durham,4344,Trump and Pence,2222
East Hampton,7988,Trump and Pence,3746
East Hartford,20185,Trump and Pence,5434
East Haven,14175,Trump and Pence,7464
East Lyme,11704,Trump and Pence,4266
Easton,5020,Trump and Pence,2178
Ellington,9491,Trump and Pence,4515
Essex,4715,Trump and Pence,1635
Farmington,8981,Trump and Pence,4683
Franklin,1261,Trump and Pence,674
Goshen,2098,Trump and Pence,1161
Griswold,5981,Trump and Pence,3257
Guilford,12824,Trump and Pence,4262
Haddam,3934,Trump and Pence,2335
Hamden,21489,Trump and Pence,6626
Hampton,1466,Trump and Pence,625
Harwinton,3724,Trump and Pence,2247
Hebron,6266,Trump and Pence,2731
Killingly,5903,Trump and Pence,3293
Killingworth,4387,Trump and Pence,1979
Lisbon,2490,Trump and Pence,1331
Litchfield,5342,Trump and Pence,2555
Lyme,1772,Trump and Pence,576
Manchester,26521,Trump and Pence,8051
Marlborough,4003,Trump and Pence,1834
Middlebury,5043,Trump and Pence,2736
Middlefield,2853,Trump and Pence,1356
Middletown,14500,Trump and Pence,5997
Milford,30659,Trump and Pence,13145
Montville,8871,Trump and Pence,4242
Morris,1549,Trump and Pence,871
Naugatuck,14904,Trump and Pence,7740
New Britain,23524,Trump and Pence,7578
New Canaan,7233,Trump and Pence,3572
New Hartford,4540,Trump and Pence,2366
New London,9059,Trump and Pence,2041
Newington,11146,Trump and Pence,5644
Norfolk,1060,Trump and Pence,381
North Canaan,1657,Trump and Pence,786
Old Lyme,5408,Trump and Pence,2095
Old Saybrook,7334,Trump and Pence,2986
Orange,9253,Trump and Pence,4317
Oxford,8511,Trump and Pence,5118
Plainfield,7086,Trump and Pence,4080
Plainville,9530,Trump and Pence,4742
Pomfret,2537,Trump and Pence,1126
Preston,2732,Trump and Pence,1471
Putnam,4350,Trump and Pence,2193
Redding,5975,Trump and Pence,2052
Rocky Hill,10859,Trump and Pence,4630
Roxbury,1622,Trump and Pence,660
Salem,2614,Trump and Pence,1291
Scotland,970,Trump and Pence,537
Sharon,1555,Trump and Pence,510
Shelton,23008,Trump and Pence,12362
Simsbury,15630,Trump and Pence,5419
Southbury,12990,Trump and Pence,6260
Sprague,1557,Trump and Pence,882
Stafford,6342,Trump and Pence,3431
Sterling,1908,Trump and Pence,1229
Stonington,11764,Trump and Pence,4218
Stratford,26507,Trump and Pence,10004
Thomaston,4363,Trump and Pence,2759
Thompson,5129,Trump and Pence,2995
Tolland,9221,Trump and Pence,3965
Torrington,16725,Trump and Pence,9181
Union,571,Trump and Pence,307
Wallingford,24513,Trump and Pence,11311
Warren,931,Trump and Pence,460
Washington,2268,Trump and Pence,770
Waterbury,35434,Trump and Pence,13990
Watertown,12726,Trump and Pence,7973
Westport,17206,Trump and Pence,4184
Wilton,10919,Trump and Pence,3605
Winchester,5050,Trump and Pence,2752
Windsor Locks,6858,Trump and Pence,3092
Wolcott,10002,Trump and Pence,6519
Woodbridge,5626,Trump and Pence,1790
Woodbury,6499,Trump and Pence,3280
Woodstock,5179,Trump and Pence,2520
