Town Name,Vote Totals,variable,value
Avon,11643,Biden and Harris,7080
Bethany,3698,Biden and Harris,1912
Bethlehem,2367,Biden and Harris,937
Cornwall,1032,Biden and Harris,760
East Hampton,7988,Biden and Harris,4051
East Haven,14175,Biden and Harris,6554
Essex,4715,Biden and Harris,3011
Guilford,12824,Biden and Harris,8403
Haddam,3934,Biden and Harris,1528
Harwinton,3724,Biden and Harris,1401
Hebron,6266,Biden and Harris,3388
Lyme,1772,Biden and Harris,1165
Montville,8871,Biden and Harris,4406
Morris,1549,Biden and Harris,646
New Britain,23524,Biden and Harris,15657
Norfolk,1060,Biden and Harris,659
North Canaan,1657,Biden and Harris,842
Plainville,9530,Biden and Harris,4625
Redding,5975,Biden and Harris,3829
Roxbury,1622,Biden and Harris,937
Scotland,970,Biden and Harris,406
Simsbury,15630,Biden and Harris,9933
Thomaston,4363,Biden and Harris,1526
Union,571,Biden and Harris,249
Warren,931,Biden and Harris,461
Washington,2268,Biden and Harris,1461
Westport,8136,Biden and Harris,5108
Woodbridge,5626,Biden and Harris,3773
Avon,11643,Trump and Pence,4379
Bethany,3698,Trump and Pence,1718
Bethlehem,2367,Trump and Pence,1393
Cornwall,1032,Trump and Pence,250
East Hampton,7988,Trump and Pence,3746
East Haven,14175,Trump and Pence,7464
Essex,4715,Trump and Pence,1635
Guilford,12824,Trump and Pence,4262
Haddam,3934,Trump and Pence,2335
Harwinton,3724,Trump and Pence,2247
Hebron,6266,Trump and Pence,2731
Lyme,1772,Trump and Pence,576
Montville,8871,Trump and Pence,4242
Morris,1549,Trump and Pence,871
New Britain,23524,Trump and Pence,7578
Norfolk,1060,Trump and Pence,381
North Canaan,1657,Trump and Pence,786
Plainville,9530,Trump and Pence,4742
Redding,5975,Trump and Pence,2052
Roxbury,1622,Trump and Pence,660
Scotland,970,Trump and Pence,537
Simsbury,15630,Trump and Pence,5419
Thomaston,4363,Trump and Pence,2759
Union,571,Trump and Pence,307
Warren,931,Trump and Pence,460
Washington,2268,Trump and Pence,770
Westport,8136,Trump and Pence,2902
Woodbridge,5626,Trump and Pence,1790
