Town Name,Vote Totals,variable,value
Andover,2091,Biden and Harris,1058
Ansonia,8419,Biden and Harris,4521
Ashford,2544,Biden and Harris,1330
Avon,14560,Biden and Harris,7299
Barkhamsted,2442,Biden and Harris,1154
Beacon Falls,3803,Biden and Harris,1543
Berlin,12873,Biden and Harris,6008
Bethany,3698,Biden and Harris,1912
Bethel,11090,Biden and Harris,6208
Bethlehem,2367,Biden and Harris,937
Bloomfield,6704,Biden and Harris,5518
Bolton,3284,Biden and Harris,1723
Bozrah,1548,Biden and Harris,703
Branford,17311,Biden and Harris,10173
Bridgeport,27012,Biden and Harris,20577
Bristol,28624,Biden and Harris,14759
Brookfield,10827,Biden and Harris,5426
Brooklyn,4247,Biden and Harris,1874
Burlington,6233,Biden and Harris,3099
Canaan,655,Biden and Harris,437
Canterbury,3012,Biden and Harris,1182
Canton,6663,Biden and Harris,3878
Chaplin,1290,Biden and Harris,598
Cheshire,17059,Biden and Harris,9513
Chester,2596,Biden and Harris,1701
Clinton,7647,Biden and Harris,4267
Colchester,9691,Biden and Harris,5216
Colebrook,996,Biden and Harris,403
Columbia,3568,Biden and Harris,1888
Cornwall,1032,Biden and Harris,760
Coventry,7772,Biden and Harris,4011
Cromwell,8783,Biden and Harris,4872
Danbury,32021,Biden and Harris,18869
Darien,12358,Biden and Harris,7471
Deep River,2902,Biden and Harris,1785
Derby,5778,Biden and Harris,2963
Durham,4344,Biden and Harris,2038
East Granby,3264,Biden and Harris,1789
East Haddam,5771,Biden and Harris,2962
East Hampton,7988,Biden and Harris,4051
East Hartford,20185,Biden and Harris,14460
East Haven,14214,Biden and Harris,6569
East Lyme,11756,Biden and Harris,7290
East Windsor,6900,Biden and Harris,3891
Eastford,870,Biden and Harris,320
Easton,5020,Biden and Harris,2777
Ellington,9491,Biden and Harris,4787
Enfield,20929,Biden and Harris,11263
Essex,4715,Biden and Harris,3011
Fairfield,35590,Biden and Harris,23040
Farmington,16037,Biden and Harris,9616
Franklin,1261,Biden and Harris,553
Glastonbury,22201,Biden and Harris,13842
Goshen,2098,Biden and Harris,900
Granby,7371,Biden and Harris,4027
Greenwich,36211,Biden and Harris,22239
Griswold,5981,Biden and Harris,2565
Groton,17389,Biden and Harris,10699
Guilford,12824,Biden and Harris,8403
Haddam,5512,Biden and Harris,2728
Hamden,29843,Biden and Harris,21839
Hampton,1466,Biden and Harris,824
Hartford,30657,Biden and Harris,26597
Hartland,1292,Biden and Harris,457
Harwinton,3701,Biden and Harris,1397
Hebron,6266,Biden and Harris,3388
Kent,1837,Biden and Harris,1249
Killingly,5911,Biden and Harris,2473
Killingworth,4387,Biden and Harris,2343
Lebanon,4438,Biden and Harris,2052
Ledyard,8321,Biden and Harris,4471
Lisbon,2490,Biden and Harris,1099
Litchfield,5342,Biden and Harris,2673
Lyme,1772,Biden and Harris,1165
Madison,12434,Biden and Harris,7625
Manchester,28466,Biden and Harris,19455
Mansfield,7485,Biden and Harris,5608
Marlborough,4062,Biden and Harris,2119
Meriden,25316,Biden and Harris,14955
Middlebury,5078,Biden and Harris,2259
Middlefield,2853,Biden and Harris,1442
Middletown,23318,Biden and Harris,15359
Milford,30659,Biden and Harris,17107
Monroe,12002,Biden and Harris,5838
Montville,8873,Biden and Harris,4406
Morris,1561,Biden and Harris,653
Naugatuck,14904,Biden and Harris,6923
New Britain,23922,Biden and Harris,15936
