Town Name,Vote Totals,variable,value
Andover,1908,Basiago and Kinnison,0
Ansonia,7478,Basiago and Kinnison,0
Ashford,2332,Basiago and Kinnison,0
Avon,10602,Basiago and Kinnison,0
Barkhamsted,2200,Basiago and Kinnison,0
Beacon Falls,3332,Basiago and Kinnison,0
Berlin,11601,Basiago and Kinnison,0
Bethany,3380,Basiago and Kinnison,0
Bethel,9846,Basiago and Kinnison,0
Bethlehem,2317,Basiago and Kinnison,0
Bloomfield,11639,Basiago and Kinnison,0
Bolton,3002,Basiago and Kinnison,0
Bozrah,1390,Basiago and Kinnison,0
Branford,15605,Basiago and Kinnison,0
Bridgeport,39560,Basiago and Kinnison,0
Bridgewater,1141,Basiago and Kinnison,0
Bristol,26455,Basiago and Kinnison,3
Brookfield,9580,Basiago and Kinnison,0
Brooklyn,3720,Basiago and Kinnison,0
Burlington,5385,Basiago and Kinnison,0
Canaan,592,Basiago and Kinnison,0
Canterbury,2712,Basiago and Kinnison,0
Canton,6002,Basiago and Kinnison,1
Chaplin,1151,Basiago and Kinnison,0
Cheshire,15421,Basiago and Kinnison,0
Chester,2273,Basiago and Kinnison,0
Clinton,7191,Basiago and Kinnison,0
Colchester,8591,Basiago and Kinnison,0
Colebrook,899,Basiago and Kinnison,0
Columbia,3284,Basiago and Kinnison,0
Cornwall,923,Basiago and Kinnison,0
Coventry,6783,Basiago and Kinnison,0
Cromwell,7714,Basiago and Kinnison,0
Danbury,28849,Basiago and Kinnison,0
Darien,11265,Basiago and Kinnison,0
Deep River,2606,Basiago and Kinnison,0
Derby,5150,Basiago and Kinnison,0
Durham,4281,Basiago and Kinnison,0
East Granby,2950,Basiago and Kinnison,0
East Haddam,5087,Basiago and Kinnison,0
East Hampton,7245,Basiago and Kinnison,0
East Hartford,19047,Basiago and Kinnison,0
East Haven,12657,Basiago and Kinnison,0
East Lyme,10213,Basiago and Kinnison,0
East Windsor,5301,Basiago and Kinnison,0
Eastford,962,Basiago and Kinnison,0
Easton,4526,Basiago and Kinnison,0
Ellington,8202,Basiago and Kinnison,0
Enfield,18959,Basiago and Kinnison,0
Essex,4092,Basiago and Kinnison,0
Fairfield,31553,Basiago and Kinnison,0
Farmington,14303,Basiago and Kinnison,0
Franklin,1097,Basiago and Kinnison,0
Glastonbury,19625,Basiago and Kinnison,0
Goshen,1823,Basiago and Kinnison,0
Granby,6509,Basiago and Kinnison,0
Greenwich,31209,Basiago and Kinnison,0
Griswold,5276,Basiago and Kinnison,0
Groton,15357,Basiago and Kinnison,0
Guilford,13323,Basiago and Kinnison,0
Haddam,4970,Basiago and Kinnison,0
Hamden,27695,Basiago and Kinnison,0
Hampton,1059,Basiago and Kinnison,0
Hartford,33667,Basiago and Kinnison,1
Hartland,1238,Basiago and Kinnison,0
Harwinton,3407,Basiago and Kinnison,0
Hebron,5486,Basiago and Kinnison,0
Kent,1716,Basiago and Kinnison,0
Killingly,6888,Basiago and Kinnison,0
Killingworth,4015,Basiago and Kinnison,0
Lebanon,3948,Basiago and Kinnison,0
Ledyard,7300,Basiago and Kinnison,0
Lisbon,2181,Basiago and Kinnison,0
Litchfield,4859,Basiago and Kinnison,0
Lyme,1691,Basiago and Kinnison,0
Madison,10913,Basiago and Kinnison,0
Manchester,24838,Basiago and Kinnison,0
Mansfield,11481,Basiago and Kinnison,0
Marlborough,3639,Basiago and Kinnison,0
Meriden,22443,Basiago and Kinnison,0
Middlebury,4495,Basiago and Kinnison,1
Middlefield,2636,Basiago and Kinnison,0
Middletown,21244,Basiago and Kinnison,0
Milford,28151,Basiago and Kinnison,0
Monroe,10908,Basiago and Kinnison,0
Montville,7972,Basiago and Kinnison,0
Morris,1418,Basiago and Kinnison,0
Naugatuck,13182,Basiago and Kinnison,0
New Britain,22328,Basiago and Kinnison,0
New Canaan,10966,Basiago and Kinnison,0
New Fairfield,7677,Basiago and Kinnison,0
New Hartford,4122,Basiago and Kinnison,0
New Haven,41688,Basiago and Kinnison,2
New London,8687,Basiago and Kinnison,1
New Millford,13668,Basiago and Kinnison,0
Newington,15691,Basiago and Kinnison,0
Newtown,15359,Basiago and Kinnison,0
Norfolk,967,Basiago and Kinnison,0
North Branford,7654,Basiago and Kinnison,0
North Canaan,1509,Basiago and Kinnison,0
North Haven,13589,Basiago and Kinnison,0
North Stonington,3030,Basiago and Kinnison,0
Norwalk,38232,Basiago and Kinnison,0
Norwich,13476,Basiago and Kinnison,0
Old Lyme,4709,Basiago and Kinnison,0
Old Saybrook,6225,Basiago and Kinnison,0
Orange,8367,Basiago and Kinnison,0
Oxford,7343,Basiago and Kinnison,0
Plainfield,6120,Basiago and Kinnison,0
Plainville,8703,Basiago and Kinnison,0
Plymouth,5810,Basiago and Kinnison,0
Pomfret,2232,Basiago and Kinnison,0
Portland,5253,Basiago and Kinnison,0
Preston,2514,Basiago and Kinnison,0
Prospect,5585,Basiago and Kinnison,0
Putnam,3657,Basiago and Kinnison,0
Redding,5487,Basiago and Kinnison,0
Ridgefield,14296,Basiago and Kinnison,0
Rocky Hill,9838,Basiago and Kinnison,0
Roxbury,1474,Basiago and Kinnison,0
Salem,2346,Basiago and Kinnison,0
Salisbury,2331,Basiago and Kinnison,0
Scotland,909,Basiago and Kinnison,0
Seymour,8206,Basiago and Kinnison,0
Sharon,1416,Basiago and Kinnison,0
Shelton,20857,Basiago and Kinnison,0
Sherman,2137,Basiago and Kinnison,0
Simsbury,13984,Basiago and Kinnison,0
Somers,5694,Basiago and Kinnison,0
South Windsor,13954,Basiago and Kinnison,0
Southbury,11580,Basiago and Kinnison,0
Southington,23318,Basiago and Kinnison,0
Sprague,1509,Basiago and Kinnison,0
Stafford,6034,Basiago and Kinnison,0
Stamford,52258,Basiago and Kinnison,2
Sterling,1684,Basiago and Kinnison,0
Stonington,10173,Basiago and Kinnison,0
Stratford,25251,Basiago and Kinnison,25
Suffield,7558,Basiago and Kinnison,0
Thomaston,3971,Basiago and Kinnison,1
Thompson,4508,Basiago and Kinnison,0
Tolland,8499,Basiago and Kinnison,1
Torrington,15131,Basiago and Kinnison,0
Trumbull,19846,Basiago and Kinnison,0
Union,496,Basiago and Kinnison,0
Vernon,13559,Basiago and Kinnison,0
Voluntown,1385,Basiago and Kinnison,0
Wallingford,22636,Basiago and Kinnison,0
Warren,858,Basiago and Kinnison,0
Washington,2082,Basiago and Kinnison,0
Waterbury,33719,Basiago and Kinnison,0
Waterford,10683,Basiago and Kinnison,0
Watertown,11884,Basiago and Kinnison,0
West Hartford,33346,Basiago and Kinnison,1
West Haven,20969,Basiago and Kinnison,0
Westbrook,3792,Basiago and Kinnison,0
Weston,5712,Basiago and Kinnison,0
Westport,15444,Basiago and Kinnison,0
Wethersfield,14222,Basiago and Kinnison,0
Willington,2996,Basiago and Kinnison,0
Wilton,10391,Basiago and Kinnison,0
Winchester,4994,Basiago and Kinnison,0
Windham,8403,Basiago and Kinnison,0
Windsor,16016,Basiago and Kinnison,0
Windsor Locks,6146,Basiago and Kinnison,0
Wolcott,9092,Basiago and Kinnison,0
Woodbridge,5353,Basiago and Kinnison,0
Woodbury,5930,Basiago and Kinnison,3
Woodstock,4486,Basiago and Kinnison,0
Andover,1908,Blumenthal and Blair,0
Ansonia,7478,Blumenthal and Blair,0
Ashford,2332,Blumenthal and Blair,0
Avon,10602,Blumenthal and Blair,0
Barkhamsted,2200,Blumenthal and Blair,0
Beacon Falls,3332,Blumenthal and Blair,0
Berlin,11601,Blumenthal and Blair,0
Bethany,3380,Blumenthal and Blair,0
Bethel,9846,Blumenthal and Blair,0
Bethlehem,2317,Blumenthal and Blair,0
Bloomfield,11639,Blumenthal and Blair,0
Bolton,3002,Blumenthal and Blair,0
Bozrah,1390,Blumenthal and Blair,0
Branford,15605,Blumenthal and Blair,0
Bridgeport,39560,Blumenthal and Blair,0
Bridgewater,1141,Blumenthal and Blair,0
Bristol,26455,Blumenthal and Blair,0
Brookfield,9580,Blumenthal and Blair,0
Brooklyn,3720,Blumenthal and Blair,0
Burlington,5385,Blumenthal and Blair,0
Canaan,592,Blumenthal and Blair,0
Canterbury,2712,Blumenthal and Blair,0
Canton,6002,Blumenthal and Blair,0
Chaplin,1151,Blumenthal and Blair,0
Cheshire,15421,Blumenthal and Blair,0
Chester,2273,Blumenthal and Blair,0
Clinton,7191,Blumenthal and Blair,0
Colchester,8591,Blumenthal and Blair,0
Colebrook,899,Blumenthal and Blair,0
Columbia,3284,Blumenthal and Blair,0
Cornwall,923,Blumenthal and Blair,0
Coventry,6783,Blumenthal and Blair,0
Cromwell,7714,Blumenthal and Blair,0
Danbury,28849,Blumenthal and Blair,0
Darien,11265,Blumenthal and Blair,0
Deep River,2606,Blumenthal and Blair,0
Derby,5150,Blumenthal and Blair,0
Durham,4281,Blumenthal and Blair,0
East Granby,2950,Blumenthal and Blair,0
East Haddam,5087,Blumenthal and Blair,0
East Hampton,7245,Blumenthal and Blair,0
