SchoolName,2014,2015,2016,2017,2018,2019
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,3.8,22,32.7,33.8,39.5,48.5
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,6.9,14.8,49.3,56.9,49.2,41.3
ACADEMY OF PUBLIC RELATIONS,6.9,12.2,20.3,30,42.6,36.1
ACCION ACADEMY,18.6,10,50,56,51.5,27.3
ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,21.4,27.5,35.7,39.1,57.9,40
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG",22.9,16.7,39.4,42.2,50,36.8
BAYCHESTER MIDDLE SCHOOL,9.8,9.6,23.8,25,35.6,36.5
BLUEPRINT MIDDLE SCHOOL,,19.3,20.6,36,50.9,50.8
BRONX ALLIANCE MIDDLE SCHOOL,,,16.1,25.8,38.5,22.5
BRONX DANCE ACADEMY SCHOOL,23.2,38.3,43.9,58.7,54.7,52.6
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,17.3,7.7,16.3,37.1,38.2,22.8
BRONX GREEN MIDDLE SCHOOL,17.4,11.4,20.3,37.6,47.3,43.2
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,16,40,57.6,47.8,72,70.6
BRONX LATIN,18.2,10,26.8,51.1,38.1,35.4
BRONX PARK MIDDLE SCHOOL,,15.8,30.9,41.1,46.3,50.8
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",50,39.7,61.5,63,64.9,49.1
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,17.9,23.3,38.6,45.6,30.8,41.3
BRONX WRITING ACADEMY,9.4,22.5,23.8,34.8,34.2,35.5
COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,36.8,35.2,47.9,61.7,46.6,52.9
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO,10,23.1,38.9,s,39,42.9
CRESTON ACADEMY,10.9,27.7,42.9,43.5,56.9,45.5
E.S.M.T- I.S. 190,5.6,20.7,26.3,44.9,61.5,37.5
EAGLE ACADEMY FOR YOUNG MEN,14,13.7,10.4,15.7,8.3,37.7
EAST BRONX ACADEMY FOR THE FUTURE,12.3,8.5,25.5,17.7,32.8,33.3
EAST FORDHAM ACADEMY FOR THE ARTS,9.5,15.9,16.4,9.3,45.1,23.9
EMOLIOR ACADEMY,5.1,14.9,11.8,40.4,27.9,35.7
FANNIE LOU HAMER MIDDLE SCHOOL,9.8,17.3,23.9,26.3,31.4,42.4
FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,7.8,14.3,15,37,22,25.9
HOSTOS-LINCOLN ACADEMY OF SCIENCE,20.6,22.2,29.3,43.8,54.8,55
I.S. 117 JOSEPH H. WADE,7.1,10.1,21.4,30.7,22.2,24.7
I.S. 181 PABLO CASALS,33.9,44.6,51,51.4,55.6,52
I.S. 206 ANN MERSEREAU,11.1,0,11.1,25,14.7,35
I.S. 219 NEW VENTURE SCHOOL,14.1,1.6,24.4,13.2,28.6,19.7
I.S. 229 ROLAND PATTERSON,4.5,12.2,9.8,21.3,22.9,18.2
I.S. 232,10.8,11.8,26.3,42.4,34,43.5
