id,publication,state,code,col,row
152,NPR,Salisbury,Sb,3,1
152,NPR,Sharon,Sh,3,2
152,NPR,Kent,Kt,3,3
152,NPR,Sherman,Shmn,3,4
152,NPR,New Fairfield,N Ffd,3,5
152,NPR,Danbury,Dby,3,6
152,NPR,Ridgefield,Rfd,3,7
152,NPR,Wilson,Wln,4,8
152,NPR,New Canaan,Nw Ca,3,9
152,NPR,Stamford,Smfd,2,10
152,NPR,Greenwich,Gch,1,11
152,NPR,Darien,Da,3,10
152,NPR,Norwalk,Nwk,4,9
152,NPR,Westport,Wpt,5,9
152,NPR,Weston,Wtn,5,8
152,NPR,Fairfield,Ffd,6,9
152,NPR,Bridgeport,Bpt,7,9
152,NPR,Stratford,Stfd,8,9
152,NPR,Milford,Mfd,9,9
152,NPR,West Haven,W Hvn,10,9
152,NPR,New Haven,N Hvn,11,9
152,NPR,North Canaan,NoCa,4,1
152,NPR,Canaan,Ca,4,2
152,NPR,Cornwall,Co,4,3
152,NPR,Warren,Wa,4,4
152,NPR,New Milford,N Mfd,4,5
152,NPR,Brookfield,Bkfd,4,6
152,NPR,Bethel,Be,4,7
152,NPR,Redding,Re,5,7
152,NPR,Newtown,Ntn,5,6
152,NPR,Bridgewater,Bwtr,5,5
152,NPR,Washington,Wa,5,4
152,NPR,Litchfield,Lfld,5,3
152,NPR,Goshen,Gshn,5,2
152,NPR,Norfolk,Nfk,5,1
152,NPR,Colebrook,Cbk,6,1
152,NPR,Winchester,Wntr,6,2
152,NPR,Torrington,Ttn,6,3
152,NPR,Morris,Mor,6,4
152,NPR,Bethelehere,Bhr,6,5
152,NPR,Roxbury,Rbry,6,6
152,NPR,Monroe,Mon,6,7
152,NPR,Easton,Ea,6,8
152,NPR,Trumbull,Tru,7,8
152,NPR,Southbury,Sbry,7,7
152,NPR,Woodbury,Wobry,7,6
152,NPR,Thomaston,Tstn,7,5
152,NPR,Harwinton,Htn,7,4
152,NPR,New Hartford,N Hfd,7,3
152,NPR,Barkhamsted,Bstd,7,2
152,NPR,Hartland,Hld,7,1
152,NPR,Shelton,She,8,8
152,NPR,Oxford,Oxf,8,7
152,NPR,Middlebury,Midd,8,6
152,NPR,Waterbury,Wtbry,8,5
152,NPR,Plymouth,Ply,8,4
152,NPR,Burlington,Burl,8,3
152,NPR,Canton,Ctn,8,2
152,NPR,Granby,Gby,8,1



