State,Squint
New York,0
California,1
Florida,1
Texas,0
Illinois,0
New Jersey,0
Pennsylvania,0
Ohio,0
Washington,1
Colorado,1
Minnesota,0
DC,0
Massachusetts,0
Kentucky,0
Michigan,0
Missouri,0
Virginia,1
Louisiana,0
Connecticut,1
Georgia,1
New Mexico,0
Indiana,0
Tennessee,0
Alabama,0
Wisconsin,0
Arizona,1
Nevada,0
Oklahoma,0
North Carolina,0
Maryland,1
Oregon,0
South Carolina,0
Kansas,0
Utah,0
Iowa,0
Arkansas,0
Mississippi,0
Idaho,0
New Hampshire,0
Maine,0
Montana,0
Nebraska,0
Alaska,0
Rhode Island,0
Hawaii,0
Delaware,0
North Dakota,1
Vermont,0
West Virginia,1
Puerto Rico,0
South Dakota,0
Wyoming,0
