Town,Vote Totals,Clinton and Kaine,Trump and Pence,%_Clinton,%_Trump,difference
Andover,1908,896,891,46.9601677148847,46.698113207547166,0.2620545073375311
Ansonia,7478,3532,3621,47.231880181866806,48.422037978069,-1.1901577962021932
Ashford,2332,1112,1042,47.684391080617495,44.682675814751285,3.00171526586621
Avon,10602,5675,4390,53.527636295038675,41.40728164497265,12.120354650066027
Barkhamsted,2200,905,1157,41.13636363636363,52.59090909090909,-11.45454545454546
Beacon Falls,3332,1146,2002,34.3937575030012,60.08403361344538,-25.69027611044418
Berlin,11601,4913,6210,42.34979743125593,53.52986811481769,-11.180070683561759
Bethany,3380,1580,1646,46.74556213017752,48.69822485207101,-1.952662721893489
Bethel,9846,4777,4575,48.517164330692665,46.46556977452773,2.051594556164936
Bethlehem,2317,801,1405,34.570565386275355,60.63875701337937,-26.068191627104014
Bloomfield,11639,9637,1683,82.79920955408541,14.460005155082051,68.33920439900336
Bolton,3002,1385,1436,46.135909393737506,47.834776815456365,-1.6988674217188588
Bozrah,1390,536,764,38.56115107913669,54.96402877697842,-16.402877697841724
Branford,15605,8453,6585,54.16853572572893,42.19801345722525,11.970522268503679
Bridgeport,39560,32035,6596,80.97826086956522,16.673407482305358,64.30485338725987
Bridgewater,1141,518,571,45.39877300613497,50.04382120946538,-4.645048203330411
Bristol,26455,12499,12752,47.246267246267244,48.202608202608204,-0.9563409563409593
Brookfield,9580,4216,4973,44.00835073068894,51.91022964509395,-7.90187891440501
Brooklyn,3720,1462,2052,39.30107526881721,55.16129032258065,-15.86021505376344
Burlington,5385,2352,2773,43.67688022284123,51.49489322191272,-7.818012999071492
Canaan,592,357,203,60.304054054054056,34.29054054054054,26.013513513513516
Canterbury,2712,932,1609,34.365781710914455,59.32890855457227,-24.963126843657818
Canton,6002,3100,2601,51.64945018327224,43.33555481506165,8.313895368210595
Chaplin,1151,434,624,37.706342311033886,54.21372719374457,-16.50738488271068
Cheshire,15421,7572,7105,49.101874067829584,46.07353608715388,3.028337980675701
Chester,2273,1365,781,60.05279366476023,34.359876814782226,25.692916849978005
Clinton,7191,3493,3415,48.57460714782367,47.4899179529968,1.084689194826872
Colchester,8591,3898,4108,45.37306483529275,47.81748341287394,-2.444418577581189
Colebrook,899,324,528,36.04004449388209,58.73192436040045,-22.691879866518356
Columbia,3284,1558,1500,47.442143727162,45.676004872107185,1.7661388550548125
Cornwall,923,622,248,67.38894907908993,26.868905742145177,40.52004333694475
Coventry,6783,3083,3262,45.45186495650892,48.090815273477816,-2.638950316968895
Cromwell,7714,3808,3486,49.364791288566245,45.190562613430124,4.174228675136121
Danbury,28849,16084,11626,55.7523657665777,40.29949045027557,15.452875316302126
Darien,11265,5942,4625,52.74744784731469,41.056369285397246,11.691078561917443
Deep River,2606,1412,1077,54.18265541059095,41.327705295471986,12.85495011511896
Derby,5150,2332,2651,45.28155339805825,51.47572815533981,-6.194174757281559
Durham,4281,1898,2156,44.33543564587713,50.36206493809858,-6.026629292221443
East Granby,2950,1389,1371,47.08474576271186,46.47457627118644,0.6101694915254186
East Haddam,5087,2331,2487,45.82268527619422,48.8893257322587,-3.0666404560644764
East Hampton,7245,3210,3648,44.3064182194617,50.351966873706004,-6.045548654244307
East Hartford,19047,13180,5213,69.1972489105896,27.369139497033654,41.828109413555936
East Haven,12657,5425,6867,42.861657580785334,54.25456269258118,-11.392905111795848
East Lyme,10213,5512,4214,53.970429844316065,41.26113776559287,12.709292078723195
East Windsor,5301,2441,2606,46.04791548764384,49.160535747972084,-3.1126202603282422
Eastford,962,367,513,38.14968814968815,53.32640332640332,-15.17671517671517
Easton,4526,2203,2131,48.67432611577552,47.08351745470614,1.5908086610693815
Ellington,8202,3531,4199,43.050475493782,51.19483052913923,-8.14435503535723
Enfield,18959,8646,9233,45.603671079698294,48.69982594018672,-3.0961548604884257
Essex,4092,2291,1620,55.987292277614856,39.589442815249264,16.397849462365592
Fairfield,31553,18041,12112,57.17681361518714,38.38620733369252,18.790606281494625
Farmington,14303,7634,5977,53.37341816402154,41.78843599244914,11.584982171572399
Franklin,1097,413,613,37.64813126709207,55.87967183226983,-18.23154056517776
Glastonbury,19625,11074,7533,56.42802547770701,38.38471337579618,18.04331210191083
Goshen,1823,673,1064,36.91716950082282,58.36533187054306,-21.448162369720237
Granby,6509,3114,2967,47.84145029958519,45.58303886925795,2.258411430327243
Greenwich,31209,17630,12215,56.49011503092057,39.13935082828671,17.35076420263386
Griswold,5276,1934,3012,36.6565579984837,57.088703563305536,-20.432145564821838
Groton,15357,8453,5936,55.04330272839747,38.65338282216579,16.389919906231682
Guilford,13323,7864,4929,59.02574495233806,36.99617203332583,22.02957291901223
Haddam,4970,2141,2556,43.0784708249497,51.42857142857143,-8.350100603621733
Hamden,27695,18962,7790,68.46723235241018,28.127820906300776,40.3394114461094
Hampton,1059,484,509,45.70349386213409,48.06421152030217,-2.3607176581680847
Hartford,33667,30375,2531,90.22187899129712,7.517747349036148,82.70413164226098
Hartland,1238,349,804,28.190630048465266,64.94345718901454,-36.75282714054927
Harwinton,3407,1131,2107,33.196360434399764,61.843263868506014,-28.64690343410625
Hebron,5486,2627,2555,47.8855267954794,46.573095151294204,1.312431644185196
Kent,1716,1081,559,62.995337995338,32.57575757575758,30.41958041958042
Killingly,6888,2491,3916,36.16434378629501,56.85249709639954,-20.688153310104532
Killingworth,4015,1895,1943,47.19800747198008,48.39352428393524,-1.1955168119551658
Lebanon,3948,1583,2115,40.09625126646403,53.57142857142857,-13.47517730496454
Ledyard,7300,3336,3471,45.6986301369863,47.54794520547945,-1.8493150684931479
Lisbon,2181,868,1175,39.79825767996332,53.874369555249885,-14.076111875286564
Litchfield,4859,2171,2434,44.679975303560404,50.09261164848734,-5.412636344926938
Lyme,1691,1019,567,60.2602010644589,33.530455351862805,26.729745712596092
Madison,10913,5935,4500,54.38467882342161,41.23522404471731,13.149454778704296
Manchester,24838,15109,8358,60.830179563571946,33.65005233915774,27.180127224414207
Mansfield,11481,8309,2433,72.37174462154864,21.19153383851581,51.180210783032834
Marlborough,3639,1687,1766,46.358889804891454,48.529815883484474,-2.17092607859302
Meriden,22443,12788,8660,56.97990464732879,38.586641714565786,18.393262932763
Middlebury,4495,1664,2630,37.01890989988877,58.509454949944384,-21.490545050055616
Middlefield,2636,1154,1361,43.77845220030349,51.63125948406677,-7.852807283763276
Middletown,21244,12959,7126,61.00075315383167,33.54358877800791,27.45716437582376
Milford,28151,13598,13383,48.303790273880146,47.5400518631665,0.7637384107136498
Monroe,10908,4520,5922,41.437477081041436,54.29042904290429,-12.852951961862857
Montville,7972,3340,4156,41.896638233818365,52.132463622679374,-10.23582538886101
Morris,1418,510,838,35.966149506346966,59.09732016925247,-23.131170662905504
Naugatuck,13182,5219,7310,39.591867698376575,55.454407525413444,-15.86253982703687
New Britain,22328,15468,6055,69.27624507345038,27.118416338230023,42.15782873522036
New Canaan,10966,5767,4541,52.58982308954952,41.409812146635055,11.180010942914464
New Fairfield,7677,3071,4302,40.00260518431679,56.03751465416178,-16.03490946984499
New Hartford,4122,1654,2243,40.12615235322659,54.41533236293061,-14.289180009704026
New Haven,41688,35933,4540,86.19506812511995,10.890424102859336,75.3046440222606
New London,8687,6305,1924,72.57971681823415,22.148037297110626,50.43167952112352
New Milford,13668,6136,6865,44.89318115305824,50.22680714076675,-5.3336259877085155
Newington,15691,8425,6557,53.69319992352304,41.78828627875853,11.904913644764513
Newtown,15359,7448,7154,48.49274041278729,46.578553291229895,1.9141871215573971
Norfolk,967,547,373,56.56670113753878,38.57290589451913,17.993795243019648
North Branford,7654,2933,4473,38.31983276718056,58.440031356153646,-20.12019858897309
North Canaan,1509,732,703,48.508946322067594,46.5871438038436,1.9218025182239913
North Haven,13589,5837,7268,42.95385973949518,53.4844359408345,-10.530576201339322
North Stonington,3030,1289,1560,42.54125412541254,51.48514851485149,-8.943894389438945
Norwalk,38232,24414,12324,63.85750156936598,32.234777150031384,31.622724419334595
Norwich,13476,7453,5217,55.30572870287919,38.71326803205699,16.592460670822206
Old Lyme,4709,2498,1999,53.04735612656615,42.45062645997027,10.596729666595877
Old Saybrook,6225,3207,2784,51.51807228915663,44.72289156626506,6.7951807228915655
Orange,8367,3834,4221,45.82287558264611,50.44818931516673,-4.625313732520617
Oxford,7343,2398,4685,32.656952199373556,63.80226065640746,-31.145308457033906
Plainfield,6120,2177,3512,35.571895424836605,57.38562091503268,-21.813725490196077
Plainville,8703,3802,4492,43.686085257957025,51.614385843961855,-7.928300586004831
Plymouth,5810,1884,3767,32.42685025817556,64.83648881239243,-32.40963855421687
Pomfret,2232,1084,1014,48.5663082437276,45.43010752688172,3.1362007168458774
Portland,5253,2494,2491,47.4776318294308,47.42052160670093,0.0571102227298681
Preston,2514,978,1377,38.902147971360385,54.77326968973747,-15.871121718377083
Prospect,5585,1661,3701,29.74037600716204,66.2667860340197,-36.52641002685766
Putnam,3657,1562,1845,42.71260596117036,50.45118949958983,-7.738583538419469
Redding,5487,3127,2088,56.98924731182796,38.053581191908144,18.935666119919816
Ridgefield,14296,7907,5680,55.30917739227756,39.731393396754335,15.577783995523227
Rocky Hill,9838,5090,4331,51.738158162228096,44.023175442163044,7.714982720065052
Roxbury,1474,765,638,51.89959294436906,43.28358208955224,8.616010854816821
Salem,2346,1029,1182,43.8618925831202,50.38363171355499,-6.5217391304347885
Salisbury,2331,1671,545,71.68597168597168,23.380523380523382,48.305448305448294
Scotland,909,310,518,34.103410341034106,56.985698569856986,-22.88228822882288
Seymour,8206,3024,4824,36.8510845722642,58.786253960516696,-21.935169388252497
Sharon,1416,820,521,57.909604519774014,36.793785310734464,21.11581920903955
Shelton,20857,8001,12051,38.3612216522031,57.77916287097857,-19.417941218775468
Sherman,2137,976,1065,45.671502105755735,49.836218998596166,-4.164716892840431
Simsbury,13984,7825,5357,55.95680778032037,38.308066361556065,17.648741418764303
Somers,5694,2125,3350,37.319985950122934,58.83386020372322,-21.513874253600285
South Windsor,13954,7721,5557,55.33180450050165,39.82370646409632,15.508098036405329
Southbury,11580,5013,6100,43.29015544041451,52.67702936096718,-9.386873920552674
Southington,23318,9890,12383,42.413586070846556,53.1048975040741,-10.691311433227547
Sprague,1509,535,864,35.45394300861498,57.25646123260437,-21.802518223989395
Stafford,6034,2286,3344,37.88531653960888,55.419290686112035,-17.533974146503155
