Office Name,Vote Totals,variable,value
Representative in Congress 02,195506,"Cassandra Martineau, Green Party",2444
Representative in Congress 02,195506,"Daniel Reale, Libertarian Party",2049
Representative in Congress 02,195506,"Joe Courtney, Democratic Party",107898
Representative in Congress 02,195506,"Joe Courtney, Working Families Party",5746
Representative in Congress 02,195506,"John M. Traceski, Write In",3
Representative in Congress 02,195506,"Justin Anderson, Republican Party",77366
Representative in Congress 05,244909,"Bruce W. Walczak, Independent Party",3366
Representative in Congress 05,244909,"David X. Sullivan, Republican Party",109628
Representative in Congress 05,244909,"Jahana Hayes, Democratic Party",126059
Representative in Congress 05,244909,"Jahana Hayes, Working Families Party",5856
Representative in Congress 01,108566,"John B. Larson, Democratic Party",63773
Representative in Congress 01,108566,"John B. Larson, Working Families Party",3189
Representative in Congress 01,108566,"Mary Fay, Republican Party",40149
Representative in Congress 01,108566,"Thomas E. McCormick, Green Party",1455
Representative in Congress 03,196403,"Justin C. Paglino, Green Party",2703
Representative in Congress 03,196403,"Margaret Streicker, Independent Party",3661
Representative in Congress 03,196403,"Margaret Streicker, Republican Party",83231
Representative in Congress 03,196403,"Rosa L. DeLauro, Democratic Party",102549
Representative in Congress 03,196403,"Rosa L. DeLauro, Working Families Party",4259
Representative in Congress 04,75069,"Brian Merlen, Independent Party",1013
Representative in Congress 04,75069,"Jim Himes, Democratic Party",40387
Representative in Congress 04,75069,"Jonathan Riddle, Republican Party",33669
Representative in Congress 04,75069,"Yusheng Peng, Write In",0
