Office Name,Vote Totals,variable,value
Representative in Congress 02,352515,"Cassandra Martineau, Green Party",4669
Representative in Congress 02,352515,"Daniel Reale, Libertarian Party",3757
Representative in Congress 02,352515,"Joe Courtney, Democratic Party",198808
Representative in Congress 02,352515,"Joe Courtney, Working Families Party",10325
Representative in Congress 02,352515,"John M. Traceski, Write In",7
Representative in Congress 02,352515,"Justin Anderson, Republican Party",134949
Representative in Congress 03,305905,"Justin C. Paglino, Green Party",4212
Representative in Congress 03,305905,"Margaret Streicker, Independent Party",5387
Representative in Congress 03,305905,"Margaret Streicker, Republican Party",125507
Representative in Congress 03,305905,"Rosa L. DeLauro, Democratic Party",163417
Representative in Congress 03,305905,"Rosa L. DeLauro, Working Families Party",7382
Representative in Congress 05,328669,"Bruce W. Walczak, Independent Party",4581
Representative in Congress 05,328669,"David X. Sullivan, Republican Party",143143
Representative in Congress 05,328669,"Jahana Hayes, Democratic Party",173077
Representative in Congress 05,328669,"Jahana Hayes, Working Families Party",7868
Representative in Congress 01,329815,"John B. Larson, Democratic Party",206578
Representative in Congress 01,329815,"John B. Larson, Working Families Party",9266
Representative in Congress 01,329815,"Mary Fay, Republican Party",109726
Representative in Congress 01,329815,"Thomas E. McCormick, Green Party",4245
Representative in Congress 04,295483,"Brian Merlen, Independent Party",4405
Representative in Congress 04,295483,"Jim Himes, Democratic Party",179392
Representative in Congress 04,295483,"Jonathan Riddle, Republican Party",111679
Representative in Congress 04,295483,"Yusheng Peng, Write In",7
