Office Name,Vote Totals,variable,value
Representative in Congress 02,186974,"Cassandra Martineau, Green Party",2161
Representative in Congress 02,186974,"Daniel Reale, Libertarian Party",1963
Representative in Congress 02,186974,"Joe Courtney, Democratic Party",101610
Representative in Congress 02,186974,"Joe Courtney, Working Families Party",5366
Representative in Congress 02,186974,"John M. Traceski, Write In",3
Representative in Congress 02,186974,"Justin Anderson, Republican Party",75871
Representative in Congress 05,215661,"Bruce W. Walczak, Independent Party",2950
Representative in Congress 05,215661,"David X. Sullivan, Republican Party",94693
Representative in Congress 05,215661,"Jahana Hayes, Democratic Party",112605
Representative in Congress 05,215661,"Jahana Hayes, Working Families Party",5413
Representative in Congress 01,92673,"John B. Larson, Democratic Party",56344
Representative in Congress 01,92673,"John B. Larson, Working Families Party",2766
Representative in Congress 01,92673,"Mary Fay, Republican Party",32326
Representative in Congress 01,92673,"Thomas E. McCormick, Green Party",1237
Representative in Congress 03,196403,"Justin C. Paglino, Green Party",2703
Representative in Congress 03,196403,"Margaret Streicker, Independent Party",3661
Representative in Congress 03,196403,"Margaret Streicker, Republican Party",83231
Representative in Congress 03,196403,"Rosa L. DeLauro, Democratic Party",102549
Representative in Congress 03,196403,"Rosa L. DeLauro, Working Families Party",4259
Representative in Congress 04,75069,"Brian Merlen, Independent Party",1013
Representative in Congress 04,75069,"Jim Himes, Democratic Party",40387
Representative in Congress 04,75069,"Jonathan Riddle, Republican Party",33669
Representative in Congress 04,75069,"Yusheng Peng, Write In",0
