Office Name,Vote Totals,variable,value
Representative in Congress 05,86786,"Bruce W. Walczak, Independent Party",1333
Representative in Congress 05,86786,"David X. Sullivan, Republican Party",35512
Representative in Congress 05,86786,"Jahana Hayes, Democratic Party",47722
Representative in Congress 05,86786,"Jahana Hayes, Working Families Party",2219
Representative in Congress 03,63919,"Justin C. Paglino, Green Party",1008
Representative in Congress 03,63919,"Margaret Streicker, Independent Party",982
Representative in Congress 03,63919,"Margaret Streicker, Republican Party",28506
Representative in Congress 03,63919,"Rosa L. DeLauro, Democratic Party",32333
Representative in Congress 03,63919,"Rosa L. DeLauro, Working Families Party",1090
Representative in Congress 02,56882,"Cassandra Martineau, Green Party",685
Representative in Congress 02,56882,"Daniel Reale, Libertarian Party",544
Representative in Congress 02,56882,"Joe Courtney, Democratic Party",30479
Representative in Congress 02,56882,"Joe Courtney, Working Families Party",1517
Representative in Congress 02,56882,"John M. Traceski, Write In",2
Representative in Congress 02,56882,"Justin Anderson, Republican Party",23655
Representative in Congress 04,18912,"Brian Merlen, Independent Party",241
Representative in Congress 04,18912,"Jim Himes, Democratic Party",11063
Representative in Congress 04,18912,"Jonathan Riddle, Republican Party",7608
Representative in Congress 04,18912,"Yusheng Peng, Write In",0
