Office Name,Vote Totals,variable,value
Representative in Congress 02,362265,"Cassandra Martineau, Green Party",4805
Representative in Congress 02,362265,"Daniel Reale, Libertarian Party",3848
Representative in Congress 02,362265,"Joe Courtney, Democratic Party",204467
Representative in Congress 02,362265,"Joe Courtney, Working Families Party",10612
Representative in Congress 02,362265,"John M. Traceski, Write In",9
Representative in Congress 02,362265,"Justin Anderson, Republican Party",138524
Representative in Congress 03,324697,"Justin C. Paglino, Green Party",4646
Representative in Congress 03,324697,"Margaret Streicker, Independent Party",5663
Representative in Congress 03,324697,"Margaret Streicker, Republican Party",128880
Representative in Congress 03,324697,"Rosa L. DeLauro, Democratic Party",177509
Representative in Congress 03,324697,"Rosa L. DeLauro, Working Families Party",7999
Representative in Congress 05,368000,"Bruce W. Walczak, Independent Party",5344
Representative in Congress 05,368000,"David X. Sullivan, Republican Party",159834
Representative in Congress 05,368000,"Jahana Hayes, Democratic Party",193788
Representative in Congress 05,368000,"Jahana Hayes, Working Families Party",9034
Representative in Congress 01,372216,"John B. Larson, Democratic Party",229314
Representative in Congress 01,372216,"John B. Larson, Working Families Party",10575
Representative in Congress 01,372216,"Mary Fay, Republican Party",127479
Representative in Congress 01,372216,"Thomas E. McCormick, Green Party",4848
Representative in Congress 04,335414,"Brian Merlen, Independent Party",5080
Representative in Congress 04,335414,"Jim Himes, Democratic Party",204167
Representative in Congress 04,335414,"Jonathan Riddle, Republican Party",126158
Representative in Congress 04,335414,"Yusheng Peng, Write In",9
