Office Name,Vote Totals,variable,value
Representative in Congress 02,196670,"Cassandra Martineau, Green Party",2460
Representative in Congress 02,196670,"Daniel Reale, Libertarian Party",2057
Representative in Congress 02,196670,"Joe Courtney, Democratic Party",108538
Representative in Congress 02,196670,"Joe Courtney, Working Families Party",5768
Representative in Congress 02,196670,"John M. Traceski, Write In",3
Representative in Congress 02,196670,"Justin Anderson, Republican Party",77844
Representative in Congress 05,258248,"Bruce W. Walczak, Independent Party",3545
Representative in Congress 05,258248,"David X. Sullivan, Republican Party",114811
Representative in Congress 05,258248,"Jahana Hayes, Democratic Party",133805
Representative in Congress 05,258248,"Jahana Hayes, Working Families Party",6087
Representative in Congress 01,193617,"John B. Larson, Democratic Party",115944
Representative in Congress 01,193617,"John B. Larson, Working Families Party",5337
Representative in Congress 01,193617,"Mary Fay, Republican Party",69856
Representative in Congress 01,193617,"Thomas E. McCormick, Green Party",2480
Representative in Congress 03,237466,"Justin C. Paglino, Green Party",3269
Representative in Congress 03,237466,"Margaret Streicker, Independent Party",4381
Representative in Congress 03,237466,"Margaret Streicker, Republican Party",102519
Representative in Congress 03,237466,"Rosa L. DeLauro, Democratic Party",122193
Representative in Congress 03,237466,"Rosa L. DeLauro, Working Families Party",5104
Representative in Congress 04,81544,"Brian Merlen, Independent Party",1082
Representative in Congress 04,81544,"Jim Himes, Democratic Party",44771
Representative in Congress 04,81544,"Jonathan Riddle, Republican Party",35691
Representative in Congress 04,81544,"Yusheng Peng, Write In",0
