Office Name,Vote Totals,variable,value
Representative in Congress 02,233698,"Cassandra Martineau, Green Party",3051
Representative in Congress 02,233698,"Daniel Reale, Libertarian Party",2482
Representative in Congress 02,233698,"Joe Courtney, Democratic Party",132032
Representative in Congress 02,233698,"Joe Courtney, Working Families Party",6992
Representative in Congress 02,233698,"John M. Traceski, Write In",4
Representative in Congress 02,233698,"Justin Anderson, Republican Party",89137
Representative in Congress 05,282071,"Bruce W. Walczak, Independent Party",3945
Representative in Congress 05,282071,"David X. Sullivan, Republican Party",123654
Representative in Congress 05,282071,"Jahana Hayes, Democratic Party",147605
Representative in Congress 05,282071,"Jahana Hayes, Working Families Party",6867
Representative in Congress 01,193617,"John B. Larson, Democratic Party",115944
Representative in Congress 01,193617,"John B. Larson, Working Families Party",5337
Representative in Congress 01,193617,"Mary Fay, Republican Party",69856
Representative in Congress 01,193617,"Thomas E. McCormick, Green Party",2480
Representative in Congress 03,243471,"Justin C. Paglino, Green Party",3323
Representative in Congress 03,243471,"Margaret Streicker, Independent Party",4487
Representative in Congress 03,243471,"Margaret Streicker, Republican Party",106358
Representative in Congress 03,243471,"Rosa L. DeLauro, Democratic Party",124098
Representative in Congress 03,243471,"Rosa L. DeLauro, Working Families Party",5205
Representative in Congress 04,136897,"Brian Merlen, Independent Party",1924
Representative in Congress 04,136897,"Jim Himes, Democratic Party",80667
Representative in Congress 04,136897,"Jonathan Riddle, Republican Party",54306
Representative in Congress 04,136897,"Yusheng Peng, Write In",0
