Office Name,Vote Totals,variable,value
Representative in Congress 02,346807,"Cassandra Martineau, Green Party",4598
Representative in Congress 02,346807,"Daniel Reale, Libertarian Party",3677
Representative in Congress 02,346807,"Joe Courtney, Democratic Party",196085
Representative in Congress 02,346807,"Joe Courtney, Working Families Party",10156
Representative in Congress 02,346807,"John M. Traceski, Write In",7
Representative in Congress 02,346807,"Justin Anderson, Republican Party",132284
Representative in Congress 03,271354,"Justin C. Paglino, Green Party",3619
Representative in Congress 03,271354,"Margaret Streicker, Independent Party",4933
Representative in Congress 03,271354,"Margaret Streicker, Republican Party",117038
Representative in Congress 03,271354,"Rosa L. DeLauro, Democratic Party",139811
Representative in Congress 03,271354,"Rosa L. DeLauro, Working Families Party",5953
Representative in Congress 05,321473,"Bruce W. Walczak, Independent Party",4457
Representative in Congress 05,321473,"David X. Sullivan, Republican Party",139142
Representative in Congress 05,321473,"Jahana Hayes, Democratic Party",170209
Representative in Congress 05,321473,"Jahana Hayes, Working Families Party",7665
Representative in Congress 01,317688,"John B. Larson, Democratic Party",200958
Representative in Congress 01,317688,"John B. Larson, Working Families Party",9004
Representative in Congress 01,317688,"Mary Fay, Republican Party",103599
Representative in Congress 01,317688,"Thomas E. McCormick, Green Party",4127
Representative in Congress 04,228901,"Brian Merlen, Independent Party",3293
Representative in Congress 04,228901,"Jim Himes, Democratic Party",138158
Representative in Congress 04,228901,"Jonathan Riddle, Republican Party",87443
Representative in Congress 04,228901,"Yusheng Peng, Write In",7
