Office Name,Vote Totals,variable,value
Representative in Congress 05,84723,"Bruce W. Walczak, Independent Party",1322
Representative in Congress 05,84723,"David X. Sullivan, Republican Party",34353
Representative in Congress 05,84723,"Jahana Hayes, Democratic Party",46864
Representative in Congress 05,84723,"Jahana Hayes, Working Families Party",2184
Representative in Congress 03,63919,"Justin C. Paglino, Green Party",1008
Representative in Congress 03,63919,"Margaret Streicker, Independent Party",982
Representative in Congress 03,63919,"Margaret Streicker, Republican Party",28506
Representative in Congress 03,63919,"Rosa L. DeLauro, Democratic Party",32333
Representative in Congress 03,63919,"Rosa L. DeLauro, Working Families Party",1090
Representative in Congress 02,54045,"Cassandra Martineau, Green Party",641
Representative in Congress 02,54045,"Daniel Reale, Libertarian Party",530
Representative in Congress 02,54045,"Joe Courtney, Democratic Party",28738
Representative in Congress 02,54045,"Joe Courtney, Working Families Party",1439
Representative in Congress 02,54045,"John M. Traceski, Write In",2
Representative in Congress 02,54045,"Justin Anderson, Republican Party",22695
Representative in Congress 04,18912,"Brian Merlen, Independent Party",241
Representative in Congress 04,18912,"Jim Himes, Democratic Party",11063
Representative in Congress 04,18912,"Jonathan Riddle, Republican Party",7608
Representative in Congress 04,18912,"Yusheng Peng, Write In",0
