Office Name,Vote Totals,variable,value
Representative in Congress 05,78255,"Bruce W. Walczak, Independent Party",1234
Representative in Congress 05,78255,"David X. Sullivan, Republican Party",31569
Representative in Congress 05,78255,"Jahana Hayes, Democratic Party",43393
Representative in Congress 05,78255,"Jahana Hayes, Working Families Party",2059
Representative in Congress 03,35669,"Justin C. Paglino, Green Party",608
Representative in Congress 03,35669,"Margaret Streicker, Independent Party",545
Representative in Congress 03,35669,"Margaret Streicker, Republican Party",14925
Representative in Congress 03,35669,"Rosa L. DeLauro, Democratic Party",18936
Representative in Congress 03,35669,"Rosa L. DeLauro, Working Families Party",655
Representative in Congress 02,34302,"Cassandra Martineau, Green Party",400
Representative in Congress 02,34302,"Daniel Reale, Libertarian Party",346
Representative in Congress 02,34302,"Joe Courtney, Democratic Party",18414
Representative in Congress 02,34302,"Joe Courtney, Working Families Party",935
Representative in Congress 02,34302,"John M. Traceski, Write In",1
Representative in Congress 02,34302,"Justin Anderson, Republican Party",14206
Representative in Congress 04,13971,"Brian Merlen, Independent Party",172
Representative in Congress 04,13971,"Jim Himes, Democratic Party",8419
Representative in Congress 04,13971,"Jonathan Riddle, Republican Party",5380
Representative in Congress 04,13971,"Yusheng Peng, Write In",0
