Office Name,Vote Totals,variable,value
Representative in Congress 05,120574,"Bruce W. Walczak, Independent Party",1752
Representative in Congress 05,120574,"David X. Sullivan, Republican Party",53576
Representative in Congress 05,120574,"Jahana Hayes, Democratic Party",62335
Representative in Congress 05,120574,"Jahana Hayes, Working Families Party",2911
Representative in Congress 03,132188,"Justin C. Paglino, Green Party",1872
Representative in Congress 03,132188,"Margaret Streicker, Independent Party",2405
Representative in Congress 03,132188,"Margaret Streicker, Republican Party",57790
Representative in Congress 03,132188,"Rosa L. DeLauro, Democratic Party",67346
Representative in Congress 03,132188,"Rosa L. DeLauro, Working Families Party",2775
Representative in Congress 02,129255,"Cassandra Martineau, Green Party",1444
Representative in Congress 02,129255,"Daniel Reale, Libertarian Party",1297
Representative in Congress 02,129255,"Joe Courtney, Democratic Party",71221
Representative in Congress 02,129255,"Joe Courtney, Working Families Party",3544
Representative in Congress 02,129255,"John M. Traceski, Write In",3
Representative in Congress 02,129255,"Justin Anderson, Republican Party",51746
Representative in Congress 04,18912,"Brian Merlen, Independent Party",241
Representative in Congress 04,18912,"Jim Himes, Democratic Party",11063
Representative in Congress 04,18912,"Jonathan Riddle, Republican Party",7608
Representative in Congress 04,18912,"Yusheng Peng, Write In",0
Representative in Congress 01,24927,"John B. Larson, Democratic Party",12022
Representative in Congress 01,24927,"John B. Larson, Working Families Party",649
Representative in Congress 01,24927,"Mary Fay, Republican Party",11949
Representative in Congress 01,24927,"Thomas E. McCormick, Green Party",307
