Office Name,Vote Totals,variable,value
Representative in Congress 02,301512,"Cassandra Martineau, Green Party",3964
Representative in Congress 02,301512,"Daniel Reale, Libertarian Party",3278
Representative in Congress 02,301512,"Joe Courtney, Democratic Party",169222
Representative in Congress 02,301512,"Joe Courtney, Working Families Party",8993
Representative in Congress 02,301512,"John M. Traceski, Write In",4
Representative in Congress 02,301512,"Justin Anderson, Republican Party",116051
Representative in Congress 03,251398,"Justin C. Paglino, Green Party",3418
Representative in Congress 03,251398,"Margaret Streicker, Independent Party",4645
Representative in Congress 03,251398,"Margaret Streicker, Republican Party",109728
Representative in Congress 03,251398,"Rosa L. DeLauro, Democratic Party",128161
Representative in Congress 03,251398,"Rosa L. DeLauro, Working Families Party",5446
Representative in Congress 05,298833,"Bruce W. Walczak, Independent Party",4177
Representative in Congress 05,298833,"David X. Sullivan, Republican Party",130987
Representative in Congress 05,298833,"Jahana Hayes, Democratic Party",156477
Representative in Congress 05,298833,"Jahana Hayes, Working Families Party",7192
Representative in Congress 01,257508,"John B. Larson, Democratic Party",153148
Representative in Congress 01,257508,"John B. Larson, Working Families Party",6916
Representative in Congress 01,257508,"Mary Fay, Republican Party",94151
Representative in Congress 01,257508,"Thomas E. McCormick, Green Party",3293
Representative in Congress 04,187468,"Brian Merlen, Independent Party",2535
Representative in Congress 04,187468,"Jim Himes, Democratic Party",110020
Representative in Congress 04,187468,"Jonathan Riddle, Republican Party",74913
Representative in Congress 04,187468,"Yusheng Peng, Write In",0
