Office Name,Vote Totals,variable,value
Representative in Congress 02,337121,"Cassandra Martineau, Green Party",4390
Representative in Congress 02,337121,"Daniel Reale, Libertarian Party",3585
Representative in Congress 02,337121,"Joe Courtney, Democratic Party",190307
Representative in Congress 02,337121,"Joe Courtney, Working Families Party",9816
Representative in Congress 02,337121,"John M. Traceski, Write In",7
Representative in Congress 02,337121,"Justin Anderson, Republican Party",129016
Representative in Congress 03,271354,"Justin C. Paglino, Green Party",3619
Representative in Congress 03,271354,"Margaret Streicker, Independent Party",4933
Representative in Congress 03,271354,"Margaret Streicker, Republican Party",117038
Representative in Congress 03,271354,"Rosa L. DeLauro, Democratic Party",139811
Representative in Congress 03,271354,"Rosa L. DeLauro, Working Families Party",5953
Representative in Congress 05,306677,"Bruce W. Walczak, Independent Party",4267
Representative in Congress 05,306677,"David X. Sullivan, Republican Party",135573
Representative in Congress 05,306677,"Jahana Hayes, Democratic Party",159511
Representative in Congress 05,306677,"Jahana Hayes, Working Families Party",7326
Representative in Congress 01,317688,"John B. Larson, Democratic Party",200958
Representative in Congress 01,317688,"John B. Larson, Working Families Party",9004
Representative in Congress 01,317688,"Mary Fay, Republican Party",103599
Representative in Congress 01,317688,"Thomas E. McCormick, Green Party",4127
Representative in Congress 04,203553,"Brian Merlen, Independent Party",2845
Representative in Congress 04,203553,"Jim Himes, Democratic Party",118512
Representative in Congress 04,203553,"Jonathan Riddle, Republican Party",82196
Representative in Congress 04,203553,"Yusheng Peng, Write In",0
