Office Name,Vote Totals,variable,value
Representative in Congress 05,36969,"Bruce W. Walczak, Independent Party",492
Representative in Congress 05,36969,"David X. Sullivan, Republican Party",16273
Representative in Congress 05,36969,"Jahana Hayes, Democratic Party",19603
Representative in Congress 05,36969,"Jahana Hayes, Working Families Party",601
Representative in Congress 03,11127,"Justin C. Paglino, Green Party",247
Representative in Congress 03,11127,"Margaret Streicker, Independent Party",240
Representative in Congress 03,11127,"Margaret Streicker, Republican Party",5043
Representative in Congress 03,11127,"Rosa L. DeLauro, Democratic Party",5389
Representative in Congress 03,11127,"Rosa L. DeLauro, Working Families Party",208
Representative in Congress 02,21860,"Cassandra Martineau, Green Party",239
Representative in Congress 02,21860,"Daniel Reale, Libertarian Party",218
Representative in Congress 02,21860,"Joe Courtney, Democratic Party",12199
Representative in Congress 02,21860,"Joe Courtney, Working Families Party",533
Representative in Congress 02,21860,"John M. Traceski, Write In",1
Representative in Congress 02,21860,"Justin Anderson, Republican Party",8670
