Office Name,Vote Totals,variable,value
Representative in Congress 02,366870,"Cassandra Martineau, Green Party",4947
Representative in Congress 02,366870,"Daniel Reale, Libertarian Party",3895
Representative in Congress 02,366870,"Joe Courtney, Democratic Party",206991
Representative in Congress 02,366870,"Joe Courtney, Working Families Party",10814
Representative in Congress 02,366870,"John M. Traceski, Write In",9
Representative in Congress 02,366870,"Justin Anderson, Republican Party",140214
Representative in Congress 03,327359,"Justin C. Paglino, Green Party",4677
Representative in Congress 03,327359,"Margaret Streicker, Independent Party",5702
Representative in Congress 03,327359,"Margaret Streicker, Republican Party",129822
Representative in Congress 03,327359,"Rosa L. DeLauro, Democratic Party",179123
Representative in Congress 03,327359,"Rosa L. DeLauro, Working Families Party",8035
Representative in Congress 05,365906,"Bruce W. Walczak, Independent Party",5304
Representative in Congress 05,365906,"David X. Sullivan, Republican Party",159440
Representative in Congress 05,365906,"Jahana Hayes, Democratic Party",192301
Representative in Congress 05,365906,"Jahana Hayes, Working Families Party",8861
Representative in Congress 01,367040,"John B. Larson, Democratic Party",226577
Representative in Congress 01,367040,"John B. Larson, Working Families Party",10335
Representative in Congress 01,367040,"Mary Fay, Republican Party",125377
Representative in Congress 01,367040,"Thomas E. McCormick, Green Party",4751
Representative in Congress 04,334351,"Brian Merlen, Independent Party",5044
Representative in Congress 04,334351,"Jim Himes, Democratic Party",203699
Representative in Congress 04,334351,"Jonathan Riddle, Republican Party",125598
Representative in Congress 04,334351,"Yusheng Peng, Write In",10
