Office Name,Vote Totals,variable,value
Representative in Congress 05,93168,"Bruce W. Walczak, Independent Party",1399
Representative in Congress 05,93168,"David X. Sullivan, Republican Party",38770
Representative in Congress 05,93168,"Jahana Hayes, Democratic Party",50686
Representative in Congress 05,93168,"Jahana Hayes, Working Families Party",2313
Representative in Congress 03,105738,"Justin C. Paglino, Green Party",1511
Representative in Congress 03,105738,"Margaret Streicker, Independent Party",1799
Representative in Congress 03,105738,"Margaret Streicker, Republican Party",44969
Representative in Congress 03,105738,"Rosa L. DeLauro, Democratic Party",55271
Representative in Congress 03,105738,"Rosa L. DeLauro, Working Families Party",2188
Representative in Congress 02,104440,"Cassandra Martineau, Green Party",1149
Representative in Congress 02,104440,"Daniel Reale, Libertarian Party",1021
Representative in Congress 02,104440,"Joe Courtney, Democratic Party",58201
Representative in Congress 02,104440,"Joe Courtney, Working Families Party",2809
Representative in Congress 02,104440,"John M. Traceski, Write In",2
Representative in Congress 02,104440,"Justin Anderson, Republican Party",41258
Representative in Congress 04,18912,"Brian Merlen, Independent Party",241
Representative in Congress 04,18912,"Jim Himes, Democratic Party",11063
Representative in Congress 04,18912,"Jonathan Riddle, Republican Party",7608
Representative in Congress 04,18912,"Yusheng Peng, Write In",0
Representative in Congress 01,17119,"John B. Larson, Democratic Party",8852
Representative in Congress 01,17119,"John B. Larson, Working Families Party",461
Representative in Congress 01,17119,"Mary Fay, Republican Party",7613
Representative in Congress 01,17119,"Thomas E. McCormick, Green Party",193
