Office Name,Vote Totals,variable,value
Representative in Congress 02,362334,"Cassandra Martineau, Green Party",4796
Representative in Congress 02,362334,"Daniel Reale, Libertarian Party",3840
Representative in Congress 02,362334,"Joe Courtney, Democratic Party",204618
Representative in Congress 02,362334,"Joe Courtney, Working Families Party",10556
Representative in Congress 02,362334,"John M. Traceski, Write In",9
Representative in Congress 02,362334,"Justin Anderson, Republican Party",138515
Representative in Congress 03,322311,"Justin C. Paglino, Green Party",4616
Representative in Congress 03,322311,"Margaret Streicker, Independent Party",5635
Representative in Congress 03,322311,"Margaret Streicker, Republican Party",128480
Representative in Congress 03,322311,"Rosa L. DeLauro, Democratic Party",175627
Representative in Congress 03,322311,"Rosa L. DeLauro, Working Families Party",7953
Representative in Congress 05,363811,"Bruce W. Walczak, Independent Party",5271
Representative in Congress 05,363811,"David X. Sullivan, Republican Party",158648
Representative in Congress 05,363811,"Jahana Hayes, Democratic Party",191072
Representative in Congress 05,363811,"Jahana Hayes, Working Families Party",8820
Representative in Congress 01,366070,"John B. Larson, Democratic Party",226071
Representative in Congress 01,366070,"John B. Larson, Working Families Party",10291
Representative in Congress 01,366070,"Mary Fay, Republican Party",124975
Representative in Congress 01,366070,"Thomas E. McCormick, Green Party",4733
Representative in Congress 04,332201,"Brian Merlen, Independent Party",4997
Representative in Congress 04,332201,"Jim Himes, Democratic Party",202163
Representative in Congress 04,332201,"Jonathan Riddle, Republican Party",125034
Representative in Congress 04,332201,"Yusheng Peng, Write In",7
