Office Name,Vote Totals,variable,value
Representative in Congress 02,359964,"Cassandra Martineau, Green Party",4745
Representative in Congress 02,359964,"Daniel Reale, Libertarian Party",3816
Representative in Congress 02,359964,"Joe Courtney, Democratic Party",202978
Representative in Congress 02,359964,"Joe Courtney, Working Families Party",10491
Representative in Congress 02,359964,"John M. Traceski, Write In",7
Representative in Congress 02,359964,"Justin Anderson, Republican Party",137927
Representative in Congress 03,306767,"Justin C. Paglino, Green Party",4255
Representative in Congress 03,306767,"Margaret Streicker, Independent Party",5405
Representative in Congress 03,306767,"Margaret Streicker, Republican Party",125741
Representative in Congress 03,306767,"Rosa L. DeLauro, Democratic Party",163957
Representative in Congress 03,306767,"Rosa L. DeLauro, Working Families Party",7409
Representative in Congress 05,362125,"Bruce W. Walczak, Independent Party",5231
Representative in Congress 05,362125,"David X. Sullivan, Republican Party",158202
Representative in Congress 05,362125,"Jahana Hayes, Democratic Party",190052
Representative in Congress 05,362125,"Jahana Hayes, Working Families Party",8640
Representative in Congress 01,361175,"John B. Larson, Democratic Party",222798
Representative in Congress 01,361175,"John B. Larson, Working Families Party",10076
Representative in Congress 01,361175,"Mary Fay, Republican Party",123647
Representative in Congress 01,361175,"Thomas E. McCormick, Green Party",4654
Representative in Congress 04,295483,"Brian Merlen, Independent Party",4405
Representative in Congress 04,295483,"Jim Himes, Democratic Party",179392
Representative in Congress 04,295483,"Jonathan Riddle, Republican Party",111679
Representative in Congress 04,295483,"Yusheng Peng, Write In",7
