Office Name,Vote Totals,variable,value
Representative in Congress 02,358259,"Cassandra Martineau, Green Party",4716
Representative in Congress 02,358259,"Daniel Reale, Libertarian Party",3809
Representative in Congress 02,358259,"Joe Courtney, Democratic Party",201706
Representative in Congress 02,358259,"Joe Courtney, Working Families Party",10465
Representative in Congress 02,358259,"John M. Traceski, Write In",7
Representative in Congress 02,358259,"Justin Anderson, Republican Party",137556
Representative in Congress 03,305964,"Justin C. Paglino, Green Party",4237
Representative in Congress 03,305964,"Margaret Streicker, Independent Party",5389
Representative in Congress 03,305964,"Margaret Streicker, Republican Party",125522
Representative in Congress 03,305964,"Rosa L. DeLauro, Democratic Party",163431
Representative in Congress 03,305964,"Rosa L. DeLauro, Working Families Party",7385
Representative in Congress 05,361067,"Bruce W. Walczak, Independent Party",5209
Representative in Congress 05,361067,"David X. Sullivan, Republican Party",157751
Representative in Congress 05,361067,"Jahana Hayes, Democratic Party",189483
Representative in Congress 05,361067,"Jahana Hayes, Working Families Party",8624
Representative in Congress 01,361175,"John B. Larson, Democratic Party",222798
Representative in Congress 01,361175,"John B. Larson, Working Families Party",10076
Representative in Congress 01,361175,"Mary Fay, Republican Party",123647
Representative in Congress 01,361175,"Thomas E. McCormick, Green Party",4654
Representative in Congress 04,295483,"Brian Merlen, Independent Party",4405
Representative in Congress 04,295483,"Jim Himes, Democratic Party",179392
Representative in Congress 04,295483,"Jonathan Riddle, Republican Party",111679
Representative in Congress 04,295483,"Yusheng Peng, Write In",7
