Office Name,Vote Totals,variable,value
Representative in Congress 05,19287,"Bruce W. Walczak, Independent Party",230
Representative in Congress 05,19287,"David X. Sullivan, Republican Party",9052
Representative in Congress 05,19287,"Jahana Hayes, Democratic Party",9702
Representative in Congress 05,19287,"Jahana Hayes, Working Families Party",303
Representative in Congress 02,17227,"Cassandra Martineau, Green Party",182
Representative in Congress 02,17227,"Daniel Reale, Libertarian Party",190
Representative in Congress 02,17227,"Joe Courtney, Democratic Party",9254
Representative in Congress 02,17227,"Joe Courtney, Working Families Party",456
Representative in Congress 02,17227,"John M. Traceski, Write In",1
Representative in Congress 02,17227,"Justin Anderson, Republican Party",7144
