Town No.,Town,Data_asof,Estimated population,Estimated population aged 75 and over,County,First Doses Administered,First Doses Administered among 75 and over,First Dose Coverage,First Dose Coverage among 75 and over
1,Andover,1-Feb-21,3236,137,Tolland,210,58,6.49,42.34
2,Ansonia,1-Feb-21,18654,1284,New Haven,1315,459,7.05,35.75
3,Ashford,1-Feb-21,4255,186,Windham,339,105,7.97,56.45
4,Avon,1-Feb-21,18276,1549,Hartford,2581,897,14.12,57.91
5,Barkhamsted,1-Feb-21,3606,193,Litchfield,281,54,7.79,27.98
6,Beacon Falls,1-Feb-21,6222,290,New Haven,659,231,10.59,79.66
7,Berlin,1-Feb-21,20436,1830,Hartford,2190,712,10.72,38.91
8,Bethany,1-Feb-21,5548,356,New Haven,724,211,13.05,59.27
9,Bethel,1-Feb-21,19800,1122,Fairfield,1481,509,7.48,45.37
10,Bethlehem,1-Feb-21,3402,234,Litchfield,344,88,10.11,37.61
11,Bloomfield,1-Feb-21,21211,2584,Hartford,3286,1622,15.49,62.77
12,Bolton,1-Feb-21,4884,286,Tolland,430,170,8.80,59.44
13,Bozrah,1-Feb-21,2726,178,New London,331,139,12.14,78.09
14,Branford,1-Feb-21,27900,2747,New Haven,4075,1579,14.61,57.48
15,Bridgeport,1-Feb-21,144399,6914,Fairfield,5902,1613,4.09,23.33
16,Bridgewater,1-Feb-21,1635,167,Litchfield,209,108,12.78,64.67
17,Bristol,1-Feb-21,59947,4733,Hartford,4817,1323,8.04,27.95
18,Brookfield,1-Feb-21,16973,1007,Fairfield,1572,624,9.26,61.97
19,Brooklyn,1-Feb-21,8272,541,Windham,714,315,8.63,58.23
20,Burlington,1-Feb-21,9704,342,Hartford,887,151,9.14,44.15
21,Canaan,1-Feb-21,4304,526,Litchfield,279,70,,
22,Canterbury,1-Feb-21,5079,222,Windham,381,116,7.50,52.25
23,Canton,1-Feb-21,10254,708,Hartford,1041,342,10.15,48.31
24,Chaplin,1-Feb-21,2239,116,Windham,160,48,7.15,41.38
25,Cheshire,1-Feb-21,28937,2154,New Haven,4045,1205,13.98,55.94
26,Chester,1-Feb-21,4213,494,Middlesex,485,188,11.51,38.06
27,Clinton,1-Feb-21,12925,820,Middlesex,1274,404,9.86,49.27
28,Colchester,1-Feb-21,15809,793,New London,1616,542,10.22,68.35
29,Colebrook,1-Feb-21,1400,94,Litchfield,118,35,8.43,37.23
30,Columbia,1-Feb-21,5379,340,Tolland,549,184,10.21,54.12
31,Cornwall,1-Feb-21,1362,140,Litchfield,147,83,10.79,59.29
32,Coventry,1-Feb-21,12407,500,Tolland,914,268,7.37,53.60
