Town,County,At least one census tract SVI≥0.75,Estimated total population,Estimated population aged 65 to 74,Estimated population aged 75 and above,First Doses Administered - Total population,First Dose Coverage - Total Population,First Doses Administered - Age 65 to 74,First Dose Coverage - Age 65 to 74,First Doses Administered - Age 75 and Over,First Dose Coverage - Age 75 and over,Date Updated,First Doses 65+,Population 65+,First Doses 65+ cov
Andover,Tolland,No,3236,272,149,421,0.1301,120,0.44,118,0.79,02/23/2021,238,421,0.5653206650831354
Ansonia,New Haven,Yes,18654,1396,1139,1930,0.1035,373,0.27,627,0.55,02/23/2021,1000,2535,0.39447731755424065
Ashford,Windham,No,4255,372,200,591,0.1389,185,0.5,162,0.81,02/23/2021,347,572,0.6066433566433567
Avon,Hartford,No,18276,1777,1669,3831,0.2096,960,0.54,1344,0.81,02/23/2021,2304,3446,0.6686012768427162
Barkhamsted,Litchfield,No,3606,405,211,636,0.1764,256,0.63,164,0.78,02/23/2021,420,616,0.6818181818181818
Beacon Falls,New Haven,No,6222,641,310,1125,0.1808,299,0.47,366,1.18,02/23/2021,665,951,0.6992639327024185
Berlin,Hartford,No,20436,2126,1886,3852,0.1885,1005,0.47,1326,0.7,02/23/2021,2331,4012,0.5810069790628115
Bethany,New Haven,No,5548,529,337,1129,0.2035,327,0.62,311,0.92,02/23/2021,638,866,0.7367205542725174
Bethel,Fairfield,No,19800,1652,1222,2403,0.1214,600,0.36,762,0.62,02/23/2021,1362,2874,0.47390396659707723
Bethlehem,Litchfield,No,3402,420,226,538,0.1581,155,0.37,155,0.69,02/23/2021,310,646,0.47987616099071206
Bloomfield,Hartford,No,21211,2507,2692,4608,0.2172,1023,0.41,2172,0.81,02/23/2021,3195,5199,0.6145412579342181
Bolton,Tolland,No,4884,529,321,781,0.1599,203,0.38,302,0.94,02/23/2021,505,850,0.5941176470588235
Bozrah,New London,No,2726,258,169,531,0.1948,133,0.52,195,1.15,02/23/2021,328,427,0.7681498829039812
Branford,New Haven,No,27900,3328,2751,6620,0.2373,1957,0.59,2303,0.84,02/23/2021,4260,6079,0.7007731534791907
Bridgeport,Fairfield,Yes,144399,8661,6502,11130,0.0771,2890,0.33,3321,0.51,02/23/2021,6211,15163,0.4096155114423267
Bridgewater,Litchfield,No,1635,288,186,375,0.2294,99,0.34,176,0.95,02/23/2021,275,474,0.580168776371308
Bristol,Hartford,Yes,59947,5317,4643,8595,0.1434,1868,0.35,2935,0.63,02/23/2021,4803,9960,0.4822289156626506
Brookfield,Fairfield,No,16973,1622,1124,2591,0.1527,544,0.34,1045,0.93,02/23/2021,1589,2746,0.5786598689002185
Brooklyn,Windham,No,8272,698,612,1319,0.1595,373,0.53,520,0.85,02/23/2021,893,1310,0.6816793893129771
Burlington,Hartford,No,9704,840,394,1648,0.1698,471,0.56,405,1.03,02/23/2021,876,1234,0.7098865478119936
Canaan,Litchfield,No,1053,135,186,192,0.1823,62,0.46,60,0.32,02/23/2021,122,321,0.38006230529595014
Canterbury,Windham,No,5079,512,222,723,0.1424,230,0.45,211,0.95,02/23/2021,441,734,0.6008174386920981
Canton,Hartford,No,10254,1107,737,1771,0.1727,475,0.43,617,0.84,02/23/2021,1092,1844,0.5921908893709328
Chaplin,Windham,No,2239,208,121,301,0.1344,94,0.45,91,0.75,02/23/2021,185,329,0.5623100303951368
Cheshire,New Haven,No,28937,2559,2184,6514,0.2251,1658,0.65,1908,0.87,02/23/2021,3566,4743,0.7518448239510858
Chester,Middlesex,No,4213,481,534,967,0.2295,287,0.6,388,0.73,02/23/2021,675,1015,0.6650246305418719
Clinton,Middlesex,No,12925,1487,904,2541,0.1966,823,0.55,778,0.86,02/23/2021,1601,2391,0.6695943120033458
Colchester,New London,No,15809,1273,871,2777,0.1757,783,0.62,826,0.95,02/23/2021,1609,2144,0.7504664179104478
Colebrook,Litchfield,No,1400,163,98,229,0.1636,70,0.43,84,0.86,02/23/2021,154,261,0.5900383141762452
Columbia,Tolland,No,5379,616,402,1016,0.1889,294,0.48,330,0.82,02/23/2021,624,1018,0.6129666011787819
Cornwall,Litchfield,No,1362,204,156,307,0.2254,111,0.54,141,0.9,02/23/2021,252,360,0.7
Coventry,Tolland,No,12407,1116,558,1732,0.1396,508,0.46,483,0.87,02/23/2021,991,1674,0.5919952210274791
Cromwell,Middlesex,No,13839,1224,1275,3014,0.2178,707,0.58,1062,0.83,02/23/2021,1769,2499,0.7078831532613046
Danbury,Fairfield,Yes,84694,5305,4518,8542,0.1009,1975,0.37,3055,0.68,02/23/2021,5030,9823,0.5120635243815534
Darien,Fairfield,No,21728,1411,1194,2892,0.1331,970,0.69,1103,0.92,02/23/2021,2073,2605,0.7957773512476007
Deep River,Middlesex,No,4443,528,320,930,0.2093,264,0.5,294,0.92,02/23/2021,558,848,0.6580188679245284
