Turnout_Dems,Absentee_Received_Dems,Turnout_Rep,Absentee_Received_Rep,NM
37.25212465,66.15969582,22.16905901,31.65467626,Andover
29.57992999,54.73372781,17.67218366,29.60725076,Ansonia
45.97107438,67.41573034,28.79256966,32.79569892,Ashford
43.19554111,77.20430108,23.65922504,61.93058568,Avon
38.14285714,73.03370787,22.13302752,40.93264249,Barkhamsted
,,,,Beacon Falls
35.115939,72.15942891,37.74940144,30.44397463,Berlin
50.38297872,63.51351351,22.03539823,27.71084337,Bethany
41.54758695,73.52368592,28.36990596,37.12707182,Bethel
37.64534884,61.38996139,18.11440678,32.74853801,Bethlehem
48.60455131,61.37367491,24.31610942,71.875,Bloomfield
48.18604651,67.18146718,28.78151261,36.13138686,Bolton
31.36,59.69387755,23.80952381,36,Bozrah
,,,,Branford
19.54633412,45.12154878,10.21629973,43.8563327,Bridgeport
40.22727273,62.14689266,20.71428571,40.22988506,Bridgewater
,,,,Bristol
34.90629183,75.93480345,17.72451936,45.46805349,Brookfield
34.80620155,72.8285078,22.41935484,32.01438849,Brooklyn
42.46575342,72.65077139,22.44668911,43.5,Burlington
52.39726027,67.97385621,25.82781457,48.71794872,Canaan
33.20802005,70.18867925,21.65137615,22.03389831,Canterbury
43.22067594,78.1048758,20.72945522,55.67928731,Canton
57.99086758,38.18897638,22.94736842,18.34862385,Chaplin
,,,,Cheshire
55.76576577,75.76736672,25.94594595,53.47222222,Chester
37.60162602,80.72072072,22.3663522,40.94903339,Clinton
43.29188482,74.14965986,23.28498628,40.06734007,Colchester
,,,,Colebrook
42.91401274,76.06679035,21.812749,30.1369863,Columbia
58.99814471,59.11949686,26.70157068,43.1372549,Cornwall
39.59627329,77.15686275,21.86602871,39.8249453,Coventry
,,,,Cromwell
25.64230304,71.82903136,15.78711986,53.47025496,Danbury
,,,,Darien
43.12333629,72.63374486,19.09090909,38.0952381,Deep River
34.6092504,63.47926267,21.28027682,31.70731707,Derby
40.17094017,75.17730496,21.85863874,45.20958084,Durham
39.96350365,63.69863014,21.39201638,32.05741627,East Granby
41.74516609,69.59619952,26.920855,24.67811159,East Haddam
37.20571208,74.37759336,17.9780639,42.97082228,East Hampton
22.13838269,57.13826367,17.65302672,31.99233716,East Hartford
,,,,East Haven
46.71634839,79.06281157,22.62822662,55.7037037,East Lyme
,,,,East Windsor
,,,,Eastford
,,,,Easton
24.71395881,99.69135802,24.19700214,38.64306785,Ellington
33.96155296,77.58046615,22.44823163,44.65306122,Enfield
49.46236559,78.1573499,24.28070175,54.62427746,Essex
36.12301677,73.60532889,14.8130113,51.61078238,Fairfield
33.52728416,74.3902439,19.66109059,47.84530387,Farmington
32.30337079,45.2173913,19.42257218,32.43243243,Franklin
41.64740236,76.21969033,21.25918504,51.29615082,Glastonbury
44.72271914,67.6,21.79487179,33.68983957,Goshen
46.99828473,77.82846715,25.62731386,48.31460674,Granby
,,,,Greenwich
37.11295246,62.04465335,18.89502762,37.71929825,Griswold
37.01465478,59.87755102,28.16820276,36.29856851,Groton
,,,,Guilford
44.37086093,72.01492537,28.18239392,31.68539326,Haddam
17.13898611,0,13.20608718,0,Hamden
47.44897959,67.74193548,18.90243902,38.70967742,Hampton
15.97900787,44.85455114,9.551056338,49.30875576,Hartford
37.6146789,65.85365854,22.76559865,25.18518519,Hartland
62.35897436,42.92763158,19.02368988,37.35849057,Harwinton
,,,,Hebron
54.61801596,67.01461378,27.01421801,39.47368421,Kent
27.83427495,74.15426252,15.48442907,43.01675978,Killingly
50.6006006,78.78338279,24.40260681,52.52225519,Killingworth
,,,,Lebanon
9.62054427,0,13.48268839,0,Ledyard
36.80981595,62,33.88804841,22.76785714,Lisbon
,,,,Litchfield
59.94397759,77.57009346,35.84158416,55.80110497,Lyme
,,,,Madison
,,,,Manchester
35.80315692,77.23029046,16.81537406,53.46938776,Mansfield
41.3107511,80.03565062,20.76271186,36.73469388,Marlborough
15.37674237,63.07448494,31.81105888,28.36030964,Meriden
32.91044776,68.93424036,16.26086957,35.29411765,Middlebury
37.83018868,67.08229426,36.98453608,24.04181185,Middlefield
26.70707915,64.59692147,18.88080073,47.71084337,Middletown
36.93653486,76.41372644,17.47537833,52.64604811,Milford
33.7704918,67.47572816,13.8516288,46.24505929,Monroe
,,,,Montville
,,,,Morris
28.19184492,63.90041494,22.49118684,42.21525601,Naugatuck
,,,,New Britain
,,,,New Canaan
34.5012366,75.74671446,18.25071045,39.96539792,New Fairfield
40.67924528,70.87198516,22.14467005,34.0974212,New Hartford
21.56098836,27.3223381,12.0630861,15.90106007,New Haven
22.12299056,60.61130334,14.21602787,55.39215686,New London
35.120532,64.31952663,19.59166839,33.26315789,New Milford
,,,,Newington
47.19940254,75.11867089,22.65433264,48.08333333,Newtown
,,,,Norfolk
34.18693982,75.78027466,17.5960347,46.00938967,North Branford
,,16.6163142,50.90909091,North Canaan
,,,,North Haven
,,,,North Stonington
,,,,Norwalk
31.94973881,59.16924437,19.34747145,40.47217538,Norwich
,,,,Old Lyme
43.25457317,79.47136564,22.41875771,51.00917431,Old Saybrook
39.00071891,76.31336406,19.97668092,50,Orange
33.7962963,72.26027397,20.15974441,41.36291601,Oxford
25.51939058,57.80189959,17.57070005,26.91292876,Plainfield
28.98022893,68.67145422,18.21359223,36.24733475,Plainville
27.19252724,81.87022901,16.05633803,50.29239766,Plymouth
39.81693364,62.93103448,21.34502924,41.78082192,Pomfret
,,,,Portland
36.2745098,66.89189189,20.84257206,30.31914894,Preston
36.09684519,68.29268293,17.96028881,37.18592965,Prospect
27.89934354,70,17.57469244,28.5,Putnam
41.91419142,79.82283465,24.82152663,46.68141593,Redding
38.43387281,78.81752446,21.75694939,42.58804259,Ridgefield
33.93743258,75.65162111,20.19892884,49.62121212,Rocky Hill
52.75310835,63.63636364,31.82795699,33.10810811,Roxbury
38.60911271,72.67080745,24.17739628,46.74556213,Salem
,,,,Salisbury
23.32361516,40,15.47987616,34,Scotland
29.04483431,63.89261745,20.47619048,31.66368515,Seymour
46.68630339,67.19242902,22.65060241,46.80851064,Sharon
31.26764983,67.23532363,23.87404341,34.26169207,Shelton
39.02097902,68.10035842,15.234375,52.13675214,Sherman
44.6763754,78.01521188,19.19091271,60.74766355,Simsbury
,,,,Somers
44.29002009,73.72400756,23.07259426,48.7804878,South Windsor
43.2744043,82.83007697,21.41710157,53.51452671,Southbury
