date,name,sentenced,value,start,end
2019-10-01,Admissions,"9,257",2.2037377120017285,0.0,2.2037377120017285
2019-10-01,EOS,"9,257",-6.287134060710813,2.2037377120017285,-4.083396348709085
2019-10-01,Special Parole,"9,257",-1.1234741276871556,-4.083396348709085,-5.206870476396241
2019-10-01,Total Discretionary Releases ,"9,257",-4.01858053365021,-5.206870476396241,-9.225451010046452
2019-10-01,Net Change,"9,257",-9.225451010046452,0.0,-9.225451010046452
2019-11-01,Admissions,"9,241",2.3698733903257225,0.0,2.3698733903257225
2019-11-01,EOS,"9,241",-6.4170544313386,2.3698733903257225,-4.047181041012877
2019-11-01,Special Parole,"9,241",-1.341846120549724,-4.047181041012877,-5.389027161562601
2019-11-01,Total Discretionary Releases ,"9,241",-4.209501136240666,-5.389027161562601,-9.598528297803266
2019-11-01,Net Change,"9,241",-9.598528297803266,0.0,-9.598528297803266
2019-03-01,Admissions,"9,494",2.433115651990731,0.0,2.433115651990731
2019-03-01,EOS,"9,494",-6.2776490414998944,2.433115651990731,-3.8445333895091633
2019-03-01,Special Parole,"9,494",-1.2218243100905835,-3.8445333895091633,-5.066357699599747
2019-03-01,Total Discretionary Releases ,"9,494",-3.6233410575100065,-5.066357699599747,-8.689698757109753
2019-03-01,Net Change,"9,494",-8.689698757109753,0.0,-8.689698757109753
2019-04-01,Admissions,"9,470",2.3864836325237593,0.0,2.3864836325237593
2019-04-01,EOS,"9,470",-6.346356916578669,2.3864836325237593,-3.95987328405491
2019-04-01,Special Parole,"9,470",-1.341077085533263,-3.95987328405491,-5.300950369588173
2019-04-01,Total Discretionary Releases ,"9,470",-4.340021119324182,-5.300950369588173,-9.640971488912355
2019-04-01,Net Change,"9,470",-9.640971488912355,0.0,-9.640971488912355
2019-05-01,Admissions,"9,406",2.3814586434190943,0.0,2.3814586434190943
2019-05-01,EOS,"9,406",-6.336381033382947,2.3814586434190943,-3.954922389963853
2019-05-01,Special Parole,"9,406",-1.488411652136934,-3.954922389963853,-5.443334042100787
2019-05-01,Total Discretionary Releases ,"9,406",-4.518392515415692,-5.443334042100787,-9.961726557516478
2019-05-01,Net Change,"9,406",-9.961726557516478,0.0,-9.961726557516478
2019-06-01,Admissions,"9,400",2.5531914893617023,0.0,2.5531914893617023
2019-06-01,EOS,"9,400",-6.882978723404255,2.5531914893617023,-4.329787234042553
2019-06-01,Special Parole,"9,400",-1.627659574468085,-4.329787234042553,-5.957446808510638
2019-06-01,Total Discretionary Releases ,"9,400",-4.617021276595745,-5.957446808510638,-10.574468085106382
2019-06-01,Net Change,"9,400",-10.574468085106382,0.0,-10.574468085106382
2019-07-01,Admissions,"9,424",2.2389643463497455,0.0,2.2389643463497455
2019-07-01,EOS,"9,424",-5.592105263157895,2.2389643463497455,-3.353140916808149
2019-07-01,Special Parole,"9,424",-1.1460101867572157,-3.353140916808149,-4.499151103565365
2019-07-01,Total Discretionary Releases ,"9,424",-3.4592529711375213,-4.499151103565365,-7.9584040747028855
2019-07-01,Net Change,"9,424",-7.9584040747028855,0.0,-7.9584040747028855
2019-08-01,Admissions,"9,366",1.9538757206918642,0.0,1.9538757206918642
2019-08-01,EOS,"9,366",-6.715780482596626,1.9538757206918642,-4.761904761904762
2019-08-01,Special Parole,"9,366",-1.6655989750160154,-4.761904761904762,-6.4275037369207775
2019-08-01,Total Discretionary Releases ,"9,366",-4.121289771513987,-6.4275037369207775,-10.548793508434764
2019-08-01,Net Change,"9,366",-10.548793508434764,0.0,-10.548793508434764
2019-09-01,Admissions,"9,299",2.1615227443811165,0.0,2.1615227443811165
2019-09-01,EOS,"9,299",-6.5490913001398,2.1615227443811165,-4.387568555758683
2019-09-01,Special Parole,"9,299",-1.0968921389396709,-4.387568555758683,-5.484460694698354
2019-09-01,Total Discretionary Releases ,"9,299",-4.527368534250995,-5.484460694698354,-10.011829228949349
2019-09-01,Net Change,"9,299",-10.011829228949349,0.0,-10.011829228949349
