Unnamed: 0, Date,Zero,"Less than $20,000","$20,000 to less than $35,000","$35,000 to less than $50,000","$50,000 to less than $75,000","$75,000 to less than $150,000","$150,000 or more ",Wages N/A,Total,Date
,2020-01-04 00:00:00,68.0,13247.0,14369.0,8807.0,7295.0,4414.0,857.0,14.0,49071.0,2020-01-04
,2020-01-11 00:00:00,72.0,11891.0,12103.0,8116.0,6878.0,4125.0,881.0,17.0,44083.0,2020-01-11
,2020-01-18 00:00:00,76.0,11987.0,11956.0,8106.0,6816.0,4093.0,877.0,19.0,43930.0,2020-01-18
,2020-01-25 00:00:00,67.0,12030.0,11775.0,8037.0,6808.0,4075.0,858.0,18.0,43668.0,2020-01-25
,2020-02-01 00:00:00,57.0,11733.0,11611.0,8035.0,6817.0,4060.0,865.0,17.0,43195.0,2020-02-01
,2020-02-08 00:00:00,47.0,11723.0,11633.0,8097.0,6932.0,4123.0,875.0,19.0,43449.0,2020-02-08
,2020-02-15 00:00:00,38.0,11769.0,11893.0,8214.0,7000.0,4142.0,901.0,10.0,43967.0,2020-02-15
,2020-02-22 00:00:00,33.0,11697.0,11867.0,8178.0,6901.0,4082.0,899.0,12.0,43669.0,2020-02-22
,2020-02-29 00:00:00,34.0,11408.0,11470.0,7930.0,6721.0,4008.0,910.0,13.0,42494.0,2020-02-29
,2020-03-07 00:00:00,29.0,11403.0,11396.0,7875.0,6631.0,3971.0,916.0,11.0,42232.0,2020-03-07
,2020-03-14 00:00:00,74.0,14023.0,13708.0,8822.0,6996.0,4025.0,968.0,25.0,48641.0,2020-03-14
,2020-03-21 00:00:00,1651.0,43830.0,38416.0,23004.0,16004.0,7309.0,1420.0,1104.0,132738.0,2020-03-21
,2020-03-28 00:00:00,2760.0,66712.0,53940.0,33710.0,25251.0,11979.0,2113.0,3558.0,200023.0,2020-03-28
,2020-04-04 00:00:00,3501.0,86114.0,65033.0,42094.0,32952.0,16796.0,3131.0,6733.0,256354.0,2020-04-04
,2020-04-11 00:00:00,3882.0,99308.0,70736.0,46233.0,36869.0,19422.0,3618.0,8199.0,288267.0,2020-04-11
,2020-04-18 00:00:00,3954.0,106723.0,73773.0,48493.0,39129.0,20967.0,3885.0,8903.0,305827.0,2020-04-18
,2020-04-25 00:00:00,3628.0,110870.0,74355.0,48718.0,39217.0,21126.0,4030.0,8861.0,310805.0,2020-04-25
,2020-05-02 00:00:00,3553.0,116754.0,74691.0,48510.0,39149.0,21488.0,4173.0,10414.0,318732.0,2020-05-02
,2020-05-09 00:00:00,3105.0,117653.0,72193.0,46161.0,36845.0,20256.0,4026.0,9596.0,309835.0,2020-05-09
,2020-05-16 00:00:00,2607.0,119106.0,70476.0,44037.0,34591.0,19106.0,3850.0,8074.0,301847.0,2020-05-16
