Date,variable,value,type
2020-01-04,Zero,68.0,continued
2020-01-11,Zero,72.0,continued
2020-01-18,Zero,76.0,continued
2020-01-25,Zero,67.0,continued
2020-02-01,Zero,57.0,continued
2020-02-08,Zero,47.0,continued
2020-02-15,Zero,38.0,continued
2020-02-22,Zero,33.0,continued
2020-02-29,Zero,34.0,continued
2020-03-07,Zero,29.0,continued
2020-03-14,Zero,74.0,continued
2020-03-21,Zero,1651.0,continued
2020-03-28,Zero,2760.0,continued
2020-04-04,Zero,3501.0,continued
2020-04-11,Zero,3882.0,continued
2020-04-18,Zero,3954.0,continued
2020-04-25,Zero,3628.0,continued
2020-05-02,Zero,3553.0,continued
2020-05-09,Zero,3105.0,continued
2020-05-16,Zero,2607.0,continued
2020-05-23,Zero,2424.0,continued
2020-05-30,Zero,2239.0,continued
2020-06-06,Zero,2083.0,continued
2020-06-13,Zero,2122.0,continued
2020-06-20,Zero,2188.0,continued
2020-06-27,Zero,2227.0,continued
2020-07-04,Zero,2074.0,continued
2020-07-11,Zero,2081.0,continued
2020-07-18,Zero,1947.0,continued
2020-07-25,Zero,1831.0,continued
2020-08-01,Zero,1598.0,continued
2020-08-08,Zero,1446.0,continued
2020-08-15,Zero,1332.0,continued
2020-08-22,Zero,1195.0,continued
2020-08-29,Zero,1060.0,continued
2020-09-05,Zero,882.0,continued
2020-09-12,Zero,773.0,continued
2020-09-19,Zero,621.0,continued
2020-09-26,Zero,466.0,continued
2020-10-03,Zero,412.0,continued
2020-10-10,Zero,414.0,continued
2020-10-17,Zero,415.0,continued
2020-10-24,Zero,395.0,continued
2020-10-31,Zero,360.0,continued
2020-11-07,Zero,342.0,continued
2020-11-14,Zero,306.0,continued
2020-11-21,Zero,274.0,continued
2020-11-28,Zero,294.0,continued
2020-12-05,Zero,279.0,continued
2020-12-12,Zero,270.0,continued
2020-12-19,Zero,274.0,continued
2020-12-26,Zero,326.0,continued
2021-01-02,Zero,350.0,continued
2021-01-09,Zero,488.0,continued
2020-01-04,"Less than $20,000",13247.0,continued
2020-01-11,"Less than $20,000",11891.0,continued
2020-01-18,"Less than $20,000",11987.0,continued
2020-01-25,"Less than $20,000",12030.0,continued
2020-02-01,"Less than $20,000",11733.0,continued
2020-02-08,"Less than $20,000",11723.0,continued
2020-02-15,"Less than $20,000",11769.0,continued
2020-02-22,"Less than $20,000",11697.0,continued
2020-02-29,"Less than $20,000",11408.0,continued
2020-03-07,"Less than $20,000",11403.0,continued
2020-03-14,"Less than $20,000",14023.0,continued
2020-03-21,"Less than $20,000",43830.0,continued
2020-03-28,"Less than $20,000",66712.0,continued
2020-04-04,"Less than $20,000",86114.0,continued
2020-04-11,"Less than $20,000",99308.0,continued
2020-04-18,"Less than $20,000",106723.0,continued
2020-04-25,"Less than $20,000",110870.0,continued
2020-05-02,"Less than $20,000",116754.0,continued
2020-05-09,"Less than $20,000",117653.0,continued
2020-05-16,"Less than $20,000",119106.0,continued
2020-05-23,"Less than $20,000",120248.0,continued
2020-05-30,"Less than $20,000",119808.0,continued
2020-06-06,"Less than $20,000",118432.0,continued
2020-06-13,"Less than $20,000",117891.0,continued
2020-06-20,"Less than $20,000",117356.0,continued
2020-06-27,"Less than $20,000",116811.0,continued
2020-07-04,"Less than $20,000",115501.0,continued
2020-07-11,"Less than $20,000",118402.0,continued
2020-07-18,"Less than $20,000",116918.0,continued
2020-07-25,"Less than $20,000",115289.0,continued
2020-08-01,"Less than $20,000",111109.0,continued
2020-08-08,"Less than $20,000",107099.0,continued
2020-08-15,"Less than $20,000",103800.0,continued
2020-08-22,"Less than $20,000",98545.0,continued
2020-08-29,"Less than $20,000",94663.0,continued
2020-09-05,"Less than $20,000",90025.0,continued
2020-09-12,"Less than $20,000",85796.0,continued
2020-09-19,"Less than $20,000",81521.0,continued
2020-09-26,"Less than $20,000",77279.0,continued
2020-10-03,"Less than $20,000",73843.0,continued
2020-10-10,"Less than $20,000",71666.0,continued
2020-10-17,"Less than $20,000",69424.0,continued
2020-10-24,"Less than $20,000",67711.0,continued
2020-10-31,"Less than $20,000",66014.0,continued
2020-11-07,"Less than $20,000",64473.0,continued
2020-11-14,"Less than $20,000",62549.0,continued
2020-11-21,"Less than $20,000",61443.0,continued
2020-11-28,"Less than $20,000",60970.0,continued
2020-12-05,"Less than $20,000",61408.0,continued
2020-12-12,"Less than $20,000",62174.0,continued
2020-12-19,"Less than $20,000",61774.0,continued
2020-12-26,"Less than $20,000",63492.0,continued
2021-01-02,"Less than $20,000",67041.0,continued
2021-01-09,"Less than $20,000",68530.0,continued
2020-01-04,"$20,000 to less than $35,000",14369.0,continued
2020-01-11,"$20,000 to less than $35,000",12103.0,continued
2020-01-18,"$20,000 to less than $35,000",11956.0,continued
2020-01-25,"$20,000 to less than $35,000",11775.0,continued
2020-02-01,"$20,000 to less than $35,000",11611.0,continued
2020-02-08,"$20,000 to less than $35,000",11633.0,continued
2020-02-15,"$20,000 to less than $35,000",11893.0,continued
2020-02-22,"$20,000 to less than $35,000",11867.0,continued
2020-02-29,"$20,000 to less than $35,000",11470.0,continued
2020-03-07,"$20,000 to less than $35,000",11396.0,continued
2020-03-14,"$20,000 to less than $35,000",13708.0,continued
2020-03-21,"$20,000 to less than $35,000",38416.0,continued
2020-03-28,"$20,000 to less than $35,000",53940.0,continued
2020-04-04,"$20,000 to less than $35,000",65033.0,continued
2020-04-11,"$20,000 to less than $35,000",70736.0,continued
2020-04-18,"$20,000 to less than $35,000",73773.0,continued
2020-04-25,"$20,000 to less than $35,000",74355.0,continued
2020-05-02,"$20,000 to less than $35,000",74691.0,continued
2020-05-09,"$20,000 to less than $35,000",72193.0,continued
2020-05-16,"$20,000 to less than $35,000",70476.0,continued
2020-05-23,"$20,000 to less than $35,000",69058.0,continued
2020-05-30,"$20,000 to less than $35,000",67180.0,continued
2020-06-06,"$20,000 to less than $35,000",64841.0,continued
2020-06-13,"$20,000 to less than $35,000",63455.0,continued
2020-06-20,"$20,000 to less than $35,000",62969.0,continued
2020-06-27,"$20,000 to less than $35,000",62514.0,continued
2020-07-04,"$20,000 to less than $35,000",61734.0,continued
2020-07-11,"$20,000 to less than $35,000",61269.0,continued
2020-07-18,"$20,000 to less than $35,000",60346.0,continued
2020-07-25,"$20,000 to less than $35,000",59347.0,continued
2020-08-01,"$20,000 to less than $35,000",57093.0,continued
2020-08-08,"$20,000 to less than $35,000",55194.0,continued
2020-08-15,"$20,000 to less than $35,000",53514.0,continued
2020-08-22,"$20,000 to less than $35,000",52143.0,continued
2020-08-29,"$20,000 to less than $35,000",50280.0,continued
2020-09-05,"$20,000 to less than $35,000",48050.0,continued
2020-09-12,"$20,000 to less than $35,000",45750.0,continued
2020-09-19,"$20,000 to less than $35,000",43919.0,continued
2020-09-26,"$20,000 to less than $35,000",42128.0,continued
2020-10-03,"$20,000 to less than $35,000",40720.0,continued
2020-10-10,"$20,000 to less than $35,000",39669.0,continued
2020-10-17,"$20,000 to less than $35,000",38812.0,continued
2020-10-24,"$20,000 to less than $35,000",38064.0,continued
2020-10-31,"$20,000 to less than $35,000",37495.0,continued
2020-11-07,"$20,000 to less than $35,000",37042.0,continued
2020-11-14,"$20,000 to less than $35,000",36635.0,continued
2020-11-21,"$20,000 to less than $35,000",36313.0,continued
2020-11-28,"$20,000 to less than $35,000",36487.0,continued
2020-12-05,"$20,000 to less than $35,000",37545.0,continued
2020-12-12,"$20,000 to less than $35,000",38124.0,continued
2020-12-19,"$20,000 to less than $35,000",38077.0,continued
2020-12-26,"$20,000 to less than $35,000",38978.0,continued
2021-01-02,"$20,000 to less than $35,000",40917.0,continued
2021-01-09,"$20,000 to less than $35,000",40188.0,continued
2020-01-04,"$35,000 to less than $50,000",8807.0,continued
2020-01-11,"$35,000 to less than $50,000",8116.0,continued
2020-01-18,"$35,000 to less than $50,000",8106.0,continued
2020-01-25,"$35,000 to less than $50,000",8037.0,continued
2020-02-01,"$35,000 to less than $50,000",8035.0,continued
2020-02-08,"$35,000 to less than $50,000",8097.0,continued
2020-02-15,"$35,000 to less than $50,000",8214.0,continued
2020-02-22,"$35,000 to less than $50,000",8178.0,continued
2020-02-29,"$35,000 to less than $50,000",7930.0,continued
2020-03-07,"$35,000 to less than $50,000",7875.0,continued
2020-03-14,"$35,000 to less than $50,000",8822.0,continued
2020-03-21,"$35,000 to less than $50,000",23004.0,continued
2020-03-28,"$35,000 to less than $50,000",33710.0,continued
2020-04-04,"$35,000 to less than $50,000",42094.0,continued
2020-04-11,"$35,000 to less than $50,000",46233.0,continued
2020-04-18,"$35,000 to less than $50,000",48493.0,continued
2020-04-25,"$35,000 to less than $50,000",48718.0,continued
2020-05-02,"$35,000 to less than $50,000",48510.0,continued
