Unnamed: 0,New Claim Date,Zero,"Less than $20,000","$20,000 to less than $35,000","$35,000 to less than $50,000","$50,000 to less than $75,000","$75,000 to less than $150,000","$150,000 or more ",Wages N/A,Total
,2020-01-05,68.0,2001.0,2070.0,1362.0,971.0,402.0,88.0,74.0,7036.0
,2020-01-12,38.0,991.0,892.0,587.0,452.0,260.0,62.0,67.0,3349.0
,2020-01-19,30.0,861.0,705.0,506.0,451.0,241.0,32.0,56.0,2882.0
,2020-01-26,38.0,745.0,653.0,474.0,411.0,237.0,52.0,42.0,2652.0
,2020-02-02,29.0,720.0,638.0,456.0,490.0,310.0,71.0,72.0,2786.0
,2020-02-09,32.0,631.0,534.0,431.0,413.0,265.0,75.0,44.0,2425.0
,2020-02-16,17.0,526.0,390.0,327.0,322.0,181.0,42.0,46.0,1851.0
,2020-02-23,33.0,570.0,472.0,356.0,341.0,217.0,53.0,47.0,2089.0
,2020-03-01,35.0,639.0,485.0,394.0,413.0,261.0,63.0,46.0,2336.0
,2020-03-08,184.0,2088.0,1610.0,964.0,720.0,289.0,75.0,730.0,6660.0
,2020-03-15,2512.0,26935.0,21925.0,13292.0,8808.0,3285.0,463.0,1785.0,79005.0
,2020-03-22,6019.0,22872.0,15151.0,10495.0,8953.0,4607.0,705.0,2961.0,71763.0
,2020-03-29,8199.0,18786.0,10372.0,7514.0,6654.0,3945.0,750.0,3965.0,60185.0
,2020-04-05,4524.0,15226.0,6824.0,4814.0,4332.0,2853.0,513.0,2455.0,41541.0
,2020-04-12,3494.0,9567.0,4518.0,3158.0,3065.0,2007.0,347.0,1789.0,27945.0
,2020-04-19,2706.0,7611.0,3050.0,2203.0,2022.0,1281.0,279.0,1427.0,20579.0
,2020-04-26,5333.0,9755.0,3162.0,2092.0,2051.0,1663.0,390.0,3376.0,27822.0
,2020-05-03,3894.0,8065.0,2396.0,1583.0,1536.0,1238.0,293.0,1855.0,20860.0
,2020-05-10,2958.0,7110.0,2133.0,1337.0,1200.0,1084.0,211.0,1566.0,17599.0
,2020-05-17,2249.0,6247.0,1819.0,1229.0,1215.0,1542.0,325.0,1390.0,16016.0
,2020-05-24,1686.0,5188.0,1505.0,945.0,1019.0,760.0,203.0,1431.0,12737.0
,2020-05-31,1573.0,4780.0,1422.0,865.0,911.0,844.0,283.0,1317.0,11995.0
,2020-06-07,685.0,3949.0,1312.0,789.0,747.0,689.0,199.0,1470.0,9840.0
,2020-06-14,513.0,3787.0,1656.0,870.0,766.0,634.0,167.0,1563.0,9956.0
,2020-06-21,530.0,3636.0,1915.0,1035.0,1152.0,943.0,153.0,1643.0,11007.0
,2020-06-28,368.0,2808.0,1404.0,968.0,1006.0,690.0,184.0,1514.0,8942.0
,2020-07-05,540.0,9658.0,1973.0,1110.0,1013.0,754.0,147.0,66258.0,81453.0
,2020-07-12,379.0,2472.0,1042.0,592.0,544.0,464.0,102.0,1820.0,7415.0
,2020-07-19,342.0,2260.0,812.0,517.0,445.0,356.0,88.0,2092.0,6912.0
,2020-07-26,265.0,2020.0,828.0,504.0,430.0,381.0,98.0,1724.0,6250.0
,2020-08-02,223.0,1546.0,844.0,523.0,481.0,355.0,92.0,1045.0,5109.0
,2020-08-09,267.0,1759.0,885.0,528.0,448.0,357.0,68.0,1233.0,5545.0
,2020-08-16,210.0,1350.0,693.0,368.0,383.0,293.0,82.0,1090.0,4469.0
,2020-08-23,235.0,1270.0,556.0,387.0,358.0,303.0,71.0,1082.0,4262.0
,2020-08-30,176.0,1110.0,502.0,394.0,304.0,301.0,83.0,907.0,3777.0
,2020-09-06,195.0,1087.0,560.0,388.0,324.0,271.0,85.0,885.0,3795.0
,2020-09-13,206.0,1132.0,556.0,341.0,281.0,238.0,86.0,694.0,3534.0
,2020-09-20,171.0,1007.0,472.0,310.0,262.0,212.0,65.0,684.0,3183.0
,2020-09-27,130.0,958.0,492.0,296.0,314.0,262.0,70.0,456.0,2978.0
,2020-10-04,195.0,3204.0,552.0,371.0,316.0,305.0,115.0,31640.0,36698.0
,2020-10-11,167.0,1025.0,441.0,311.0,315.0,339.0,83.0,792.0,3473.0
,2020-10-18,189.0,1087.0,461.0,323.0,304.0,306.0,75.0,904.0,3649.0
,2020-10-25,136.0,1109.0,473.0,323.0,272.0,278.0,64.0,753.0,3408.0
,2020-11-01,150.0,1099.0,499.0,342.0,315.0,269.0,76.0,672.0,3422.0
,2020-11-08,140.0,1168.0,611.0,334.0,283.0,219.0,58.0,450.0,3263.0
,2020-11-15,144.0,1424.0,670.0,421.0,361.0,246.0,62.0,617.0,3945.0
,2020-11-22,166.0,1219.0,587.0,359.0,286.0,178.0,49.0,439.0,3283.0
,2020-11-29,167.0,1671.0,904.0,474.0,424.0,328.0,88.0,627.0,4683.0
,2020-12-06,168.0,1742.0,846.0,535.0,413.0,285.0,61.0,688.0,4738.0
,2020-12-13,165.0,1668.0,967.0,587.0,522.0,297.0,60.0,612.0,4878.0
,2020-12-20,220.0,2605.0,2047.0,990.0,904.0,641.0,50.0,586.0,8043.0
,2020-12-27,234.0,2027.0,1173.0,733.0,661.0,459.0,62.0,575.0,5924.0
,2021-01-03,489.0,5042.0,1995.0,1119.0,932.0,521.0,168.0,29972.0,40238.0
