New Claim Date,variable,value,type
2020-01-04,"$150,000 or more ",857.0,continued
2020-01-04,Zero,68.0,continued
2020-01-04,"Less than $20,000",13247.0,continued
2020-01-04,"$20,000 to less than $35,000",14369.0,continued
2020-01-04,"$75,000 to less than $150,000",4414.0,continued
2020-01-04,"$35,000 to less than $50,000",8807.0,continued
2020-01-04,"$50,000 to less than $75,000",7295.0,continued
2020-01-05,Zero,68.0,initial
2020-01-05,"$20,000 to less than $35,000",2070.0,initial
2020-01-05,"$35,000 to less than $50,000",1362.0,initial
2020-01-05,"$50,000 to less than $75,000",971.0,initial
2020-01-05,"$75,000 to less than $150,000",402.0,initial
2020-01-05,"$150,000 or more ",88.0,initial
2020-01-05,"Less than $20,000",2001.0,initial
2020-01-11,"$35,000 to less than $50,000",8116.0,continued
2020-01-11,"$20,000 to less than $35,000",12103.0,continued
2020-01-11,"$75,000 to less than $150,000",4125.0,continued
2020-01-11,"$150,000 or more ",881.0,continued
2020-01-11,"Less than $20,000",11891.0,continued
2020-01-11,Zero,72.0,continued
2020-01-11,"$50,000 to less than $75,000",6878.0,continued
2020-01-12,"$35,000 to less than $50,000",587.0,initial
2020-01-12,Zero,38.0,initial
2020-01-12,"$20,000 to less than $35,000",892.0,initial
2020-01-12,"$75,000 to less than $150,000",260.0,initial
2020-01-12,"Less than $20,000",991.0,initial
2020-01-12,"$50,000 to less than $75,000",452.0,initial
2020-01-12,"$150,000 or more ",62.0,initial
2020-01-18,"$50,000 to less than $75,000",6816.0,continued
2020-01-18,"$150,000 or more ",877.0,continued
2020-01-18,"$75,000 to less than $150,000",4093.0,continued
2020-01-18,Zero,76.0,continued
2020-01-18,"Less than $20,000",11987.0,continued
2020-01-18,"$20,000 to less than $35,000",11956.0,continued
2020-01-18,"$35,000 to less than $50,000",8106.0,continued
2020-01-19,Zero,30.0,initial
2020-01-19,"Less than $20,000",861.0,initial
2020-01-19,"$20,000 to less than $35,000",705.0,initial
2020-01-19,"$35,000 to less than $50,000",506.0,initial
2020-01-19,"$150,000 or more ",32.0,initial
2020-01-19,"$50,000 to less than $75,000",451.0,initial
2020-01-19,"$75,000 to less than $150,000",241.0,initial
2020-01-25,"$75,000 to less than $150,000",4075.0,continued
