Municipality ,2015,2016,2017,2018,2019,2020 YTD
Andover,"$225,765 ","$229,319 ","$226,086 ","$202,301 ","$236,000 ","$169,150 "
Ansonia,"$162,723 ","$178,254 ","$182,327 ","$193,249 ","$200,000 ","$202,250 "
Ashford,"$179,966 ","$175,474 ","$197,955 ","$180,027 ","$155,500 ","$194,900 "
Avon,"$363,649 ","$356,482 ","$319,854 ","$340,728 ","$315,050 ","$308,880 "
Barkhamsted,"$214,450 ","$274,544 ","$251,091 ","$259,106 ","$236,500 ","$199,700 "
Beacon Falls,"$231,692 ","$255,390 ","$239,969 ","$208,505 ","$229,950 ","$279,500 "
Berlin,"$258,633 ","$244,749 ","$250,049 ","$254,275 ","$245,000 ","$275,000 "
Bethany,"$347,000 ","$341,850 ","$320,896 ","$313,521 ","$315,000 ","$308,750 "
Bethel,"$307,127 ","$297,955 ","$307,352 ","$324,913 ","$335,000 ","$322,500 "
Bethlehem,"$242,469 ","$263,371 ","$249,007 ","$269,531 ","$287,500 ","$322,000 "
Bloomfield,"$177,272 ","$189,999 ","$197,955 ","$188,793 ","$200,000 ","$203,500 "
Bolton,"$227,921 ","$248,207 ","$269,728 ","$245,983 ","$256,750 ","$257,500 "
Bozrah,"$167,842 ","$174,930 ","$162,532 ","$172,907 ","$174,500 ","$172,500 "
Branford,"$239,236 ","$238,364 ","$242,235 ","$240,036 ","$246,000 ","$225,000 "
Bridgeport,"$123,928 ","$127,695 ","$150,029 ","$171,890 ","$183,750 ","$200,000 "
Bridgewater,"$436,444 ","$351,161 ","$463,632 ","$483,122 ","$398,750 ","$403,167 "
Bristol,"$172,422 ","$170,047 ","$161,490 ","$161,719 ","$169,000 ","$175,000 "
Brookfield,"$344,844 ","$340,520 ","$343,713 ","$347,848 ","$325,000 ","$319,500 "
Brooklyn,"$190,203 ","$206,440 ","$215,928 ","$198,334 ","$205,500 ","$248,000 "
Burlington,"$321,136 ","$283,057 ","$328,189 ","$340,627 ","$280,000 ","$280,000 "
Canaan,"$150,869 ","$223,466 ","$270,886 ","$213,591 ","$190,250 ","$221,250 "
Canterbury,"$179,966 ","$202,077 ","$193,788 ","$199,352 ","$209,000 ","$184,450 "
Canton,"$290,962 ","$277,736 ","$291,724 ","$275,888 ","$269,000 ","$267,500 "
Chaplin,"$156,258 ","$178,603 ","$168,054 ","$167,821 ","$177,450 ","$200,000 "
Cheshire,"$297,698 ","$292,634 ","$286,514 ","$303,096 ","$303,000 ","$300,000 "
Chester,"$317,903 ","$278,800 ","$286,514 ","$296,230 ","$261,500 ","$282,500 "
Clinton,"$255,346 ","$250,069 ","$247,548 ","$261,395 ","$248,000 ","$267,000 "
Colchester,"$223,071 ","$244,749 ","$234,421 ","$228,847 ","$250,000 ","$231,000 "
Colebrook,"$177,810 ","$209,100 ","$187,537 ","$157,650 ","$222,500 ","$245,500 "
Columbia,"$235,195 ","$212,718 ","$229,015 ","$228,847 ","$216,000 ","$250,000 "
Cornwall,"$237,080 ","$303,275 ","$242,235 ","$305,130 ","$350,000 ","$322,000 "
Coventry,"$215,528 ","$196,863 ","$178,681 ","$202,403 ","$205,000 ","$182,500 "
Cromwell,"$179,427 ","$189,148 ","$189,620 ","$177,992 ","$199,500 ","$228,650 "
Danbury,"$260,735 ","$260,710 ","$281,305 ","$287,585 ","$292,000 ","$297,250 "
