place,contb_receipt_amt
ANDOVER,636.5
ANSONIA,4266.780000000001
ASHFORD,853.87
AVON,15832.840000000002
BARKHAMSTED,1542.12
BEACON FALLS,4953.07
BERLIN,19951.17
BETHANY,4160.5
BETHEL,9574.47
BETHLEHEM,629.25
BLOOMFIELD,11162.86
BOLTON,5770.4400000000005
BOZRAH,1333.52
BRANFORD,15003.53
BRIDGEPORT,21517.18
BRIDGEWATER,7242.25
BRISTOL,16731.72
BROOKFIELD,13884.89
BROOKLYN,3192.33
BURLINGTON,8782.5
CANAAN,951.29
CANTERBURY,5091.77
CANTON,19582.260000000002
CHAPLIN,160.0
CHESHIRE,18601.539999999997
CHESTER,1602.6399999999999
CLINTON,5355.9400000000005
COLCHESTER,4779.110000000001
COLEBROOK,646.05
COLUMBIA,3095.92
CORNWALL,1453.97
COVENTRY,3958.85
CROMWELL,8302.31
DANBURY,30338.209999999992
DARIEN,35941.509999999995
DEEP RIVER,1769.46
DERBY,4685.76
DURHAM,2194.86
EAST GRANBY,1405.6100000000001
EAST HADDAM,6137.94
EAST HAMPTON,8347.009999999998
EAST HARTFORD,14186.99
EAST HAVEN,6792.0599999999995
EAST LYME,18984.340000000004
EAST WINDSOR,8914.89
EASTFORD,905.75
EASTON,10462.460000000001
ELLINGTON,8678.240000000002
ENFIELD,34115.25
ESSEX,16834.64
FAIRFIELD,87591.33000000003
FARMINGTON,24745.149999999994
GLASTONBURY,32286.69
GOSHEN,4967.2
GRANBY,11921.31
GREENWICH,201240.17999999993
GRISWOLD,5335.27
GROTON,26326.099999999995
GUILFORD,13375.86
HADDAM,5210.23
HAMDEN,20716.64
HAMPTON,3527.62
HARTFORD,6806.61
HARTLAND,225.0
HARWINTON,4555.049999999999
HEBRON,2519.65
KENT,940.02
KILLINGLY,4190.58
KILLINGWORTH,1902.43
LEBANON,5698.02
LEDYARD,3711.16
LISBON,601.5699999999999
LITCHFIELD,4684.459999999999
LYME,945.37
MADISON,12735.3
MANCHESTER,19349.370000000003
MANSFIELD,5227.360000000001
MARLBOROUGH,5043.45
MERIDEN,14393.640000000005
MIDDLEBURY,13963.910000000002
MIDDLEFIELD,3637.12
MIDDLETOWN,23714.670000000002
MILFORD,39450.54
MONROE,12855.34
MONTVILLE,9299.35
MORRIS,97.46000000000001
NAUGATUCK,6623.9400000000005
NEW BRITAIN,17119.36
NEW CANAAN,46631.85000000003
NEW FAIRFIELD,18777.450000000004
NEW HARTFORD,3865.35
NEW HAVEN,10748.439999999999
NEW LONDON,4211.18
NEW MILFORD,17113.219999999998
NEWINGTON,14356.93
NEWTOWN,23587.31
NORFOLK,998.6600000000001
NORTH BRANFORD,5505.969999999999
NORTH CANAAN,786.0
NORTH HAVEN,10236.480000000001
NORTH STONINGTON,2125.2200000000003
NORWALK,54300.25
NORWICH,13675.650000000001
OLD LYME,6148.73
OLD SAYBROOK,5870.99
ORANGE,6477.29
OXFORD,12805.240000000002
PLAINFIELD,3273.0699999999997
PLAINVILLE,6025.969999999998
PLYMOUTH,5123.16
POMFRET,879.12
PORTLAND,3776.87
PRESTON,2868.31
PROSPECT,4933.83
PUTNAM,3549.7
REDDING,15932.699999999999
RIDGEFIELD,35568.36
ROCKY HILL,10136.83
ROXBURY,883.0699999999999
SALEM,3778.12
SALISBURY,4037.75
SCOTLAND,600.0
SEYMOUR,7411.92
SHARON,5355.71
SHELTON,15602.669999999998
SHERMAN,1786.99
SIMSBURY,27740.25
SOMERS,8727.550000000001
SOUTH WINDSOR,7985.0
SOUTHBURY,26793.879999999997
SOUTHINGTON,22184.12000000003
SPRAGUE,1458.9
STAFFORD,2363.8599999999997
STAMFORD,91009.51999999997
STERLING,400.97
STONINGTON,20800.28
STRATFORD,29493.289999999997
SUFFIELD,7522.290000000001
THOMASTON,4153.83
THOMPSON,814.06
TOLLAND,6443.849999999999
TORRINGTON,19675.059999999998
TRUMBULL,25385.009999999995
UNION,509.58
VERNON,4948.39
VOLUNTOWN,1308.2
WALLINGFORD,10961.460000000001
WARREN,74.0
WASHINGTON,3791.2
WATERBURY,16240.410000000005
WATERFORD,9919.970000000001
WATERTOWN,8425.019999999999
WEST HARTFORD,35043.28999999999
WEST HAVEN,10196.089999999998
WESTBROOK,3588.72
WESTON,8801.869999999999
WESTPORT,39432.51000000001
WETHERSFIELD,7094.12
WILLINGTON,2406.46
WILTON,16023.710000000001
WINCHESTER,1249.95
WINDHAM,5874.33
WINDSOR,6876.589999999999
WINDSOR LOCKS,5440.879999999999
WOLCOTT,7577.599999999999
WOODBRIDGE,5613.18
WOODBURY,7233.15
WOODSTOCK,3758.52
