DateUpdated,COVID_per_day,COVID_per_day_avg
2020-04-25,357.0,
2020-04-26,15.0,
2020-04-27,10.0,
2020-04-28,8.0,
2020-04-29,27.0,12.0
2020-04-30,26.0,17.2
2020-05-01,0.0,14.2
2020-05-02,0.0,12.2
2020-05-03,6.0,11.8
2020-05-04,1.0,6.6
2020-05-05,21.0,5.6
2020-05-06,7.0,7.0
2020-05-07,6.0,8.2
2020-05-08,21.0,11.2
2020-05-11,20.0,15.0
2020-05-12,1.0,11.0
2020-05-13,0.0,9.6
2020-05-14,4.0,9.2
2020-05-15,68.0,18.6
2020-05-18,81.0,30.8
2020-05-19,0.0,30.6
2020-05-20,5.0,31.6
2020-05-21,5.0,31.8
2020-05-22,100.0,38.2
2020-05-26,3.0,22.6
2020-05-27,51.0,32.8
2020-05-28,10.0,33.8
2020-05-29,0.0,32.8
2020-06-01,17.0,16.2
2020-06-02,0.0,15.6
2020-06-03,1.0,5.6
2020-06-04,0.0,3.6
2020-06-05,145.0,32.6
2020-06-08,29.0,35.0
2020-06-09,1.0,35.2
2020-06-10,0.0,35.0
2020-06-11,114.0,57.8
2020-06-12,50.0,38.8
2020-06-15,0.0,33.0
2020-06-16,0.0,32.8
2020-06-17,1.0,33.0
2020-06-18,41.0,18.4
2020-06-19,3.0,9.0
2020-06-22,1.0,9.2
2020-06-23,0.0,9.2
2020-06-24,0.0,9.0
2020-06-25,0.0,0.8
2020-06-26,72.0,14.6
2020-06-29,15.0,17.4
2020-06-30,0.0,17.4
2020-07-01,0.0,17.4
2020-07-02,1.0,17.6
2020-07-06,0.0,3.2
2020-07-07,0.0,0.2
2020-07-08,2.0,0.6
2020-07-09,0.0,0.6
2020-07-10,0.0,0.4
2020-07-13,6.0,1.6
2020-07-14,0.0,1.6
2020-07-15,0.0,1.2
2020-07-16,0.0,1.2
2020-07-17,0.0,1.2
2020-07-20,1.0,0.2
2020-07-21,0.0,0.2
2020-07-22,1.0,0.4
2020-07-23,0.0,0.4
2020-07-24,2.0,0.8
2020-07-27,0.0,0.6
2020-07-28,54.0,11.4
2020-07-29,0.0,11.2
2020-07-30,3.0,11.8
2020-07-31,8.0,13.0
2020-08-03,21.0,17.2
2020-08-04,0.0,6.4
2020-08-05,0.0,6.4
2020-08-06,0.0,5.8
2020-08-07,13.0,6.8
2020-08-10,0.0,2.6
2020-08-11,13.0,5.2
2020-08-12,0.0,5.2
2020-08-13,0.0,5.2
2020-08-14,18.0,6.2
2020-08-17,0.0,6.2
2020-08-18,23.0,8.2
2020-08-19,0.0,8.2
2020-08-20,0.0,8.2
2020-08-21,0.0,4.6
2020-08-24,29.0,10.4
2020-08-25,0.0,5.8
2020-08-26,0.0,5.8
2020-08-27,9.0,7.6
2020-08-28,0.0,7.6
2020-08-31,0.0,1.8
2020-09-01,0.0,1.8
2020-09-02,11.0,4.0
2020-09-03,0.0,2.2
2020-09-04,1.0,2.4
2020-09-08,1.0,2.6
2020-09-09,0.0,2.6
2020-09-10,2.0,0.8
2020-09-11,0.0,0.8
2020-09-14,0.0,0.6
2020-09-15,0.0,0.4
2020-09-16,5.0,1.4
2020-09-17,0.0,1.0
2020-09-18,0.0,1.0
2020-09-21,0.0,1.0
2020-09-22,0.0,1.0
2020-09-23,0.0,0.0
2020-09-24,0.0,0.0
2020-09-25,0.0,0.0
2020-09-28,0.0,0.0
2020-09-29,0.0,0.0
2020-09-30,0.0,0.0
2020-10-01,0.0,0.0
2020-10-02,0.0,0.0
2020-10-05,1.0,0.2
2020-10-06,0.0,0.2
2020-10-07,0.0,0.2
2020-10-08,0.0,0.2
2020-10-09,0.0,0.2
2020-10-13,65.0,13.0
2020-10-14,10.0,15.0
2020-10-15,0.0,15.0
2020-10-16,8.0,16.6
2020-10-20,27.0,22.0
2020-10-21,0.0,9.0
2020-10-22,0.0,7.0
2020-10-23,2.0,7.4
2020-10-26,1.0,6.0
2020-10-27,1.0,0.8
2020-10-28,0.0,0.8
2020-10-29,0.0,0.8
2020-10-30,0.0,0.4
2020-11-02,0.0,0.2
2020-11-03,0.0,0.0
2020-11-04,1.0,0.2
2020-11-05,12.0,2.6
2020-11-06,0.0,2.6
2020-11-09,0.0,2.6
2020-11-10,0.0,2.6
2020-11-12,0.0,2.4
2020-11-13,21.0,4.2
2020-11-16,16.0,7.4
2020-11-17,10.0,9.4
2020-11-18,0.0,9.4
2020-11-19,16.0,12.6
2020-11-20,45.0,17.4
2020-11-23,0.0,14.2
2020-11-24,0.0,12.2
2020-11-25,15.0,15.2
2020-11-27,0.0,12.0
2020-11-30,121.0,27.2
2020-12-01,0.0,27.2
2020-12-02,0.0,27.2
2020-12-03,0.0,24.2
2020-12-04,0.0,24.2
2020-12-07,0.0,0.0
2020-12-08,0.0,0.0
2020-12-09,0.0,0.0
2020-12-10,452.0,90.4
2020-12-11,0.0,90.4
2020-12-14,0.0,90.4
2020-12-15,96.0,109.6
2020-12-16,15.0,112.6
2020-12-17,8.0,23.8
2020-12-18,52.0,34.2
2020-12-21,148.0,63.8
2020-12-22,98.0,64.2
